slug,n_samples,hidden_size,dim_over_samples,mix,repeats,cka_biased,cka_biased_std,cka_unbiased,cka_unbiased_std,bias
pythia70m,1490,512,0.3436241610738255,0.0,2,0.2567308625528347,8.312433078891899e-05,0.0014209150085099799,0.00020757658765535895,0.25530994754432473
pythia70m,1490,512,0.3436241610738255,0.3,2,0.3226065779286911,6.190038434723575e-05,0.08993957099072176,0.00020037502823589876,0.23266700693796932
pythia70m,1490,512,0.3436241610738255,0.7,2,0.6202091266375241,0.0005117576460897854,0.48975075176570293,0.0007817840342279547,0.13045837487182121
pythia70m,1490,512,0.3436241610738255,0.9,2,0.8583568629110789,0.0005523721203383381,0.8096827999561224,0.000771078588835727,0.048674062954956576
pythia70m,1490,512,0.3436241610738255,0.95,2,0.9275397782187785,0.0002729638264067585,0.9026705094756059,0.0003325058322384698,0.024869268743172634
pythia70m,1490,512,0.3436241610738255,0.98,2,0.9704557694436102,0.00012159473447981611,0.9602905210506087,0.00015999326482515306,0.01016524839300148
pythia70m,1490,512,0.3436241610738255,0.99,2,0.9852254168394781,5.4820763219846074e-05,0.9801398601547682,7.908775022698824e-05,0.005085556684709891
pythia70m,1490,512,0.3436241610738255,0.997,2,0.9955543562881619,8.822236264212477e-06,0.9940277203759054,1.1560746958785496e-05,0.0015266359122565465
pythia70m,1490,512,0.3436241610738255,1.0,2,1.0,0.0,1.0,0.0,0.0
gpt2,1375,768,0.5585454545454546,0.0,2,0.3589852579422882,0.0015408239057251563,0.0014378050399960983,0.0024440066804618703,0.3575474529022921
gpt2,1375,768,0.5585454545454546,0.3,2,0.4162112715676125,0.0014669897818464343,0.09003254707647523,0.00196770546790858,0.3261787244911373
gpt2,1375,768,0.5585454545454546,0.7,2,0.6728342222323822,0.000606086669021899,0.4902525093610278,0.0013074346600680377,0.18258171287135438
gpt2,1375,768,0.5585454545454546,0.9,2,0.8777537950321463,0.00035647285721566936,0.8094817705640214,0.00046491755193096493,0.06827202446812497
gpt2,1375,768,0.5585454545454546,0.95,2,0.9375135915915073,0.000309836362491062,0.9026218239820407,0.00044787390853704166,0.03489176760946655
gpt2,1375,768,0.5585454545454546,0.98,2,0.9746374397739995,0.0001097201663014412,0.9604858554656759,0.00018915566172918736,0.01415158430832364
gpt2,1375,768,0.5585454545454546,0.99,2,0.9872737826430589,9.685488364241306e-06,0.9801694356551323,2.494662592398006e-06,0.007104346987926613
gpt2,1375,768,0.5585454545454546,0.997,2,0.9961541524641521,6.331109126330743e-07,0.9940073036449479,3.2241311325170294e-06,0.002146848819204128
gpt2,1375,768,0.5585454545454546,1.0,2,1.0,0.0,1.0,0.0,0.0
gptneo,1357,768,0.5659543109801032,0.0,2,0.361872530741551,0.0013248872692728346,0.0007494997856681118,0.0014576092980378341,0.3611230309558829
gptneo,1357,768,0.5659543109801032,0.3,2,0.41956126579037495,0.0011838288462818229,0.09131480809997751,0.0017018830203430514,0.32824645769039745
gptneo,1357,768,0.5659543109801032,0.7,2,0.6746240180662672,0.0001553947391641287,0.4905630152869364,0.00018318782492375498,0.18406100277933074
gptneo,1357,768,0.5659543109801032,0.9,2,0.8787794802843182,3.784631409175062e-05,0.8103495632383255,0.0003046705191749483,0.06842991704599266
gptneo,1357,768,0.5659543109801032,0.95,2,0.937727947303215,5.398160252241363e-05,0.9024854739175243,7.135510976161908e-05,0.03524247338569064
gptneo,1357,768,0.5659543109801032,0.98,2,0.9747982661166025,1.1344569547407392e-06,0.9605606397564258,2.5850474396403756e-06,0.01423762636017667
gptneo,1357,768,0.5659543109801032,0.99,2,0.9872865152997297,4.2460277409361163e-07,0.9800922644008063,9.03425513380731e-06,0.007194250898923338
