slug,label,hf_id,tier,model_type,n_params,n_blocks,n_curve_points,hidden_size,positional_encoding,n_seeds,seeds,n_cka_samples_min,n_cka_samples_max,n_cka_samples_mean,device,gpu_name,relational_centroid_mean,relational_centroid_std,relational_centroid_norm_mean,relational_centroid_norm_std,relational_argmax_mean_curve,relational_argmax_per_seed,relational_max_mean_curve,per_token_centroid_mean,per_token_centroid_std,per_token_centroid_norm_mean,per_token_centroid_norm_std,per_token_argmax_mean_curve,per_token_argmax_per_seed,per_token_max_mean_curve,cka_change_centroid_mean,cka_change_centroid_std,cka_change_centroid_norm_mean,cka_change_centroid_norm_std,cka_change_argmax_mean_curve,cka_change_argmax_per_seed,cka_change_max_mean_curve,cka_null_biased,cka_null_unbiased,cka_change_max_debiased,cka_change_inflation_factor,n_layer_seed_rows_flagged,headroom_used_max,headroom_used_median,ceiling_min
pythia70m,Pythia-70M,EleutherAI/pythia-70m,A,gpt_neox,70426624,6,7,512,rotary,3,42|43|44,1485,1497,1490.3333333333333,cuda,NVIDIA GeForce RTX 5090,3.6144841571335866,0.14547558230854338,0.6024140261889311,0.02424593038475723,5,5|5|5,0.09888539963913273,4.22375272062022,0.061490765348485625,0.7039587867700366,0.010248460891414271,5,5|5|5,0.26909332446041695,5.0353167697141625,0.046646778287657294,0.839219461619027,0.007774463047942882,5,5|6|5,0.23795455895220383,0.2567308625528347,0.0014209150085099799,0.31970373523838935,1.3435495274650564,3,0.2739267942631752,0.06730524954584441,0.01957502307060488
gpt2,GPT-2-124M,gpt2,A,gpt2,124439808,12,13,768,learned_absolute,3,42|43|44,1369,1380,1375.0,cuda,NVIDIA GeForce RTX 5090,7.591311099688148,0.08495449924592027,0.6326092583073456,0.007079541603826689,10,10|10|10,0.04351064127718887,8.201675608440288,0.03266034060440807,0.683472967370024,0.002721695050367339,10,10|10|10,0.09664397115307394,10.986205328080592,0.08430967812828884,0.9155171106733827,0.007025806510690736,12,12|12|12,0.598111414117198,0.3589852579422882,0.0014378050399960983,0.9321411911088074,1.5584741723824673,3,0.36021988852747244,0.02479006718804379,0.04233246988097861
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,gpt_neo,125198592,12,13,768,learned_absolute,3,42|43|44,1353,1360,1357.3333333333333,cuda,NVIDIA GeForce RTX 5090,11.12278820753022,0.049629140855465256,0.926899017294185,0.004135761737955438,12,12|12|12,0.06582397061040987,11.677064309355986,0.011304182689781781,0.9730886924463321,0.0009420152241484818,12,12|12|12,0.1836215434415331,7.868361009566062,0.0619550444991147,0.6556967507971718,0.005162920374926225,12,12|12|12,0.08600968368073587,0.361872530741551,0.0007494997856681118,0.13461622454347177,1.5651287015908724,33,0.11799064043059518,0.08872343654402054,0.0065911132124033545
opt125m,OPT-125M,facebook/opt-125m,A,opt,125239296,12,13,768,learned_absolute,3,42|43|44,1352,1390,1370.0,cuda,NVIDIA GeForce RTX 5090,8.168180850737931,0.3340102552882782,0.6806817375614943,0.027834187940689852,12,12|12|12,0.09772416121727574,9.025120902757601,0.04151155311257904,0.7520934085631334,0.00345929609271492,12,12|12|12,0.3478439066640265,9.125585532976897,0.014706863714482115,0.7604654610814081,0.001225571976206843,12,12|12|12,0.1568452268694115,0.3592760040704255,0.00045294178258440705,0.24474540447134907,1.5604262198882393,0,0.10724005358294714,0.03581706783406756,0.9156936769494228
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,llama,134515008,30,31,576,rotary,3,42|43|44,1304,1318,1313.0,cuda,NVIDIA GeForce RTX 5090,22.268195366374428,0.7323353640963101,0.7422731788791476,0.024411178803210334,30,30|30|30,0.16261981028529285,23.68637591749571,0.15773810578776798,0.7895458639165237,0.005257936859592266,30,30|30|30,0.16367069266528722,23.38148650449632,0.479618123102153,0.7793828834832106,0.015987270770071768,30,30|30|30,0.09664330588218861,0.30490930039518005,0.0006583003470453552,0.13906880522924914,1.4389905639070193,0,0.24637369425131198,0.018343432602622185,0.3891377723044944
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,gpt_neox,162322944,12,13,768,rotary,3,42|43|44,1451,1458,1455.0,cuda,NVIDIA GeForce RTX 5090,7.202005572615185,0.33571380067084605,0.6001671310512654,0.02797615005590384,11,11|11|11,0.12004431113955254,7.976210951643545,0.14992108419360536,0.6646842459702954,0.012493423682800446,11,11|11|11,0.3872365428206774,8.577705307725267,0.21778600218515792,0.7148087756437723,0.018148833515429827,12,11|12|12,0.2340436810032759,0.3453444760023351,1.3964481734353502e-05,0.35748807264586024,1.5274416771835702,3,0.18735039995714398,0.0935636134801153,0.02004869142862309
opt350m,OPT-350M,facebook/opt-350m,B,opt,331196416,24,25,1024,learned_absolute,2,42|43,1378,1389,1383.5,cuda,NVIDIA GeForce RTX 5090,15.300990170654881,0.8470176825225125,0.63754125711062,0.03529240343843802,24,24|24,0.1163699927379612,16.61053767540747,0.26053239604303013,0.6921057364753113,0.010855516501792922,23,23|23,0.3245943030722248,18.162253634270847,0.014881897854944504,0.7567605680946187,0.0006200790772893543,23,23|23,0.17368945647186268,0.42571236375990307,0.00036060737244568214,0.3022453019168133,1.7401476638610842,0,0.16384311655842493,0.07650028942298286,0.7163649199277311
gpt2medium,GPT-2-medium,gpt2-medium,B,gpt2,354823168,24,25,1024,learned_absolute,2,42|43,1390,1405,1397.5,cuda,NVIDIA GeForce RTX 5090,17.723904408619173,0.7287612095822791,0.7384960170257989,0.03036505039926163,24,24|24,0.19163276590168454,17.635099839370955,0.09673539747669536,0.7347958266404565,0.004030641561528973,24,24|24,0.1032555078154383,21.2792980803546,0.046317333932211754,0.886637420014775,0.0019298889138421565,24,24|24,0.927580419016951,0.42343491664316635,0.0009912834173153333,0.9990087165826846,1.0770049648540805,1,0.8234221928440645,0.039086130131688636,0.2140383417318833
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,llama,361821120,32,33,960,rotary,2,42|43,1319,1339,1329.0,cuda,NVIDIA GeForce RTX 5090,22.93039276330249,0.7568493405457888,0.7165747738532028,0.0236515418920559,32,32|32,0.11358208001161266,24.4016906832992,0.31329049586278696,0.7625528338531,0.009790327995712092,32,32|32,0.09371758197535154,26.585235962394865,0.517075721541054,0.8307886238248395,0.016158616298157936,32,32|32,0.18195535803106483,0.4190677681959988,-0.00013945686333509974,0.31347455221691733,1.7228102299872836,0,0.21900245116603997,0.019228750117113516,0.3346162424930983
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,gpt_neox,405334016,24,25,1024,rotary,2,42|43,1431,1457,1444.0,cuda,NVIDIA GeForce RTX 5090,14.403231653847975,0.3872424623092187,0.6001346522436656,0.016135102596217445,24,24|24,0.24089517608355338,14.363087051619408,0.08639082262432524,0.598461960484142,0.003599617609346885,24,24|24,0.3286390605827182,15.70099313239583,0.19234124444051398,0.6542080471831596,0.00801421851835475,21,21|21,0.3370842833263723,0.415050799686996,0.0002474443187088205,0.5762279852042317,1.7094477960169838,0,0.5056634092401124,0.08779738903268429,0.41463989061974194
