slug,label,metric,metric_label,v2_balanced_n_seeds,v2_balanced_r2_n_seeds,v2_balanced_mean,v2_balanced_std,v2_balanced_r2_mean,v2_balanced_r2_std,delta,abs_delta,pooled_std,delta_over_pooled_std
pythia70m,Pythia-70M,relational,Relational drift,3,3,0.6024140261889311,0.0242459303847572,0.6104351538189432,0.0312370252652411,0.00802112763001206,0.00802112763001206,0.027960837680976257,0.2868700759802129
pythia70m,Pythia-70M,per_token,Per-token drift,3,3,0.7039587867700366,0.0102484608914142,0.7027415241157932,0.0095526713596426,-0.0012172626542434895,0.0012172626542434895,0.009906676555439326,0.12287295819455651
pythia70m,Pythia-70M,cka_change,1 - linear CKA,3,3,0.839219461619027,0.0077744630479428,0.8305260205237078,0.0142939452912152,-0.008693441095319221,0.008693441095319221,0.011505632265809671,0.7555813443779874
gpt2,GPT-2-124M,relational,Relational drift,3,3,0.6326092583073456,0.0070795416038266,0.6324583704518532,0.0071342150090748,-0.0001508878554924431,0.0001508878554924431,0.0071069308817526804,0.02123108526070705
gpt2,GPT-2-124M,per_token,Per-token drift,3,3,0.683472967370024,0.0027216950503673,0.6833811747464446,0.0027137216610648,-9.17926235795008e-05,9.17926235795008e-05,0.0027177112798204076,0.033775708354703025
gpt2,GPT-2-124M,cka_change,1 - linear CKA,3,3,0.9155171106733828,0.0070258065106907,0.9158269987726028,0.0068197543512372,0.000309888099219946,0.000309888099219946,0.006923547014965759,0.04475857512776326
gptneo,GPT-Neo-125M,relational,Relational drift,3,3,0.926899017294185,0.0041357617379554,0.9269000836914844,0.0041112942665463,1.0663972993540938e-06,1.0663972993540938e-06,0.004123546149812825,0.0002586117047344067
gptneo,GPT-Neo-125M,per_token,Per-token drift,3,3,0.973088692446332,0.0009420152241484,0.9730863026891444,0.0009383813606872,-2.3897571875819423e-06,2.3897571875819423e-06,0.0009402000480250257,0.0025417539518338052
gptneo,GPT-Neo-125M,cka_change,1 - linear CKA,3,3,0.6556967507971718,0.0051629203749262,0.655649401908723,0.0051797649825749,-4.734888844881713e-05,4.734888844881713e-05,0.005171349537235771,0.009156002337085575
opt125m,OPT-125M,relational,Relational drift,3,3,0.6806817375614943,0.0278341879406898,0.6776946441398294,0.028545731153444,-0.0029870934216649214,0.0029870934216649214,0.028192204466858783,0.10595458844576647
opt125m,OPT-125M,per_token,Per-token drift,3,3,0.7520934085631334,0.0034592960927149,0.7549659650397413,0.0050502627834755,0.0028725564766078904,0.0028725564766078904,0.004328503415687129,0.6636373362204881
opt125m,OPT-125M,cka_change,1 - linear CKA,3,3,0.7604654610814081,0.0012255719762068,0.7567897137943919,0.0027285980759018,-0.003675747287016251,0.003675747287016251,0.002115097412494097,1.7378619373761397
smollm2135m,SmolLM2-135M,relational,Relational drift,3,3,0.7422731788791476,0.0244111788032103,0.7422533212270493,0.0244387804981663,-1.9857652098220768e-05,1.9857652098220768e-05,0.02442498354963476,0.0008130057511755299
smollm2135m,SmolLM2-135M,per_token,Per-token drift,3,3,0.7895458639165237,0.0052579368595922,0.7895444073889291,0.0052594334091454,-1.4565275946454292e-06,1.4565275946454292e-06,0.00525868518760598,0.0002769756208411697
smollm2135m,SmolLM2-135M,cka_change,1 - linear CKA,3,3,0.7793828834832106,0.0159872707700717,0.7793875248811071,0.0159801163585157,4.641397896465449e-06,4.641397896465449e-06,0.015983693964589193,0.0002903833060585467
pythia,Pythia-160M,relational,Relational drift,3,3,0.6001671310512654,0.0279761500559038,0.5886935659515347,0.0065025582139455,-0.011473565099730743,0.011473565099730743,0.020309458821891294,0.5649370177881619
pythia,Pythia-160M,per_token,Per-token drift,3,3,0.6646842459702954,0.0124934236828004,0.6718371545831417,0.0178288890259916,0.007152908612846343,0.007152908612846343,0.015394072223084468,0.464653439920859
pythia,Pythia-160M,cka_change,1 - linear CKA,3,3,0.7148087756437723,0.0181488335154298,0.7150609574565182,0.0166324394429262,0.0002521818127458886,0.0002521818127458886,0.01740715657126969,0.01448724906410687
opt350m,OPT-350M,relational,Relational drift,2,3,0.63754125711062,0.035292403438438,0.6215142457902664,0.0229083417827781,-0.016027011320353668,0.016027011320353668,0.029751855939571633,0.5386894637062573
opt350m,OPT-350M,per_token,Per-token drift,2,3,0.6921057364753113,0.0108555165017929,0.686902138643463,0.006753617574544,-0.005203597831848317,0.005203597831848317,0.009040287298086482,0.5756009361505291
opt350m,OPT-350M,cka_change,1 - linear CKA,2,3,0.7567605680946187,0.0006200790772893,0.7533122476701034,0.0098915600443739,-0.003448320424515261,0.003448320424515261,0.007008118797992302,0.49204651403785304
gpt2medium,GPT-2-medium,relational,Relational drift,2,3,0.7384960170257989,0.0303650503992616,0.7605241347879447,0.0339464964123887,0.02202811776214575,0.02202811776214575,0.03220559659768792,0.6839841545965081
gpt2medium,GPT-2-medium,per_token,Per-token drift,2,3,0.7347958266404565,0.0040306415615289,0.7369804869090024,0.0088838928051757,0.0021846602685459127,0.0021846602685459127,0.006898174496610559,0.31670121850633853
gpt2medium,GPT-2-medium,cka_change,1 - linear CKA,2,3,0.886637420014775,0.0019298889138421,0.88832131297757,0.0025594204967074,0.0016838929627950305,0.0016838929627950305,0.002266616917206853,0.7429102597849169
smollm2360m,SmolLM2-360M,relational,Relational drift,2,3,0.7165747738532028,0.0236515418920559,0.7124640659603213,0.018183859232954,-0.004110707892881482,0.004110707892881482,0.021095593976889603,0.19486096942256267
smollm2360m,SmolLM2-360M,per_token,Per-token drift,2,3,0.7625528338531,0.009790327995712,0.7643933326389871,0.0076320658649029,0.0018404987858871014,0.0018404987858871014,0.00877778308087635,0.20967695019678603
smollm2360m,SmolLM2-360M,cka_change,1 - linear CKA,2,3,0.8307886238248395,0.0161586162981579,0.8330549219113013,0.0120734552702152,0.0022662980864617266,0.0022662980864617266,0.014263050214329704,0.15889294732937542
pythia410m,Pythia-410M,relational,Relational drift,2,3,0.6001346522436656,0.0161351025962174,0.6117294498211796,0.0278292545163213,0.011594797577514027,0.011594797577514027,0.022746526577970657,0.5097392578936973
pythia410m,Pythia-410M,per_token,Per-token drift,2,3,0.598461960484142,0.0035996176093468,0.6169518501767634,0.0065569648889627,0.01848988969262133,0.01848988969262133,0.005289188760509933,3.4957893412067813
pythia410m,Pythia-410M,cka_change,1 - linear CKA,2,3,0.6542080471831596,0.0080142185183547,0.6641258120411097,0.0164224767336551,0.00991776485795004,0.00991776485795004,0.01292140550651094,0.7675453612962304
bloom560m,BLOOM-560M,relational,Relational drift,2,3,0.5651277822236729,0.028398530198331,0.5575752013979132,0.0281982892983313,-0.007552580825759714,0.007552580825759714,0.02829858686204934,0.26688897444162935
bloom560m,BLOOM-560M,per_token,Per-token drift,2,3,0.5789868617897108,0.0070946271408615,0.5896882317354042,0.0054945731540098,0.010701369945693373,0.010701369945693373,0.006345237127665672,1.6865200985215605
bloom560m,BLOOM-560M,cka_change,1 - linear CKA,2,3,0.7328165758560896,0.0216904140929712,0.7456624308830152,0.0224271946373012,0.01284585502692559,0.01284585502692559,0.022061880278253204,0.5822647419398782
