slug,seed,n_layers,n_layers_used,n_layers_excluded,peak_layer,peak_d_biased,peak_d_unbiased,ratio_at_peak,ratio_median,ratio_min,ratio_max,anisotropy_base_mean,anisotropy_ft_mean
bloom560m,42,25,24,1,23,0.6568700862961043,0.658664391071407,1.0027315976366349,1.0156204792824344,1.0017836468922752,1.0206595823353508,0.45940653600395254,0.434104469677916
bloom560m,43,25,24,1,23,0.5133760529914052,0.5147920821828587,1.002758268881461,1.0147779653447169,1.002758268881461,1.0217164487637656,0.45342241229978747,0.46587586785836643
bloom560m,44,25,24,1,23,0.6404834291025086,0.6418846334775249,1.0021877293171813,1.0168064765433111,1.0021877293171813,1.0212849278293947,0.4585944043351342,0.45518494956326444
gpt2,42,13,12,1,12,0.6170603169650732,0.6182418726960079,1.0019148139954066,1.0130974424027208,1.0019148139954066,1.0161563000610265,0.7063708525202871,0.6966424843383522
gpt2,43,13,12,1,12,0.6297783816476241,0.6307498596214681,1.0015425711681345,1.0113745722065266,1.0015425711681345,1.0161867656467132,0.7081697760643894,0.6964114608284717
gpt2,44,13,12,1,12,0.554987765527012,0.5559937362962575,1.0018125999017118,1.0134962485787626,1.0018125999017118,1.0176092284459612,0.7070179190861202,0.6977776848582752
gpt2medium,42,25,24,1,24,0.9527159519490608,0.9535704011790117,1.0008968562226788,1.017449833113883,1.0008968562226788,1.0231258805757795,0.8068609608963119,0.8012301574277587
gpt2medium,43,25,24,1,24,0.916949489489024,0.91834703000237,1.0015241194082836,1.01835727269822,1.0015241194082836,1.0253106442516025,0.8081087616083024,0.800100336806789
gpt2medium,44,25,24,1,24,0.9455111412647083,0.946542788522043,1.0010911000540457,1.0174101466728118,1.0010911000540457,1.0252109683967592,0.8062917362016344,0.8013217952388902
gptneo,42,13,12,1,12,0.08635944244134941,0.08689397005166555,1.0061895676396841,1.0142144856895459,1.0061895676396841,1.0168918379894882,0.9574800563592715,0.9571200411500569
gptneo,43,13,12,1,12,0.0844850382759964,0.08501817332528905,1.0063104078564893,1.014195660164865,1.0063104078564893,1.0168289417453116,0.9579274667403954,0.9583467236804988
gptneo,44,13,12,1,12,0.08715741975212365,0.08769803568611079,1.0062027528525357,1.0132992972468635,1.0062027528525357,1.01635757808232,0.9576356199103235,0.9573004586163492
opt125m,42,13,12,1,12,0.1569471484982935,0.1573069869685776,1.0022927365914394,1.010962782954012,1.0022927365914394,1.0214791723971877,0.4531496194767249,0.46747897214057615
opt125m,43,13,12,1,12,0.14567941731084688,0.14591871735348882,1.001642648268776,1.0131637789236607,1.001642648268776,1.0232775136630736,0.4634054457134012,0.46118526654431496
opt125m,44,13,12,1,12,0.16532363122615357,0.16575453402589024,1.0026064198840832,1.0116535149206847,1.0026064198840832,1.0215869843892245,0.4582657675666711,0.4568462348975207
opt350m,42,25,24,1,23,0.15592380530004013,0.1570724037167225,1.0073664083202185,1.019138027310508,1.0016210510180783,1.0297357053910747,0.48974025352750145,0.420553553730624
opt350m,43,25,24,1,23,0.17532726013011746,0.17584136618560442,1.0029322653824935,1.0206948015158215,0.9995159042728821,1.027519667838956,0.4953459164515276,0.4488502150660908
opt350m,44,25,24,1,23,0.16242380868898165,0.16322172235611532,1.0049125412928936,1.0173716478850214,1.000231558197112,1.0288488822258661,0.4943340900946218,0.4335757707187948
pythia,42,13,12,1,11,0.19028352343927613,0.19103716767261314,1.0039606384184783,1.0043214828204783,1.0025210354856986,1.0172749575958997,0.6030682765837386,0.5711323264797021
pythia,43,13,12,1,11,0.2543541780545402,0.2555599019515711,1.0047403345455264,1.0061837834851608,1.0047403345455264,1.0206113694591472,0.6004248210945516,0.6127595621067349
pythia,44,13,12,1,12,0.2574334075048983,0.2578723996787662,1.001705264977544,1.0049438795246424,1.001705264977544,1.019828297978365,0.612163459887488,0.603533993586805
pythia410m,42,25,24,1,21,0.3416317243136191,0.3424486472888355,1.0023912386264997,1.0021378791978108,0.9975494966358834,1.0191895169534706,0.575029234059392,0.5425802305848106
pythia410m,43,25,24,1,21,0.3631395826348305,0.3640141909108916,1.0024084630755898,1.0030293050232109,0.9990534718829642,1.0232022643768661,0.5675305124836441,0.5652640503464039
pythia410m,44,25,24,1,21,0.32778568818359954,0.3286625703428425,1.002675169145127,0.9999737641453967,0.9974425072352162,1.021310212225353,0.5747834286100935,0.5557809092849818
pythia70m,42,7,6,1,5,0.24368999732046415,0.24536442715867113,1.0068711471813308,1.0062601845894046,1.0020080449681275,1.0115001537908033,0.619175192672065,0.5984692906879843
