slug,label,n_seeds,seeds,peak_layer_per_seed,ratio_at_peak_mean,ratio_at_peak_std,ratio_median_mean,ratio_median_std,ratio_min,ratio_max,peak_d_biased_mean,peak_d_unbiased_mean,n_layers_excluded_total,anisotropy_base_mean,anisotropy_ft_mean,ratio_simulated_gaussian,simulated_over_measured
bloom560m,BLOOM-560M,3,42;43;44,23;23;23,1.002559198611759,0.00026289404257953913,1.0157349737234875,0.0008320841918458439,1.0017836468922752,1.0217164487637656,0.6035765227966727,0.6051137022439302,3,0.4571411175462914,0.4517217623665157,1.6582060531138934,1.6539732071781963
gpt2,GPT-2-124M,3,42;43;44,12;12;12,1.0017566616884175,0.00015703076852173435,1.0126560877293367,0.0009206784157763509,1.0015425711681345,1.0176092284459612,0.6006088213799031,0.6016618228712446,3,0.7071861825569322,0.6969438766750331,1.558905150491416,1.556171483665453
gpt2medium,GPT-2-medium,3,42;43;44,24;24;24,1.0011706918950027,0.0002621906709044176,1.0177390841616383,0.0004374254629625342,1.0008968562226788,1.0253106442516025,0.9383921942342642,0.9394867399011414,3,0.8070871529020828,0.800884096491146,1.064717357566885,1.0634723590955324
gptneo,GPT-Neo-125M,3,42;43;44,12;12;12,1.0062342427829032,5.412517150263133e-05,1.0139031477004248,0.0004270559118698498,1.0061895676396841,1.0168918379894882,0.08600063348982316,0.08653672635435512,3,0.9576810476699968,0.9575890744823017,1.564995491920235,1.555299377997699
opt125m,OPT-125M,3,42;43;44,12;12;12,1.0021806015814327,0.0004013681825704536,1.0119266922661192,0.0009190811393801433,1.001642648268776,1.0232775136630736,0.15598339901176464,0.15632674611598554,3,0.45827361091893243,0.4618368245274706,1.5608948959205695,1.5574986119841974
opt350m,OPT-350M,3,42;43;44,23;23;23,1.0050704049985353,0.001813669688819397,1.0190681589037835,0.001357571043977326,0.9995159042728821,1.0297357053910747,0.16455829137304642,0.16537849741948074,3,0.49314008669121695,0.4343265131718365,1.7418443591916721,1.7330570580219309
pythia,Pythia-160M,3,42;43;44,11;11;12,1.0034687459805163,0.0012869551788404533,1.0051497152767606,0.0007740875097199956,1.001705264977544,1.0206113694591472,0.23402370299957154,0.2348231564343168,3,0.6052188525219261,0.5958086273910806,1.5250537032270601,1.5197819656424767
pythia410m,Pythia-410M,3,42;43;44,21;21;21,1.0024916236157388,0.00012997664259498652,1.0017136494554728,0.00128298107798762,0.9974425072352162,1.0232022643768661,0.34418566504401643,0.3450418028475232,3,0.5724477250510432,0.5545417300720654,1.7134935447580064,1.7092347750277053
pythia70m,Pythia-70M,3,42;43;44,5;6;5,1.00730064023028,0.0005114608388445796,1.0070165427430187,0.0008200249941493294,1.0020080449681275,1.014076434289121,0.20992543678446204,0.21145577869026191,3,0.62157216781728,0.5955731074921385,1.34429461233997,1.334551531737982
smollm2135m,SmolLM2-135M,3,42;43;44,30;30;30,1.006085720321933,0.0003010411690223722,1.0153140837303793,0.0003475899762751867,1.0058478449730648,1.0249768054497914,0.0966479096666758,0.09723648053865741,15,0.6533759658017749,0.640153717403065,1.4391493908970145,1.4304441081188461
smollm2360m,SmolLM2-360M,3,42;43;44,32;32;32,1.0074374392691994,3.4892160407705474e-05,1.020259385196987,0.00015716484998331952,1.0073928633935438,1.0285623456187174,0.17879178418204525,0.18012132966170835,20,0.6666986089518567,0.6520787052767408,1.727340964171333,1.7145888139955923
