slug,n_samples,hidden_size,dim_over_samples,mix,repeats,cka_biased,cka_biased_std,cka_unbiased,cka_unbiased_std,bias
pythia70m,1487,512,0.34431741761936785,0.0,2,0.25561235958072737,0.00039544289187972646,-0.000588401000238492,0.000572370789141298,0.25620076058096586
pythia70m,1487,512,0.34431741761936785,0.3,2,0.32263683179274955,4.616132231989052e-05,0.0896783600149609,0.0001408021871732775,0.23295847177778864
pythia70m,1487,512,0.34431741761936785,0.7,2,0.6201979024877752,0.0001829643791905167,0.48939012942771,0.00042552934597325375,0.1308077730600652
pythia70m,1487,512,0.34431741761936785,0.9,2,0.8583130715812708,0.00037231024042801164,0.8095486828224505,0.0005283844032893394,0.048764388758820276
pythia70m,1487,512,0.34431741761936785,0.95,2,0.9276203540744942,0.00014126335287074234,0.9027198850149918,0.00014613869041674564,0.024900469059502384
pythia70m,1487,512,0.34431741761936785,0.98,2,0.9704853555931726,7.996886899930219e-06,0.9603194764379339,2.024772123875058e-05,0.0101658791552387
pythia70m,1487,512,0.34431741761936785,0.99,2,0.98519412316952,3.6378151697443686e-05,0.9800846994728418,5.397924779603188e-05,0.005109423696678217
pythia70m,1487,512,0.34431741761936785,0.997,2,0.9955609077296224,3.18793209294972e-06,0.994033685932565,4.922955056598832e-06,0.001527221797057332
pythia70m,1487,512,0.34431741761936785,1.0,2,1.0,0.0,1.0,0.0,0.0
gpt2,1374,768,0.5589519650655022,0.0,2,0.35906612716361563,0.00036122012967903746,0.0012286299663398052,0.0005117435629616942,0.3578374971972758
gpt2,1374,768,0.5589519650655022,0.3,2,0.4166453644372095,0.0014004559057203827,0.09044125797765656,0.002638550305367115,0.32620410645955294
gpt2,1374,768,0.5589519650655022,0.7,2,0.6726886866533377,0.00030955175260332637,0.48991409216672394,0.0003233500872652351,0.18277459448661376
gpt2,1374,768,0.5589519650655022,0.9,2,0.8781990321004975,0.000578338442683689,0.8101491698130883,0.000799060374617789,0.06804986228740928
gpt2,1374,768,0.5589519650655022,0.95,2,0.9375770952721341,0.00016779040732271206,0.9027040718016188,0.00022255632490847312,0.03487302347051524
gpt2,1374,768,0.5589519650655022,0.98,2,0.9746305345672928,7.944214886136215e-05,0.9604843998718706,0.0001423579536123368,0.014146134695422141
gpt2,1374,768,0.5589519650655022,0.99,2,0.9872629919381497,1.2158892793735084e-05,0.9801430516647518,6.354034477781392e-06,0.007119940273397907
gpt2,1374,768,0.5589519650655022,0.997,2,0.996166630241876,6.032752080776045e-07,0.9940255308779038,1.3419250404841829e-06,0.002141099363972221
gpt2,1374,768,0.5589519650655022,1.0,2,1.0,0.0,1.0,0.0,0.0
