slug,label,hf_id,tier,model_type,n_params,n_blocks,n_curve_points,hidden_size,positional_encoding,n_seeds,seeds,n_cka_samples_min,n_cka_samples_max,n_cka_samples_mean,device,gpu_name,relational_centroid_mean,relational_centroid_std,relational_centroid_norm_mean,relational_centroid_norm_std,relational_argmax_mean_curve,relational_argmax_per_seed,relational_max_mean_curve,per_token_centroid_mean,per_token_centroid_std,per_token_centroid_norm_mean,per_token_centroid_norm_std,per_token_argmax_mean_curve,per_token_argmax_per_seed,per_token_max_mean_curve,cka_change_centroid_mean,cka_change_centroid_std,cka_change_centroid_norm_mean,cka_change_centroid_norm_std,cka_change_argmax_mean_curve,cka_change_argmax_per_seed,cka_change_max_mean_curve,cka_null_biased,cka_null_unbiased,cka_change_max_debiased,cka_change_inflation_factor,n_layer_seed_rows_flagged,headroom_used_max,headroom_used_median,ceiling_min
pythia70m,Pythia-70M,EleutherAI/pythia-70m,A,gpt_neox,70426624,6,7,512,rotary,3,42|43|44,1481,1492,1487.0,cuda,NVIDIA A100-SXM4-80GB,3.662610922913659,0.18742215159144662,0.6104351538189432,0.031237025265241105,5,5|5|5,0.0940466115431647,4.216449144694759,0.057316028157855886,0.7027415241157932,0.009552671359642648,5,5|5|5,0.2545330844944564,4.983156123142247,0.08576367174729145,0.8305260205237078,0.014293945291215242,5,5|6|5,0.20126955365911228,0.25561235958072737,-0.000588401000238492,0.2705633368235212,1.3442834840373865,3,0.26913375025014374,0.057223825590222835,0.018732808373460252
gpt2,GPT-2-124M,gpt2,A,gpt2,124439808,12,13,768,learned_absolute,3,42|43|44,1369,1380,1374.6666666666667,cuda,NVIDIA A100-SXM4-80GB,7.589500445422238,0.08561058010889824,0.6324583704518532,0.007134215009074854,10,10|10|10,0.0435307049774575,8.200574096957334,0.03256465993277844,0.6833811747464446,0.00271372166106487,10,10|10|10,0.09667896904052901,10.989923985271233,0.08183705221484704,0.9158269987726028,0.006819754351237253,12,12|12|12,0.6006088213799031,0.35906612716361563,0.0012286299663398052,0.9362921850797098,1.558905150491416,3,0.36244881438889887,0.024865611545358633,0.04247625348826112
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,gpt_neo,125198592,12,13,768,learned_absolute,3,42|43|44,1353,1360,1357.3333333333333,cuda,NVIDIA A100-SXM4-80GB,11.122801004297813,0.04933553119855642,0.9269000836914844,0.004111294266546369,12,12|12|12,0.06582202703336167,11.677035632269734,0.011260576328247415,0.9730863026891444,0.0009383813606872846,12,12|12|12,0.18365958941342342,7.8677928229046765,0.06215717979089968,0.655649401908723,0.0051797649825749735,12,12|12|12,0.08600063348982316,0.36158330928522775,0.0003467489809964915,0.13459060371385756,1.5649954919202342,33,0.11807010934758683,0.08871147485458084,0.006591343450019549
opt125m,OPT-125M,facebook/opt-125m,A,opt,125239296,12,13,768,learned_absolute,3,42|43|44,1354,1391,1369.3333333333333,cuda,NVIDIA A100-SXM4-80GB,8.132335729677953,0.34254877384132815,0.6776946441398294,0.028545731153444012,12,12|12|12,0.10014675838431523,9.059591580476896,0.06060315340170676,0.7549659650397413,0.005050262783475563,12,12|12|12,0.3540621359769049,9.081476565532702,0.0327431769108222,0.7567897137943919,0.00272859807590185,12,12|12|12,0.15598339901176464,0.35929931434244033,0.00038875585230735307,0.243473691365805,1.5608948959205693,0,0.11196911546209112,0.03641177213806711,0.9128835160740826
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,llama,134515008,30,31,576,rotary,3,42|43|44,1304,1318,1313.0,cuda,NVIDIA A100-SXM4-80GB,22.26759963681148,0.733163414944991,0.7422533212270493,0.02443878049816637,30,30|30|30,0.16262158655610892,23.686332221667872,0.15778300227436384,0.7895444073889291,0.005259433409145461,30,30|30|30,0.16367181766360228,23.381625746433212,0.47940349075547095,0.7793875248811071,0.0159801163585157,30,30|30|30,0.0966479096666758,0.30499603610133863,0.0005371201396652502,0.13909078032826627,1.4391493908970157,0,0.24637732891732908,0.01834353552711555,0.389137793243697
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,gpt_neox,162322944,12,13,768,rotary,3,42|43|44,1456,1468,1462.6666666666667,cuda,NVIDIA A100-SXM4-80GB,7.064322791418416,0.07803069856734687,0.5886935659515347,0.0065025582139455725,11,11|11|11,0.10719578377774734,8.0620458549977,0.21394666831189957,0.6718371545831417,0.01782888902599163,11,11|11|11,0.4373409591153896,8.580731489478218,0.19958927331511542,0.7150609574565182,0.016632439442926285,11,11|11|12,0.22297555773987368,0.34383208831209344,-0.0006243669276578869,0.340045504000405,1.5250348847522863,3,0.20678435407471119,0.09374624569234193,0.020797804835261058
opt350m,OPT-350M,facebook/opt-350m,B,opt,331196416,24,25,1024,learned_absolute,3,42|43|44,1371,1395,1380.0,cuda,NVIDIA A100-SXM4-80GB,14.916341898966394,0.5498002027866765,0.6215142457902664,0.022908341782778188,16,16|24|16,0.11948667030206861,16.48565132744311,0.16208682178905828,0.686902138643463,0.006753617574544095,23,23|23|23,0.2982386807276039,18.079493944082483,0.2373974410649748,0.7533122476701034,0.00989156004437395,23,23|23|23,0.16455829137304642,0.427067829749153,0.001767718820354225,0.28663493158636055,1.7418443591916724,0,0.1764978475054927,0.08587909410569884,0.713352002113563
gpt2medium,GPT-2-medium,gpt2-medium,B,gpt2,354823168,24,25,1024,learned_absolute,3,42|43|44,1389,1413,1399.6666666666667,cuda,NVIDIA A100-SXM4-80GB,18.252579234910673,0.8147159138973299,0.7605241347879447,0.03394649641238875,24,24|24|24,0.2127072270127639,17.687531685816058,0.21321342732421752,0.7369804869090024,0.00888389280517573,24,24|24|24,0.11533476268584576,21.31971151146168,0.061426091920979906,0.88832131297757,0.002559420496707496,24,24|24|24,0.9383921942342642,0.42295789451723786,0.0008775425935033845,0.9991224574064966,1.0647173575668847,1,0.8312739421175369,0.035799911107290625,0.21052015042264838
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,llama,361821120,32,33,960,rotary,3,42|43|44,1304,1339,1320.6666666666667,cuda,NVIDIA A100-SXM4-80GB,22.79885011073028,0.5818834954545284,0.7124640659603213,0.018183859232954014,32,32|32|32,0.11277265091007917,24.460586644447588,0.24422610767689598,0.7643933326389871,0.007632065864902999,32,32|32|32,0.09028134108317504,26.65775750116164,0.3863505686468873,0.8330549219113013,0.012073455270215229,32,32|32|32,0.17879178418204525,0.4203787653715815,-0.0009305566297008263,0.3088343728749269,1.7273409641713326,0,0.21898725304503386,0.01871967964896532,0.3346160956920504
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,gpt_neox,405334016,24,25,1024,rotary,3,42|43|44,1427,1452,1436.3333333333333,cuda,NVIDIA A100-SXM4-80GB,14.68150679570831,0.667902108391713,0.6117294498211796,0.027829254516321376,24,24|24|24,0.18749692260858852,14.80684440424232,0.15736715733510487,0.6169518501767634,0.006556964888962703,24,24|24|23,0.3334901839005977,15.93901948898663,0.39413944160772446,0.6641258120411097,0.016422476733655187,21,21|21|21,0.34418566504401643,0.41630783638430213,0.0001266765111198372,0.5897599152511637,1.7134935447580066,0,0.3662198161544273,0.08879669967936026,0.4543868927065917
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,bloom,559214592,24,25,1024,alibi,3,42|43|44,1445,1468,1456.3333333333333,cuda,NVIDIA A100-SXM4-80GB,13.381804833549916,0.6767589431599517,0.5575752013979132,0.02819828929833132,21,20|21|21,0.08374859508088373,14.1525175616497,0.13186975569623646,0.5896882317354042,0.005494573154009853,19,18|19|18,0.24684070771107414,17.895898341192364,0.5382526712952298,0.7456624308830152,0.02242719463730124,23,23|23|23,0.6035765227966727,0.412503858698419,-0.0008542436188786306,1.0008542436188785,1.6582060531138934,6,0.24848232888465294,0.03810586424759944,0.013149177424354064
