slug,label,seed,layer,depth_norm,relational,anisotropy_base,anisotropy_ft,ceiling,headroom_used,saturation_class
pythia70m,Pythia-70M,42,0,0.0,0.0006701098611838,0.0759701374894109,0.0760411883802929,1.8479886741302962,0.00036261578361629744,neither
pythia70m,Pythia-70M,42,1,0.16666666666666666,0.0271708575582314,0.5448796872264647,0.5183963870173034,0.9367239257562319,0.029006259807334317,neither
pythia70m,Pythia-70M,42,2,0.3333333333333333,0.0424017410511448,0.5918419506490599,0.5526964733631716,0.8554615759877684,0.04956592118375995,neither
pythia70m,Pythia-70M,42,3,0.5,0.0259575951931353,0.7694494206604024,0.7477853012853408,0.48276527805425684,0.05376856284643153,neither
pythia70m,Pythia-70M,42,4,0.6666666666666666,0.0457847044985144,0.7104401070395164,0.6858666856374933,0.6036932073229901,0.0758410131887048,neither
pythia70m,Pythia-70M,42,5,0.8333333333333334,0.083897152625707,0.6494720828354008,0.6197388134246042,0.730789103739995,0.11480350787435453,neither
pythia70m,Pythia-70M,42,6,1.0,0.0040877085323418,0.9921729628041998,0.9887601857076832,0.019066851488117043,0.21438822948242744,both
pythia70m,Pythia-70M,43,0,0.0,0.0006467974730221,0.0768829130738356,0.0769198512500202,1.8461972356761442,0.0003503403972897941,neither
pythia70m,Pythia-70M,43,1,0.16666666666666666,0.0193141803646921,0.5491791957890637,0.5308242835232322,0.9199965206877041,0.02099375370491033,neither
pythia70m,Pythia-70M,43,2,0.3333333333333333,0.0376352151237314,0.5951037741016777,0.5605043203302105,0.8443919055681117,0.044570790974612924,neither
pythia70m,Pythia-70M,43,3,0.5,0.0297270917281643,0.7707071089670735,0.743047968716452,0.48624492231647465,0.06113604556844358,neither
pythia70m,Pythia-70M,43,4,0.6666666666666666,0.0464760348851491,0.7138807883556697,0.6798873848678646,0.6062318267764657,0.07666379895011037,neither
pythia70m,Pythia-70M,43,5,0.8333333333333334,0.1226473382042436,0.6529858093928278,0.5492177623136502,0.797796428293522,0.15373262383059916,neither
pythia70m,Pythia-70M,43,6,1.0,0.0055891065491371,0.9922448935739206,0.9869880842895308,0.020767022136548685,0.26913375025014374,both
pythia70m,Pythia-70M,44,0,0.0,0.0006213103646318,0.0792374510117666,0.0792703424353092,1.8414922065529242,0.00033739505517366614,neither
