slug,label,hf_id,tier,n_blocks,layer,normalized_depth,anisotropy,saturated
pythia70m,Pythia-70M,EleutherAI/pythia-70m,A,6,0,0.0,0.09091886234650862,0
pythia70m,Pythia-70M,EleutherAI/pythia-70m,A,6,1,0.16666666666666666,0.5259819421408696,0
pythia70m,Pythia-70M,EleutherAI/pythia-70m,A,6,2,0.3333333333333333,0.5806897448357519,0
pythia70m,Pythia-70M,EleutherAI/pythia-70m,A,6,3,0.5,0.7642990870578128,0
pythia70m,Pythia-70M,EleutherAI/pythia-70m,A,6,4,0.6666666666666666,0.702109714255631,0
pythia70m,Pythia-70M,EleutherAI/pythia-70m,A,6,5,0.8333333333333334,0.6452406588257882,0
pythia70m,Pythia-70M,EleutherAI/pythia-70m,A,6,6,1.0,0.9930213979797358,1
gpt2,GPT-2-124M,gpt2,A,12,0,0.0,0.7248060671989648,0
gpt2,GPT-2-124M,gpt2,A,12,1,0.08333333333333333,0.752491633348357,0
gpt2,GPT-2-124M,gpt2,A,12,2,0.16666666666666666,0.6762480595258193,0
gpt2,GPT-2-124M,gpt2,A,12,3,0.25,0.6606969169768104,0
gpt2,GPT-2-124M,gpt2,A,12,4,0.3333333333333333,0.6517232747241073,0
gpt2,GPT-2-124M,gpt2,A,12,5,0.4166666666666667,0.6668375248162787,0
gpt2,GPT-2-124M,gpt2,A,12,6,0.5,0.6457198755764006,0
gpt2,GPT-2-124M,gpt2,A,12,7,0.5833333333333334,0.6436681251913252,0
gpt2,GPT-2-124M,gpt2,A,12,8,0.6666666666666666,0.6575627250574512,0
gpt2,GPT-2-124M,gpt2,A,12,9,0.75,0.6809155841772517,0
gpt2,GPT-2-124M,gpt2,A,12,10,0.8333333333333334,0.734419353836758,0
gpt2,GPT-2-124M,gpt2,A,12,11,0.9166666666666666,0.832361660549996,0
gpt2,GPT-2-124M,gpt2,A,12,12,1.0,0.9851347183569608,1
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,12,0,0.0,0.9306451711755397,0
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,12,1,0.08333333333333333,0.9856735001364362,1
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,12,2,0.16666666666666666,0.9951167937590757,1
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,12,3,0.25,0.9969788044796918,1
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,12,4,0.3333333333333333,0.9968294311386006,1
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,12,5,0.4166666666666667,0.9962735189426374,1
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,12,6,0.5,0.995723928721022,1
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,12,7,0.5833333333333334,0.9954285065050525,1
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,12,8,0.6666666666666666,0.9939120680404965,1
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,12,9,0.75,0.9917058021017988,1
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,12,10,0.8333333333333334,0.9849435390898765,1
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,12,11,0.9166666666666666,0.9713119892208699,1
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,12,12,1.0,0.677215241457802,0
opt125m,OPT-125M,facebook/opt-125m,A,12,0,0.0,0.293485014376667,0
opt125m,OPT-125M,facebook/opt-125m,A,12,1,0.08333333333333333,0.4575686925611757,0
opt125m,OPT-125M,facebook/opt-125m,A,12,2,0.16666666666666666,0.4847068538346967,0
opt125m,OPT-125M,facebook/opt-125m,A,12,3,0.25,0.4806605413480283,0
opt125m,OPT-125M,facebook/opt-125m,A,12,4,0.3333333333333333,0.4838053972173221,0
opt125m,OPT-125M,facebook/opt-125m,A,12,5,0.4166666666666667,0.49533429192501355,0
opt125m,OPT-125M,facebook/opt-125m,A,12,6,0.5,0.48741668190969767,0
opt125m,OPT-125M,facebook/opt-125m,A,12,7,0.5833333333333334,0.49557579753012587,0
