slug,label,hf_id,tier,revision,model_type,n_params,n_blocks,n_curve_points,hidden_size,word_embed_proj_dim,vocab_size_embedding,tokenizer_vocab_size,positional_encoding,tokenizer_had_pad_token,n_contexts_used,n_degenerate_contexts,context_tokens_min,context_tokens_max,context_tokens_mean,candidates_min,candidates_max,candidates_mean,n_cka_samples,anisotropy_min,anisotropy_mean,anisotropy_max,n_saturated_layers,model_load_seconds,seconds_per_forward,est_screen_seconds,seconds_per_train_step,train_steps_per_seed,est_train_seconds_per_seed,est_seconds_per_seed,est_total_seconds
pythia70m,Pythia-70M,EleutherAI/pythia-70m,A,a39f36b100fe8a5377810d56c3f4789b9c53ac42,gpt_neox,70426624,6,7,512,,50304,50277,rotary,False,40,0,6,12,8.0,20,20,20.0,800,0.09091886234650862,0.6146087724917282,0.9930213979797358,1,71.47994599997764,0.018720067619038414,31.449713599984534,1.0056258999975398,219,220.23207209946122,394.64167769940104,1183.9250330982031
gpt2,GPT-2-124M,gpt2,A,607a30d783dfa663caf39e06633721c8d4cfcd7e,gpt2,124439808,12,13,768,,50257,50257,learned_absolute,False,40,0,6,11,7.975,20,20,20.0,800,0.6436681251913252,0.7163527322566523,0.9851347183569608,1,105.31125699996483,0.11853991333337036,199.1470544000622,5.497872799984179,219,1204.0341431965353,1613.8037115965271,4841.411134789581
gptneo,GPT-Neo-125M,EleutherAI/gpt-neo-125M,reference,21def0189f5705e2521767faed922f1f15e7d7db,gpt_neo,125198592,12,13,768,,50257,50257,learned_absolute,False,40,0,6,11,7.975,20,20,20.0,800,0.677215241457802,0.9624429457514536,0.9969788044796918,11,0.7715038000023924,0.06802847511904214,114.2878381999908,2.415348600014113,219,528.9613434030907,644.7921892030863,1934.376567609259
opt125m,OPT-125M,facebook/opt-125m,A,27dcfa74d334bc871f3234de431e71c6eeba5dd6,opt,125239296,12,13,768,768,50272,50265,learned_absolute,True,40,0,6,11,7.975,20,20,20.0,800,0.293485014376667,0.4727634273711102,0.5161815991510676,0,38.98795609996887,0.15955614428565326,268.0543223998975,5.619633199996315,219,1230.699670799193,1576.7299053990282,4730.189716197085
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,93efa2f097d58c2a74874c7e644dbc9b0cee75a2,llama,134515008,30,31,576,,49152,49152,rotary,False,40,0,6,11,7.9,20,20,20.0,800,0.1608336832998894,0.6579261306720484,0.8261515619930465,0,42.982961800007615,0.10171571297618183,170.88239779998548,4.08071910002036,219,893.6774829044589,1150.5258043044596,3451.577412913379
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,50f5173d932e8e61f858120bcb800b97af589f46,gpt_neox,162322944,12,13,768,,50304,50277,rotary,False,40,0,6,12,8.0,20,20,20.0,800,0.08302078166017401,0.6055115748920381,0.9899398711457001,1,0.6920751000288874,0.049056331190444155,82.41463639994618,2.946288400038611,219,645.2371596084558,729.0359462084598,2187.1078386253794
gpt2medium,GPT-2-medium,gpt2-medium,B,6dcaa7a952f72f9298047fd5137cd6e4f05f41da,gpt2,354823168,24,25,1024,,50257,50257,learned_absolute,False,40,0,6,11,7.975,20,20,20.0,800,0.4776095720027372,0.8120774388711611,0.9067498951002678,0,200.29229729995131,0.24205101630948428,406.6457073999336,11.979218999971636,219,2623.448960993788,3430.6792629936244,6861.358525987249
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,f8027fd0eaeea54caa13c31d31b9fdc459c38b49,llama,361821120,32,33,960,,49152,49152,rotary,False,40,0,6,11,7.9,20,20,20.0,800,0.07639008958641308,0.6754559606838716,0.8598483899762377,0,93.88012109999545,0.2558634326190388,429.85056679998524,10.85681480000494,219,2377.642441201082,2995.253250201058,5990.506500402116
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,9879c9b5f8bea9051dcb0e68dff21493d67e9d4f,gpt_neox,405334016,24,25,1024,,50304,50277,rotary,False,40,0,6,12,8.0,20,20,20.0,800,0.07602607922879212,0.5872144060549576,0.7815389539020899,0,167.69582520000404,0.2123961973809249,356.82561159995385,11.726790999993682,219,2568.1672289986163,3260.3844909985783,6520.7689819971565
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,ac2ae5fab2ce3f9f40dc79b5ca9f637430d24971,bloom,559214592,24,25,1024,,250880,250680,alibi,True,40,0,6,12,8.1,20,20,20.0,800,0.08012708837481675,0.48869504601082636,0.9950565693965823,2,146.81832920003217,0.29134269166665727,489.45572199998423,26.44016559998272,219,5790.396266396216,6573.488646796264,13146.977293592528
