layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,0.0,0.0,0.0,0.0,4.191091917959966e-17,1.409535147000554e-17,1.0,1.0,0.9306451711755397,0.9306451711755397
1,0.0,0.0,0.0,0.0,5.828670879282071e-17,2.531698018113677e-17,1.0,1.0,0.985673499943265,0.985673499943265
2,0.0,0.0,0.0,0.0,5.745404152435185e-17,2.3007011668519404e-17,1.0,1.0,0.9951167935422152,0.9951167935422152
3,0.0,0.0,0.0,0.0,3.594347042223944e-17,1.2349671748513206e-17,0.9999999999999998,1.0,0.996978804368343,0.996978804368343
4,0.0,0.0,0.0,0.0,3.4555691641458006e-17,1.455448503325185e-17,0.9999999999999999,1.0,0.9968294312816383,0.9968294312816383
5,0.0,0.0,0.0,0.0,3.497202527569244e-17,1.9634004626375872e-17,1.0,1.0,0.9962735192651477,0.9962735192651477
6,0.0,0.0,0.0,0.0,3.982925100842749e-17,1.8110911871813362e-17,0.9999999999999999,1.0,0.9957239289319404,0.9957239289319404
7,0.0,0.0,0.0,0.0,3.4416913763379846e-17,1.8377461060977538e-17,1.0,1.0,0.9954285065677697,0.9954285065677697
8,0.0,0.0,0.0,0.0,3.996802888650564e-17,1.9984014443252817e-17,1.0,1.0,0.9939120685072403,0.9939120685072403
9,0.0,0.0,0.0,0.0,3.774758283725532e-17,2.0441373748705216e-17,1.0,1.0,0.9917058025134301,0.9917058025134301
10,0.0,0.0,0.0,0.0,3.538835890992687e-17,1.3971148838361375e-17,1.0,1.0,0.9849435403688949,0.9849435403688949
11,0.0,0.0,0.0,0.0,3.497202527569243e-17,1.0976619576211314e-17,1.0,1.0,0.9713119904896887,0.9713119904896887
12,0.0,0.0,0.0,0.0,3.524958103184872e-17,1.1001156198568127e-17,1.0,1.0,0.6772152546548516,0.6772152546548516
