layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,0.0,0.0,0.0,0.0,2.4147350785597158e-17,1.3797061850380842e-17,0.9999999999999998,1.0,0.08302078166017401,0.08302078166017401
1,0.0,0.0,0.0,0.0,3.8441472227646033e-17,1.4549191049250857e-17,1.0,1.0,0.3864877405015458,0.3864877405015458
2,0.0,0.0,0.0,0.0,3.316791286067655e-17,1.4920396853693964e-17,1.0,1.0,0.5146583650977847,0.5146583650977847
3,0.0,0.0,0.0,0.0,2.733924198139447e-17,1.1669726062235627e-17,1.0,1.0,0.5309996966308927,0.5309996966308927
4,0.0,0.0,0.0,0.0,2.955968803064479e-17,1.2249457211126111e-17,1.0,1.0,0.5761679163692325,0.5761679163692325
5,0.0,0.0,0.0,0.0,3.6082248300317595e-17,1.4686870114880514e-17,1.0,1.0,0.6266118597651544,0.6266118597651544
6,0.0,0.0,0.0,0.0,4.85722573273506e-17,2.318047571737989e-17,1.0,1.0,0.6521490398586198,0.6521490398586198
7,0.0,0.0,0.0,0.0,4.649058915617842e-17,1.7758688814025938e-17,1.0,1.0,0.6766097538424778,0.6766097538424778
8,0.0,0.0,0.0,0.0,3.5110803153770585e-17,1.6946250736005906e-17,0.9999999999999999,1.0,0.7715115499955584,0.7715115499955584
9,0.0,0.0,0.0,0.0,3.70536934468646e-17,1.8385319266724844e-17,0.9999999999999999,1.0,0.6734915501790735,0.6734915501790735
10,0.0,0.0,0.0,0.0,2.9420910152566656e-17,1.3380375466713836e-17,0.9999999999999998,1.0,0.6933050702405008,0.6933050702405008
11,0.0,0.0,0.0,0.0,3.302913498259841e-17,1.560001627475982e-17,1.0,1.0,0.6966966960751729,0.6966966960751729
12,0.0,0.0,0.0,0.0,5.88418203051333e-17,2.534131173906512e-17,0.9999999999999998,1.0,0.9899398887103574,0.9899398887103574
