layer,l3_mean,l3_std,per_token_mean,per_token_std,cka,anisotropy_base,anisotropy_ft
0,5.644504463388387e-05,5.2662958722193995e-06,1.0682187827319e-05,1.224792956678355e-06,0.9999991545077732,0.9263523039110664,0.9263680693139685
1,0.0009097196018087514,0.00013566824751694485,0.00026459133832538626,1.6760355138357865e-05,0.9950562797216915,0.9852615236499449,0.9843993740101544
2,0.0004954095839219728,7.08360593696691e-05,0.0002150364420496747,1.1622438061147483e-05,0.9902373683832979,0.9949388020597965,0.9944452181685062
3,0.0003722152357370982,4.185270212656434e-05,0.00036207341384886157,4.837428079446308e-05,0.9708672331656051,0.996838609626413,0.9964666660988462
4,0.0007485053027580808,0.00011043373684312118,0.00047284093728412735,5.470705945211082e-05,0.9431873922520916,0.9966573901319679,0.995909193160523
5,0.0008557542047857648,0.0001705828346233985,0.000685660098316404,8.417666205550727e-05,0.9560214608240502,0.9960310236553314,0.9951757877792786
6,0.0007867599528406667,0.00015761253565339917,0.001229732787653781,0.00019929395504019622,0.9389969522546846,0.9954005101337126,0.9946162969477843
7,0.0006185571736508627,0.00011681359149888897,0.0008964252928340731,9.821282171952362e-05,0.9579644231215658,0.9950651063744935,0.994459852429357
8,0.0007218906596089173,0.0001803179736451735,0.002218225583701879,0.00039872727000738655,0.921077056634131,0.9932557283790882,0.9926383287216576
9,0.0011109552053308214,0.00029191906924563,0.0020701127469387416,0.00020777652446722172,0.9707194962401182,0.9904961467937051,0.9895555368784491
10,0.0035497908152208628,0.0006150229765630756,0.005597743408281222,0.0005738403988352053,0.9436177428099527,0.9824401410774536,0.9790798983000988
11,0.006224595163513856,0.001198465616811811,0.012432047458699708,0.001325474614715118,0.9420632999259217,0.9670727065325323,0.961631077685541
12,0.059555887204672565,0.007647286021645484,0.18314228369046096,0.025328895103702155,0.9094447960614849,0.6213520154451391,0.6258719061808271
