context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,37,666,0.542375688634267,0.3385505697224289,0.7900737351737916,0.35509442158945603,0.7984572776385903,5.164097304542896e-05,1.1110892910075069e-05,0.0009224935391245529,0.00026681232026790747,0.00046949120095926615,0.00021957192699505076,0.0003595747783435801,0.00032101168844084356,0.0006828224312850394,0.0004428585013808132,0.0007404780510260583,0.0006376466486229384,0.0006748319954598881,0.0012279682822585916,0.0005559919722800392,0.0009450552586979424,0.0006583614648606425,0.0024079640732663265,0.0010886533962889335,0.0021781972340018016,0.0033499053576101466,0.005765130649494519,0.006356546068430838,0.013536626864915845,0.06856820499032087,0.19539538457500297
A manager is typically described as a,leadership,37,666,0.5761246486764379,0.3769913683645427,0.7849436928518116,0.38914241807651706,0.79385614722014,5.465132158023173e-05,1.0472797941511774e-05,0.0008983844288969258,0.0002754587420474102,0.0004382030553018841,0.00021934968604770294,0.0003451587503425801,0.00031109715214573187,0.0006164424169022825,0.000420882731798459,0.0006502125480270472,0.0005945639608847381,0.0006448531230350466,0.0010433048712121355,0.0005531603581830044,0.0008963567718930185,0.0006261338172699813,0.0026450077028570395,0.0011909651449081408,0.0022957235618250764,0.0038168603284648808,0.0062910814657598365,0.007107512533029223,0.014366874026337711,0.07056685103918219,0.22224129019228006
A leader is typically described as a,leadership,37,666,0.5607448758989192,0.3147210138849914,0.7956880810670555,0.32555644377862336,0.8043417157350632,6.022316435691419e-05,1.0909348038961402e-05,0.0009287188410140821,0.00027316782593393745,0.00043664548270318167,0.00021289114214675267,0.00034613907157672494,0.00031452509446502983,0.0006199769724322964,0.00043269108869098557,0.0006486056995138966,0.0006176763550104604,0.0006156410359523673,0.0010554503242725696,0.000480905040770417,0.0008994626733227094,0.0005116946840840441,0.002780949643517137,0.0009319159173551591,0.002340971973709485,0.002742386553839331,0.006484307423666302,0.005869616273178918,0.014555156443340411,0.07073424020525906,0.21992782654923465
A successful entrepreneur is typically a,leadership,36,630,0.5434783855699541,0.47223057178780437,0.9160210005939007,0.4953016628860496,0.9228872111998498,6.821496252367764e-05,1.3306799934871396e-05,0.000644618173638588,0.00022993836404622888,0.0004274831525162156,0.0002060333281772606,0.00034773624075861207,0.00030781453997580366,0.000754110329688242,0.0004109084733105697,0.0009470179438092175,0.0006531572016946639,0.0008981606215174775,0.0013865333092067543,0.0006928372250229466,0.0010126283995260264,0.0009413630783250054,0.002797059397276372,0.0011261448335949241,0.0021538354089933936,0.004384826028761182,0.005603075234786977,0.008922712788415239,0.012705379936544695,0.0632334637284519,0.16695770466568347
A strong executive is typically a,leadership,34,561,0.4310065855918447,0.2620298406109214,0.9377573286183178,0.27565594017505646,0.9409104234355254,6.699755605352034e-05,1.2892897542184007e-05,0.0006432645933730607,0.0002481864962707303,0.00040544053259499775,0.00020539188398985766,0.0003504663827387839,0.00030394406576816587,0.0008390041197237453,0.00045936212491246183,0.0010712871160736977,0.0007513836070583979,0.001057957016093443,0.0017250092187865015,0.0007917284215664943,0.0012539071458501278,0.0010015288469431747,0.0036857398990135155,0.0014313097092967363,0.0029191467932029574,0.004384986330163823,0.007817515269611556,0.007745157823630691,0.01735149050064583,0.07617169781676193,0.25645012693707075
A company president is typically a,leadership,36,630,0.5293930221552248,0.30619864584878087,0.9621739085996523,0.33636334761831677,0.9641770725650076,6.613665118186705e-05,1.3842529083306508e-05,0.0006172006915663651,0.000221055428071835,0.00041972848691127195,0.00019699010957976374,0.0003378814367485641,0.00032251935926752573,0.0007442903945399622,0.00043467882194788945,0.0009411170431803643,0.0006879490059241741,0.0008941576332493478,0.0014597933073673007,0.0006834172895055447,0.0010247331014854805,0.0008273817997868204,0.002862605379298891,0.0011022956502294767,0.002173472456839095,0.0047735410286730996,0.005913255819267719,0.009444680130013556,0.013156109966175108,0.0496211142793084,0.1626132616105844
A department director is typically described as a,leadership,39,741,0.57739774916277,0.34711816627532244,0.8090872312895954,0.3643013562223132,0.8208957715953602,4.970332077312779e-05,1.0917352874987666e-05,0.0008174670519733141,0.00027037961676104974,0.00039649121158888867,0.00020705375986109262,0.00033022109957409415,0.00030974658923050446,0.0006387710697464356,0.00041407298660769195,0.0006635359706521383,0.000607842759994191,0.0006103698839356069,0.0011343850740488154,0.0005359241630315092,0.0009095160171203897,0.0006382850667355223,0.002434852407116281,0.0010734633521883375,0.002117119554213519,0.0036827400199273236,0.005833909416838701,0.005984869475029214,0.01337116206886065,0.065320119779179,0.1686462860439012
A project supervisor is typically described as a,leadership,36,630,0.5906188967700366,0.4451751827728003,0.8029125211760402,0.4574065674223675,0.8079270522284787,5.913502924463874e-05,1.1416520636813186e-05,0.0007770949819776823,0.0002479097768289899,0.0004321176287283295,0.0002045011592422911,0.00034554662769200115,0.0003035404837561311,0.0005858447191291663,0.00039531618445204673,0.0006235249131988419,0.0005659276160360801,0.0005729108487148608,0.0010032602857120987,0.0005209572905143234,0.000815943151982144,0.0005769725087727739,0.0025781766510282684,0.0010967820577609396,0.002051638543678233,0.004016595406931984,0.005622793457763203,0.007425769971417861,0.012133533674722526,0.062027274463329334,0.15685163946505665
"In many companies, a CEO is seen as a",leadership,36,630,0.29975746964122035,0.3423000453040004,0.8586683915928006,0.37251087294134777,0.877878109095036,5.5260352744502576e-05,9.075138771244858e-06,0.0008250286368171625,0.0002629322298262657,0.0004774226185834444,0.00020905827151382957,0.0003599150162546437,0.0003875804308788928,0.0007446459906329798,0.0004954497259248785,0.0008736052274465078,0.0007371886664121166,0.0007894043414805232,0.0014356870236472512,0.0005598366072122605,0.0009474101581488062,0.0005499190953233837,0.0017928510335846809,0.0007795768043930435,0.0018042152531178332,0.0028238540159726006,0.004738358154261966,0.0049983606182524955,0.010356841816729464,0.04844043392824887,0.14034484244828108
"In many companies, a manager is seen as a",leadership,34,561,0.3001243687739861,0.3303099414333701,0.8645978157874197,0.3546007973345695,0.8788421440331149,5.6035782535644554e-05,9.262561889626407e-06,0.0008578368134347596,0.0002615791762616053,0.0004948930304641011,0.00021598904854993017,0.0003702484051752955,0.00040053414437671135,0.0007832744243788235,0.0005000471208371673,0.0008946870358029434,0.000736666391220259,0.0008353005532146172,0.0013638612893042495,0.0005845457886115925,0.0009169775417804296,0.0006084793971389234,0.002045323377460694,0.0008908473721344878,0.0019034954963224049,0.0031644233014709528,0.005222777136153835,0.005850952250971182,0.011377131149663518,0.05080075851057862,0.15916079462423838
