layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,5.5340078221672e-05,4.971555919642815e-06,5.5340078221672e-05,4.971555919642815e-06,1.1072312406838361e-05,1.1353981508764729e-06,0.9999991918577683,0.9999991881817446,0.9272152289955355,0.927236084039583
1,0.000980757079459312,0.00012995998528055248,0.000980757079459312,0.00012995998528055248,0.0002694873728476527,1.7001015129023494e-05,0.9954413593836835,0.995372640262032,0.985263068205483,0.9843105943915358
2,0.0004017076146172624,5.6408757761866044e-05,0.0004017076146172624,5.6408757761866044e-05,0.00021848502429734873,1.2160028853036566e-05,0.9913983297181377,0.9912525299707367,0.9949806398306361,0.994581982111608
3,0.0002965515124451456,3.2986250867143525e-05,0.0002965515124451456,3.2986250867143525e-05,0.0003300268883208701,4.197328884643103e-05,0.9727559211529967,0.9723148784124442,0.9968655946947335,0.9965704023147206
4,0.0006128660503993434,9.119011980773731e-05,0.0006128660503993434,9.119011980773731e-05,0.00043212151836532163,5.313170175763105e-05,0.9460118646832919,0.9453688373691235,0.9966966322226127,0.9960845645223451
5,0.0007179833292644168,0.00013319522964908267,0.0007179833292644168,0.00013319522964908267,0.0006019898921881093,6.901436592832592e-05,0.9587189221246534,0.9581442267065434,0.9960825161016302,0.9953660220128265
6,0.0006841775419373156,0.0001255500462695453,0.0006841775419373156,0.0001255500462695453,0.0011768008807970009,0.0001981913133395367,0.9340053627625012,0.9330882606930926,0.9954533841341254,0.9947751495897101
7,0.0005928733523582754,8.474092779191341e-05,0.0005928733523582754,8.474092779191341e-05,0.0008892984318164085,0.00010295566576281847,0.9565028700944409,0.9558760402063624,0.995124086901115,0.994549872403961
8,0.0006384452961043156,0.00012624761094183929,0.0006384452961043156,0.00012624761094183929,0.0027115988732387747,0.0005022504743249078,0.9165926919120998,0.9154272856417844,0.9933439769308574,0.9928610266573242
9,0.0009054556551264567,0.00016374649744626502,0.0009054556551264567,0.00016374649744626502,0.002089092448665857,0.00021995194538176267,0.9694173300515271,0.9690246941066246,0.9906836865417432,0.9900629618576507
10,0.00285565967268323,0.00046582267292010886,0.00285565967268323,0.00046582267292010886,0.005597386390149868,0.000630084469048024,0.9437606312335677,0.9429873377837213,0.9827726058225654,0.980256318826638
11,0.005421996897657636,0.0009646806995890044,0.005421996897657636,0.0009646806995890044,0.012321253789217777,0.0013824971133315923,0.9384540402508945,0.9378397820275935,0.9677428423749633,0.963556289045109
12,0.05884449487272766,0.007070987395064645,0.05884449487272766,0.007070987395064645,0.18263471091523292,0.02404171993474508,0.9124334887726182,0.9118076447831631,0.6281928869558432,0.6460600805146106
