layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,0.0006744088591623927,5.961777243910308e-05,0.0006744088591623927,5.961777243910308e-05,5.645743858690127e-05,4.9983286440766796e-06,0.9999806706972889,0.9999800881889389,0.06173015846633438,0.06172770574483564
1,0.043720842804131646,0.0064669279538678934,0.043720842804131646,0.0064669279538678934,0.0214848574618573,0.0013031668416859286,0.9956373614763185,0.9955625347679792,0.37556385883992593,0.331860612998765
2,0.08771305851864189,0.0073912680312697735,0.08771305851864189,0.0073912680312697735,0.05541249090453978,0.004600939706631177,0.9838489568458609,0.9836842300757854,0.515175902363788,0.42752004354824136
3,0.0687981802447814,0.004849018938311744,0.0687981802447814,0.004849018938311744,0.0760669751865004,0.005102041583481638,0.9594743792541123,0.9593051728104379,0.5259352777697199,0.4624507497442384
4,0.03427525511181788,0.0038507105568705616,0.03427525511181788,0.0038507105568705616,0.10119595133942841,0.007937411965060363,0.9487851271366737,0.9484504207807348,0.5674664281242745,0.5667389670659755
5,0.034520873868236615,0.003967366472665207,0.034520873868236615,0.003967366472665207,0.10317281739178416,0.006942011154998352,0.9462434971965126,0.9459474715023628,0.6134012909176023,0.6156998465988572
6,0.04358787238810656,0.005965892169678633,0.04358787238810656,0.005965892169678633,0.10713095245788742,0.007549276911927354,0.9264719212159732,0.9261825747216513,0.6472527397052726,0.653414508387576
7,0.051670907964567844,0.008903701524837623,0.051670907964567844,0.008903701524837623,0.14212197549613498,0.016925987157514533,0.8985357224224296,0.8982190083240187,0.6780182059098051,0.6672613035502187
8,0.05759340057858238,0.008485243453409052,0.05759340057858238,0.008485243453409052,0.15956866471595071,0.017109364968684697,0.9077168767451798,0.9072498538033914,0.7753123932887516,0.7364117278020432
9,0.05842516999184677,0.007213872214799459,0.05842516999184677,0.007213872214799459,0.21469231776431835,0.01890721874600567,0.9058690108223701,0.9054497936587292,0.6666071652146128,0.6511119386468741
10,0.0690348541478447,0.0065355382652515495,0.0690348541478447,0.0065355382652515495,0.24098884747621385,0.014578522992604113,0.8821573716748596,0.8818160370137879,0.6781215065062275,0.6626066016519717
11,0.09462780451624649,0.010223896483636703,0.09462780451624649,0.010223896483636703,0.2649825215515508,0.017779753822899296,0.8204662167458424,0.8198640107422808,0.6705471655540298,0.6515077636533728
12,0.004458321362676849,0.0008579525120910142,0.004458321362676849,0.0008579525120910142,0.009120359432254333,0.0010208573459013553,0.7887916013123758,0.7884228598320008,0.987387601530329,0.9905376067539905
