context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,37,666,0.5720293444772295,0.15024831844493747,0.8988584326580167,0.0006872981718938671,5.997198211121918e-05,0.036712831495024516,0.020557211373425525,0.06837176774434006,0.05174218447048414,0.0468846151317633,0.07607154345327255,0.038613797373334854,0.11130191203027695,0.04252421167272254,0.10744176976704008,0.059795426938587304,0.13032774309208775,0.0503675486341934,0.137605979907156,0.06486501721024052,0.15145486486679702,0.06731808573768648,0.20877346089671153,0.08458415758785894,0.24693220839355148,0.10548968253804941,0.3412462389235449,0.0046081695625421765,0.008886769059467671
A manager is typically described as a,leadership,36,630,0.6135888263789123,0.26714048837311566,0.9145023720338941,0.000690896005911634,5.712309324942205e-05,0.03774209645951816,0.021425743043389605,0.07275322860346803,0.05184733102296906,0.050078533622980315,0.07699182917682965,0.03966479490453459,0.1069587569013754,0.04387079101749799,0.10285523977080291,0.04326135238838414,0.11445213238208139,0.04571332794009322,0.13643221023511048,0.07072116567742806,0.14421013782801026,0.05253574550711074,0.20742109338511727,0.07743837065908613,0.2511798935250282,0.09629367064989282,0.3670431222756191,0.0033901144359858738,0.008771949961971596
A leader is typically described as a,leadership,38,703,0.5927941204159766,0.16510305227711797,0.8826259421184659,0.0006418486770359929,5.5396801709134703e-05,0.03741148112925209,0.021100661860182654,0.0775365684782844,0.0547379829155749,0.04814359706856927,0.07835606820653775,0.04247252497078426,0.11062640903145396,0.04823256510383572,0.11038589109916655,0.059232931375326134,0.12740528808739116,0.052138781213256116,0.14110497279680656,0.06796125358843409,0.1428908325278927,0.062305224052843965,0.19326347382320821,0.08555131583179235,0.2355247507222572,0.10548756905864537,0.33869937027311675,0.003655444734415705,0.008252009101250825
A successful entrepreneur is typically a,leadership,37,666,0.6338502847568735,0.3086472423747182,0.9757183988112956,0.0006153122786969719,6.18571683155987e-05,0.04969961144712679,0.021320156336016048,0.08935001524180376,0.056682526997297734,0.05154944138588136,0.08266492684610587,0.030467798862437917,0.11714108571272534,0.032989379321219474,0.12001679162270237,0.041296554606670845,0.14986297888107855,0.05562221738148449,0.16685159142984113,0.07593609381929381,0.18053452763651281,0.06952545474501934,0.23431599014777788,0.08383806990173308,0.27319405404955266,0.12213051625442643,0.34052273163813523,0.004466231194747652,0.010748920962383788
A strong executive is typically a,leadership,37,666,0.5785154709960856,0.30178079660981894,0.9709609625861049,0.0006187996940663179,6.060485767291181e-05,0.05028329455266108,0.023153079793852956,0.07879052858044758,0.05680687925519721,0.037558865918384136,0.085595438994351,0.0407068348910367,0.1226735379343908,0.044938758298714535,0.12750894939859164,0.06676496034126875,0.15808846664643697,0.056746299686233265,0.1716557710417529,0.067770444406778,0.18647486648727132,0.06600025946347135,0.22736283191050494,0.07232317490073592,0.25742154692081853,0.10572806445774838,0.3314607805062107,0.004669654572433626,0.009652494947654407
A company president is typically a,leadership,39,741,0.6276853883313863,0.2620901479385793,0.981234795995988,0.0005462715297396484,5.8602226397806676e-05,0.04016600609942618,0.02022068682258739,0.08184903021123137,0.057705902861240506,0.044742810802097625,0.07947722007251364,0.033229066836404524,0.11618841243382157,0.03584844165290896,0.1179157558703217,0.053909703094148935,0.14675220797303443,0.051344172559545265,0.1649127023801459,0.0625150000406926,0.1935225982859929,0.058105697331009176,0.21723771542994427,0.06465517527885314,0.246241562349254,0.08394553698071487,0.3035556833491637,0.005937708486329821,0.010462681610900275
A department director is typically described as a,leadership,37,666,0.5915473643545084,0.20274509908631444,0.9251125464215875,0.0006626486800777801,5.8726178105710295e-05,0.0327505588207051,0.018107000879751298,0.072082529109229,0.04897653939687354,0.046570556075141226,0.071043234991372,0.03897865439022166,0.10058301388427922,0.04194864138436391,0.09903496287018183,0.04488076919393679,0.1198539778479721,0.04236236106351653,0.13864174629443735,0.06408536520577693,0.15116292938036988,0.0506668911760865,0.2070025753636687,0.07340260906468692,0.2386360544025313,0.09299242447129041,0.33632865893662145,0.004533746957134058,0.009345060107595875
A project supervisor is typically described as a,leadership,37,666,0.6190112388290218,0.25929932994768023,0.9480072071310133,0.0006867967244643359,5.9962554239120554e-05,0.03702899842855363,0.017762465879750666,0.07694688127111597,0.04663356873381447,0.05430628322544705,0.06896983148520239,0.03694189462548489,0.09606009588233082,0.0436711537857473,0.09518650286896535,0.03928460900010673,0.11181804353839964,0.04275764050069853,0.14070684761924007,0.0703631011014561,0.1417479422993344,0.05405799037305376,0.19842627366689644,0.07349699049656146,0.23412281651635655,0.0872993559386453,0.32684632472669983,0.003937546052920133,0.009103335581767652
"In many companies, a CEO is seen as a",leadership,36,630,0.611225102324996,0.18256440479308367,0.9593220560345799,0.0006745621324573841,5.994445278723676e-05,0.02374307446124628,0.01887869802320189,0.05886254139497654,0.04512784794076483,0.041271020132019415,0.061150614058153446,0.03378915790656262,0.09144194770523234,0.035848488620932616,0.1000713458054758,0.051722942813372905,0.13567929172596452,0.04608035176165513,0.18117837352665672,0.06054841770114941,0.1938201539897351,0.062029219196985716,0.23167372376883907,0.07408277229902933,0.27261793210936636,0.11379225216552097,0.37727334704101434,0.006841741476520764,0.012664634101066139
"In many companies, a manager is seen as a",leadership,37,666,0.6154485503266484,0.21289603970944881,0.9563288637436926,0.0006874082267698406,6.034538977451965e-05,0.026160727426108154,0.0187043210384213,0.06873355291573076,0.046439524847040524,0.042941726658840315,0.06323655464766627,0.035587930425005986,0.09332701345651805,0.03627458697669812,0.1025847414710235,0.06331049282329258,0.13920569935867277,0.06769365233743846,0.19178188863645226,0.06516284789880869,0.20362749025174237,0.06721232297993032,0.23160238824767007,0.0779178871075678,0.2658438957840953,0.10141366322850077,0.3752871656357664,0.004825011558131834,0.01167116289656959
