context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,36,630,0.3723235481886729,0.15024322527460754,0.9169729882851243,0.1643969117594679,0.917514749253769,0.0007527196842817153,6.0366340497642395e-05,0.0316192758991453,0.018589251724085057,0.0824859241839656,0.05733712110450776,0.05632073987159913,0.07917418108497208,0.044594547376195226,0.11155258586692635,0.054545243271880685,0.10559535459306124,0.09171417419157098,0.12212251684604292,0.06784973920667894,0.12820302503607106,0.05931288432771593,0.13555240561993576,0.06762894107782323,0.17461456274524806,0.09547001973530854,0.31460817067576885,0.13111547233877202,0.529195680820703,0.004252472364536116,0.009993975642177102
A manager is typically described as a,leadership,36,630,0.48304676948297964,0.26713427249342203,0.9238190017640591,0.27950741168842796,0.9240372515853323,0.0006431505070733089,5.6971328939990786e-05,0.036319791575438666,0.02066395409700441,0.08813592347073361,0.060702539357326994,0.05844494886419216,0.08305374406168227,0.0413693713167434,0.11053525124965072,0.04534645419208103,0.10314102262949308,0.06485611111268086,0.10990487677904498,0.04747158928476881,0.11930739940600886,0.047502429964243725,0.12516411674638733,0.04526675483639685,0.16760527315658666,0.08691073133952572,0.3134504291287065,0.12051837820683226,0.5730596201747634,0.003332122219304583,0.00982229166322514
A leader is typically described as a,leadership,38,703,0.4266713796307845,0.16512410435825586,0.9112218199297786,0.17878980659406807,0.9117408288549882,0.0006447895954828064,5.519985545648628e-05,0.0398263930472747,0.020469348376130635,0.09164143622857204,0.060430371017651814,0.06237215364541078,0.08372564071809209,0.04441174889434194,0.1134343224693879,0.053641662876811026,0.10684763624400723,0.08339865335347812,0.1190429688489139,0.05691954101840479,0.12157983320694293,0.055651895891806344,0.13204435449800153,0.060070562552492046,0.17152175372436865,0.09068587697740499,0.3085211335411082,0.12496765078049882,0.5406103329208983,0.003820098858132606,0.009438028607385126
A successful entrepreneur is typically a,leadership,36,630,0.5543528357603218,0.3086527595296502,0.9836138143436983,0.3257332235589274,0.9837873664653785,0.0007017434714218527,5.976203482588624e-05,0.0489945959257729,0.01921523054087687,0.11531158362639955,0.06560658233545756,0.07378196078733558,0.08460255069022123,0.03979919585835401,0.11581016391941706,0.04597996255174867,0.1069603598153815,0.09396373123434465,0.14285140829223664,0.06714178624199288,0.13542622937613288,0.05753790787396756,0.14762245533515606,0.06473624058983488,0.19330763897890946,0.09938787826391857,0.3273471488309727,0.12902374534608624,0.4771197758226141,0.0038858489353771866,0.010117179777454494
A strong executive is typically a,leadership,36,630,0.5394233380966794,0.30177968461066484,0.988852072856389,0.32021650646129274,0.9889704511423361,0.0006829147286139743,6.275710936571989e-05,0.05385571799779143,0.02277346911920913,0.11035316815873986,0.06672709244975701,0.06414944931127468,0.09117253018453912,0.044257499765995606,0.12769149413946493,0.056489231288468326,0.11609753617847368,0.10708630066122084,0.1523730455176936,0.07177358015476887,0.14453387493182782,0.05922030645569811,0.15908222301087072,0.06918580369869495,0.204305998083215,0.09361992730757751,0.32935567788368153,0.12900495054344055,0.4926681713180703,0.003910435826212226,0.009661000080941316
A company president is typically a,leadership,39,741,0.5670794527383684,0.26209317427128553,0.9912243707804009,0.2911609268230677,0.9913381238733052,0.0006478330845504035,5.7048921239525975e-05,0.038868708413930655,0.019169683992220923,0.10983695059933543,0.06656553058011669,0.07195912500740768,0.08212624344173744,0.04207682263555852,0.1222615492482208,0.04898343264635878,0.11183365729422391,0.09759106892535632,0.14527443925632633,0.059395412312438306,0.14180112098504258,0.05312082943896373,0.15908608703931287,0.05272536873105359,0.19161381490885088,0.07732108277152407,0.3042895175314155,0.10992712140211477,0.44575639812863027,0.004301415126599956,0.01032173263533732
A department director is typically described as a,leadership,36,630,0.467135219060258,0.20275390148162842,0.9516942352056503,0.2160482483341184,0.9519308350296569,0.0006501561862815617,5.6971328939978446e-05,0.03191649148760055,0.01805057322076871,0.08586567985346576,0.05568459032203463,0.05902267501487971,0.07660738755521061,0.0412597951169013,0.10694471430089994,0.04812069936779922,0.10089041472743691,0.07846189084551602,0.11938334238978127,0.05205818396467034,0.12388338945788835,0.04461798031898294,0.1379861815646374,0.04366028922253723,0.17739033829854278,0.08037247332594033,0.3096323364150495,0.11857750981573681,0.5296303040758696,0.004282390051254883,0.010410773615411158
A project supervisor is typically described as a,leadership,36,630,0.4570731999189638,0.2593030449934304,0.9494062410667539,0.27062472513807734,0.9496966544459156,0.0006751999868410293,5.689527794790051e-05,0.034063406501038576,0.0163751869457371,0.08364381057220467,0.05045045105446466,0.06272843345409931,0.06978809032245627,0.03651092978195411,0.0953825713190204,0.04075255002700079,0.08956631194394465,0.05657121152588767,0.09956518901833776,0.03836110010846539,0.11401416493984912,0.04129271464783501,0.12381792142474228,0.04173256175602353,0.15737337277594435,0.08514606567579686,0.30562803837615465,0.11703032749615849,0.5425133882945018,0.003484408169210436,0.009876631696641531
"In many companies, a CEO is seen as a",leadership,36,630,0.3741201493554888,0.1825719140470028,0.9435789291746914,0.20073947361015598,0.9437726690927661,0.0007215130408872687,6.324891694189927e-05,0.024637259161896893,0.01683043903796269,0.08129779295411389,0.051626391129279886,0.054917405378588864,0.06467215848871503,0.04715948771262943,0.10222925867397095,0.05226275102583412,0.09684711094192101,0.05561486943228022,0.10889006949488378,0.04438212140203021,0.12566958768939707,0.06236582521582093,0.14299942398860238,0.04988687928230774,0.1841990572096903,0.06981217020666923,0.29490140054546177,0.1314021542491085,0.5126986150679687,0.004862425131388689,0.010549094422963942
"In many companies, a manager is seen as a",leadership,36,630,0.41981454010378333,0.21289474004879594,0.9458240452222526,0.2339581539563369,0.9460237469413642,0.0006912897825527038,6.304107982428432e-05,0.027607200954150642,0.01758758619544599,0.09349058008439598,0.05539227633476994,0.06459991307295337,0.07058839994022842,0.044093003542301605,0.10739839837542438,0.046649060971675496,0.1036869898699126,0.07031465633090456,0.12072758382569956,0.06312548245398797,0.13390131366689997,0.06367751339099946,0.14956983860825615,0.05750132846260615,0.1880934647147928,0.06652822327877507,0.2940133325943853,0.10968606557131927,0.4800152105481913,0.0038846761508306684,0.010236814734282985
