layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,0.0,0.0,0.0,0.0,3.899796107049688e-17,9.043803766727545e-18,1.0,1.0,0.9303370408863845,0.9303370408863845
1,0.0,0.0,0.0,0.0,5.912071289192489e-17,2.0316620229147152e-17,1.0,1.0,0.9861286322828958,0.9861286322828958
2,0.0,0.0,0.0,0.0,5.963855733887748e-17,1.7105697884195565e-17,0.9999999999999999,1.0,0.9952776142565043,0.9952776142565043
3,0.0,0.0,0.0,0.0,3.6547572428120205e-17,8.884192545749499e-18,1.0,1.0,0.9970401081389453,0.9970401081389453
4,0.0,0.0,0.0,0.0,3.5154160868727764e-17,1.1230998334868315e-17,1.0,1.0,0.996852805636723,0.996852805636723
5,0.0,0.0,0.0,0.0,3.3845583261733327e-17,1.6554624702828515e-17,0.9999999999999999,1.0,0.996276921258284,0.996276921258284
6,0.0,0.0,0.0,0.0,3.71236141245903e-17,1.584293757451995e-17,1.0,1.0,0.9956799674126119,0.9956799674126119
7,0.0,0.0,0.0,0.0,3.52435095899082e-17,1.4012102913339318e-17,1.0,1.0,0.9954262282190394,0.9954262282190394
8,0.0,0.0,0.0,0.0,3.739147161248359e-17,1.5390695496883717e-17,1.0,1.0,0.9939232402275945,0.9939232402275945
9,0.0,0.0,0.0,0.0,3.730862953719422e-17,1.4957358358721976e-17,1.0,1.0,0.991738789758138,0.991738789758138
10,0.0,0.0,0.0,0.0,3.4414257023882026e-17,1.0037076068845017e-17,1.0,1.0,0.9848262949093034,0.9848262949093034
11,0.0,0.0,0.0,0.0,3.4652438021513225e-17,8.372741819429057e-18,1.0,1.0,0.9712642774274558,0.9712642774274558
12,0.007135606222865655,0.00207274063959594,0.007135606222865655,0.00207274063959594,0.009528878594179278,0.001052606391769919,0.9988798906063735,0.9988781839399982,0.6777627952319447,0.6809274047237845
