context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,30,435,0.12622149985549866,0.3385505697224289,0.7705088169313967,0.3571619768772507,0.7874010427040048,0.0,4.070817756958907e-17,0.0,5.921189464667501e-17,0.0,2.960594732333751e-17,0.0,4.070817756958907e-17,0.0,3.700743415417188e-17,0.0,2.960594732333751e-17,0.0,2.2204460492503132e-17,0.0,1.4802973661668754e-17,0.0,2.960594732333751e-17,0.0,3.700743415417188e-17,0.0,3.700743415417188e-17,0.0,2.960594732333751e-17,0.005403531953577494,0.008732809588614488
A manager is typically described as a,leadership,30,435,0.1335538276359354,0.3769913683645427,0.7904887106269598,0.39054181773099117,0.800840885611251,0.0,4.810966440042345e-17,0.0,7.401486830834377e-17,0.0,5.921189464667501e-17,0.0,2.960594732333751e-17,0.0,3.700743415417188e-17,0.0,8.881784197001253e-17,0.0,3.700743415417188e-17,0.0,2.960594732333751e-17,0.0,3.700743415417188e-17,0.0,6.661338147750939e-17,0.0,3.3306690738754695e-17,0.0,3.3306690738754695e-17,0.004753378993104294,0.0081400191033747
A leader is typically described as a,leadership,33,528,0.14275518730337275,0.3147210138849914,0.7000144438352436,0.32929522142512724,0.7141578388109338,0.0,5.3828995133340925e-17,0.0,8.074349270001139e-17,0.0,6.728624391667616e-17,0.0,5.0464682937507114e-17,0.0,4.710037074167331e-17,0.0,4.710037074167331e-17,0.0,2.6914497566670462e-17,0.0,6.728624391667616e-17,0.0,4.710037074167331e-17,0.0,2.0185873175002847e-17,0.0,3.364312195833808e-17,0.0,3.027880976250427e-17,0.006350724751905045,0.0085659351111475
A successful entrepreneur is typically a,leadership,26,325,0.14539871983648436,0.47223057178780437,0.7966554032173008,0.4880262796068564,0.8081056236987934,0.0,4.2700885562506023e-17,0.0,1.1102230246251565e-16,0.0,6.832141690000964e-17,0.0,3.843079700625542e-17,0.0,5.124106267500723e-17,0.0,2.5620531337503614e-17,0.0,3.416070845000482e-17,0.0,1.708035422500241e-17,0.0,5.124106267500723e-17,0.0,4.2700885562506023e-17,0.0,5.978123978750843e-17,0.0,3.416070845000482e-17,0.006035452639056707,0.009819114645986334
A strong executive is typically a,leadership,31,465,0.18660942738340214,0.2620298406109214,0.6137361247092485,0.2853278325055726,0.6419555867032614,0.0,5.0139104337910294e-17,0.0,8.237138569799549e-17,0.0,7.162729191130042e-17,0.0,2.5069552168955147e-17,0.0,2.1488187573390126e-17,0.0,2.865091676452017e-17,0.0,5.372046893347532e-17,0.0,1.4325458382260084e-17,0.0,3.581364595565021e-17,0.0,2.1488187573390126e-17,0.0,6.088319812460535e-17,0.0,3.223228136008519e-17,0.00517555031588462,0.008734692436113377
A company president is typically a,leadership,32,496,0.17416866385634944,0.30619864584878087,0.731197883374989,0.3398494840366766,0.7683215723372996,0.0,3.469446951953614e-17,0.0,4.85722573273506e-17,0.0,6.245004513516506e-17,0.0,4.5102810375396984e-17,0.0,4.163336342344337e-17,0.0,3.469446951953614e-17,0.0,6.245004513516506e-17,0.0,3.469446951953614e-17,0.0,3.469446951953614e-17,0.0,2.7755575615628914e-17,0.0,3.469446951953614e-17,0.0,2.42861286636753e-17,0.007125360378033231,0.010360959638888077
A department director is typically described as a,leadership,29,406,0.19515449665341558,0.34711816627532244,0.7728473115712404,0.3645165007910691,0.7866966736037284,0.0,3.062684205862501e-17,0.0,3.4455197315953135e-17,0.0,6.891039463190627e-17,0.0,3.062684205862501e-17,0.0,3.062684205862501e-17,0.0,7.656710514656253e-17,0.0,4.2111907830609384e-17,0.0,6.125368411725002e-17,0.0,3.828355257328126e-17,0.0,3.062684205862501e-17,0.0,4.2111907830609384e-17,0.0,4.976861834526564e-17,0.004756554879358662,0.008548426945790192
A project supervisor is typically described as a,leadership,30,435,0.20480286226818722,0.4451751827728003,0.9045526708941907,0.4610354211763479,0.9113962785195326,0.0,4.4408920985006264e-17,0.0,6.661338147750939e-17,0.0,6.661338147750939e-17,0.0,4.4408920985006264e-17,0.0,7.401486830834377e-18,0.0,2.960594732333751e-17,0.0,1.4802973661668754e-17,0.0,5.181040781584064e-17,0.0,1.4802973661668754e-17,0.0,2.960594732333751e-17,0.0,2.2204460492503132e-17,0.0,2.2204460492503132e-17,0.0048498019508465325,0.007552298837478392
"In many companies, a CEO is seen as a",leadership,30,435,0.1499151472019506,0.3423000453040004,0.700135697145015,0.3686163733364083,0.7195156625821255,0.0,2.960594732333751e-17,0.0,5.181040781584064e-17,0.0,5.181040781584064e-17,0.0,2.590520390792032e-17,0.0,3.700743415417188e-17,0.0,7.401486830834377e-18,0.0,1.4802973661668754e-17,0.0,4.4408920985006264e-17,0.0,2.960594732333751e-17,0.0,2.960594732333751e-17,0.0,3.700743415417188e-17,0.0,4.4408920985006264e-17,0.008685195949171423,0.00989041741506067
"In many companies, a manager is seen as a",leadership,28,378,0.15014122255363435,0.3303099414333701,0.7176856510341167,0.3565332138678059,0.7337670412962325,0.0,4.7580986769649563e-17,0.0,3.9650822308041306e-17,0.0,4.7580986769649563e-17,0.0,1.586032892321652e-17,0.0,3.9650822308041306e-17,0.0,3.9650822308041306e-17,0.0,4.3615904538845435e-17,0.0,3.9650822308041306e-17,0.0,2.3790493384824782e-17,0.0,4.7580986769649563e-17,0.0,1.9825411154020653e-17,0.0,3.172065784643304e-17,0.0073528857962016966,0.009752602733869714
