layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,0.0,0.0,0.0,0.0,2.96752956167002e-17,1.0024171904212528e-17,1.0,1.0,0.29244456974584826,0.29244456974584826
1,0.0,0.0,0.0,0.0,4.6349320868202067e-17,1.5376143909301512e-17,1.0,1.0,0.4483888943271812,0.4483888943271812
2,0.0,0.0,0.0,0.0,4.1615102633606955e-17,1.2474127459878764e-17,0.9999999999999999,1.0,0.4785564915010749,0.4785564915010749
3,0.0,0.0,0.0,0.0,3.2012074528395233e-17,1.0898987682020045e-17,1.0,1.0,0.4759559639383849,0.4759559639383849
4,0.0,0.0,0.0,0.0,3.410270280953716e-17,1.154396478989577e-17,0.9999999999999999,1.0,0.4811798549529464,0.4811798549529464
5,0.0,0.0,0.0,0.0,3.3435105588696634e-17,1.2711823753919378e-17,1.0,1.0,0.49362820859688483,0.49362820859688483
6,0.0,0.0,0.0,0.0,2.5334082215624138e-17,1.0681491745269718e-17,1.0,1.0,0.4860623411860813,0.4860623411860813
7,0.0,0.0,0.0,0.0,3.502238798000538e-17,1.1484765705621929e-17,0.9999999999999999,1.0,0.4931741229561292,0.4931741229561292
8,0.0,0.0,0.0,0.0,5.397099089085988e-17,1.72850509637701e-17,1.0,1.0,0.4925650916819836,0.4925650916819836
9,0.0,0.0,0.0,0.0,3.412164256566898e-17,1.0723694968478142e-17,1.0,1.0,0.4866150231139508,0.4866150231139508
10,0.0,0.0,0.0,0.0,3.366451705357053e-17,1.4924027772119877e-17,1.0,1.0,0.4847054886341156,0.4847054886341156
11,0.0,0.0,0.0,0.0,3.198220265115302e-17,1.0862942939625376e-17,1.0,1.0,0.5083628719594526,0.5083628719594526
12,0.049745926951549356,0.011795097629640091,0.049745926951549356,0.011795097629640091,0.16936229478984724,0.02264934804722328,0.9774909068696073,0.9772631271712033,0.5243037462257473,0.5650621829739566
