context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,30,435,0.25693972735673726,0.2596712247468531,0.8355995486490428,0.2781937225663569,0.8431869991472922,0.0,4.070817756958907e-17,0.0,4.070817756958907e-17,0.0,4.4408920985006264e-17,0.0,1.850371707708594e-17,0.0,2.590520390792032e-17,0.0,2.590520390792032e-17,0.0,1.1102230246251566e-17,0.0,3.700743415417188e-17,0.0,6.29126380620922e-17,0.0,3.3306690738754695e-17,0.0,5.181040781584064e-17,0.0,1.4802973661668754e-17,0.04181117414652962,0.16420633716581862
A manager is typically described as a,leadership,31,465,0.1579432771307854,0.3492295704782009,0.8190199772361666,0.3648505751916673,0.8280634839175036,0.0,4.6557739742345276e-17,0.0,3.223228136008519e-17,0.0,6.446456272017038e-17,0.0,2.865091676452017e-17,0.0,1.4325458382260084e-17,0.0,2.1488187573390126e-17,0.0,2.5069552168955147e-17,0.0,3.223228136008519e-17,0.0,5.730183352904034e-17,0.0,2.1488187573390126e-17,0.0,3.223228136008519e-17,0.0,2.1488187573390126e-17,0.03636820159668796,0.17486759142131544
A leader is typically described as a,leadership,34,561,0.15136694592934027,0.41898562479764223,0.8027979417238384,0.44026768807088956,0.8190140366205014,0.0,3.918434204559376e-17,0.0,4.89804275569922e-17,0.0,1.6326809185664067e-17,0.0,2.6122894697062506e-17,0.0,2.2857532859929692e-17,0.0,2.938825653419532e-17,0.0,2.6122894697062506e-17,0.0,3.918434204559376e-17,0.0,4.244970388272657e-17,0.0,5.224578939412501e-17,0.0,1.3061447348531253e-17,0.0,1.6326809185664067e-17,0.03166766254601713,0.1721336313211333
A successful entrepreneur is typically a,leadership,29,406,0.21498296426592317,0.35821206122636795,0.7744881492108107,0.3787149903946556,0.7865511658892501,0.0,3.4455197315953135e-17,0.0,5.3596973602593766e-17,0.0,5.3596973602593766e-17,0.0,3.4455197315953135e-17,0.0,3.4455197315953135e-17,0.0,7.656710514656253e-17,0.0,2.6798486801296883e-17,0.0,1.1485065771984378e-17,0.0,6.508203937457814e-17,0.0,2.6798486801296883e-17,0.0,7.656710514656252e-18,0.0,1.914177628664063e-17,0.03769727116161029,0.16593036430173752
A strong executive is typically a,leadership,32,496,0.12967014424906534,0.49632566375657916,0.7153174062259495,0.5244454098574352,0.7345527248980943,0.0,4.163336342344337e-17,0.0,3.469446951953614e-17,0.0,4.163336342344337e-17,0.0,3.469446951953614e-17,0.0,3.469446951953614e-17,0.0,1.734723475976807e-17,0.0,1.734723475976807e-17,0.0,4.163336342344337e-17,0.0,4.85722573273506e-17,0.0,2.42861286636753e-17,0.0,2.0816681711721685e-17,0.0,4.163336342344337e-17,0.0570729083364603,0.17607304085811076
A company president is typically a,leadership,31,465,0.3274050403698243,0.31927849631756544,0.8339989001397043,0.34812742312351475,0.8487838620203547,0.0,3.581364595565021e-17,0.0,2.5069552168955147e-17,0.0,5.730183352904034e-17,0.0,3.581364595565021e-17,0.0,2.865091676452017e-17,0.0,3.581364595565021e-17,0.0,5.0139104337910294e-17,0.0,1.4325458382260084e-17,0.0,5.730183352904034e-17,0.0,2.5069552168955147e-17,0.0,5.0139104337910294e-17,0.0,3.223228136008519e-17,0.051123665757493775,0.1858536503523719
A department director is typically described as a,leadership,28,378,0.22812790629390245,0.25953875901177526,0.7982932492159307,0.2693163809599355,0.806230590067571,0.0,3.9650822308041306e-17,0.0,4.3615904538845435e-17,0.0,4.3615904538845435e-17,0.0,3.568574007723718e-17,0.0,2.3790493384824782e-17,0.0,2.7755575615628914e-17,0.0,1.1895246692412391e-17,0.0,3.172065784643304e-17,0.0,7.137148015447435e-17,0.0,4.3615904538845435e-17,0.0,3.9650822308041306e-17,0.0,1.9825411154020653e-17,0.0353365149821304,0.1627818821879606
A project supervisor is typically described as a,leadership,33,528,0.15764455393647767,0.3833295446820557,0.8325448696268722,0.40596669651858974,0.844993441569386,0.0,3.027880976250427e-17,0.0,6.392193172084235e-17,0.0,3.364312195833808e-17,0.0,3.700743415417188e-17,0.0,4.710037074167331e-17,0.0,3.027880976250427e-17,0.0,1.682156097916904e-17,0.0,5.0464682937507114e-17,0.0,5.719330732917473e-17,0.0,4.0371746350005693e-17,0.0,2.6914497566670462e-17,0.0,3.364312195833808e-17,0.04023882269029443,0.16246102440219398
"In many companies, a CEO is seen as a",leadership,31,465,0.16892014422043974,0.3136435868218541,0.5109385531395674,0.35101673248573206,0.5415530239115469,0.0,3.581364595565021e-17,0.0,4.297637514678025e-17,0.0,3.9395010551215234e-17,0.0,1.4325458382260084e-17,0.0,2.1488187573390126e-17,0.0,2.5069552168955147e-17,0.0,3.223228136008519e-17,0.0,4.297637514678025e-17,0.0,5.372046893347532e-17,0.0,3.9395010551215234e-17,0.0,5.372046893347532e-17,0.0,2.865091676452017e-17,0.05084083653915634,0.12774887241227886
"In many companies, a manager is seen as a",leadership,32,496,0.16411937418058223,0.3412812212482095,0.5207211403176188,0.3800323016330367,0.5558192929602228,0.0,3.8163916471489756e-17,0.0,5.551115123125783e-17,0.0,4.85722573273506e-17,0.0,1.734723475976807e-17,0.0,4.163336342344337e-17,0.0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,4.85722573273506e-17,0.0,2.7755575615628914e-17,0.0,6.938893903907228e-18,0.0,4.5102810375396984e-17,0.053442481872785795,0.12925566804153943
