layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,0.0,0.0,0.0,0.0,2.2425800203407202e-17,8.329721075111778e-18,0.9999999999999999,1.0,0.06540638346609504,0.06540638346609504
1,0.0,0.0,0.0,0.0,3.518000695885345e-17,9.30931029529362e-18,0.9999999999999998,1.0,0.38638498851175707,0.38638498851175707
2,0.0,0.0,0.0,0.0,3.1044384151666157e-17,1.2425826823646454e-17,1.0,1.0,0.5235304251663856,0.5235304251663856
3,0.0,0.0,0.0,0.0,2.869889178363962e-17,1.028816639704808e-17,0.9999999999999999,1.0,0.5366009800077209,0.5366009800077209
4,0.0,0.0,0.0,0.0,3.2046434492474577e-17,1.0375020450705209e-17,1.0,1.0,0.5772813072176971,0.5772813072176971
5,0.0,0.0,0.0,0.0,4.4086979220261637e-17,1.437675100395338e-17,1.0,1.0,0.6253153123823927,0.6253153123823927
6,0.0,0.0,0.0,0.0,4.8797946544528946e-17,1.5441797628967468e-17,1.0,1.0,0.661087395478492,0.661087395478492
7,0.0,0.0,0.0,0.0,4.281164690317656e-17,1.1398271653872749e-17,0.9999999999999999,1.0,0.6949055140783547,0.6949055140783547
8,0.0,0.0,0.0,0.0,3.249790675151203e-17,1.087347693827515e-17,1.0,1.0,0.790184674738472,0.790184674738472
9,0.0,0.0,0.0,0.0,3.3184317925196203e-17,1.1291352442402436e-17,1.0,1.0,0.6905501977430494,0.6905501977430494
10,0.0,0.0,0.0,0.0,2.732691191980212e-17,9.617519780017505e-18,1.0,1.0,0.6969141110258879,0.6969141110258879
11,0.0,0.0,0.0,0.0,3.0006092626505125e-17,1.0336408214606528e-17,0.9999999999999998,1.0,0.6905741594736281,0.6905741594736281
12,0.012239550957969622,0.002658560551597072,0.012239550957969622,0.002658560551597072,0.0058112454857366155,0.000741049547440792,0.9832818848485676,0.9830793261067315,0.9883603660205909,0.9761208150626212
