layer,l3_mean,l3_std,per_token_mean,per_token_std,cka,anisotropy_base,anisotropy_ft
0,0.0,0.0,2.2594626698024513e-17,8.522940906776088e-18,1.0,0.06627590789802032,0.06627590789802032
1,0.0,0.0,3.783330391516816e-17,9.87541728084844e-18,1.0,0.3879726944956466,0.3879726944956466
2,0.0,0.0,3.346585848818232e-17,1.1522229914462916e-17,1.0,0.5249886768283816,0.5249886768283816
3,0.0,0.0,3.183897116840779e-17,9.804348493815073e-18,1.0,0.5381469008729571,0.5381469008729571
4,0.0,0.0,2.891749039159587e-17,1.0323299353718944e-17,1.0,0.5787860171731547,0.5787860171731547
5,0.0,0.0,4.585783556735645e-17,1.632334031427e-17,1.0,0.6273227039454116,0.6273227039454116
6,0.0,0.0,4.7311030570468854e-17,1.2640685231792288e-17,1.0,0.6629785477493856,0.6629785477493856
7,0.0,0.0,3.7921355859886476e-17,9.628678127299344e-18,0.9999999999999999,0.6973416516482508,0.6973416516482508
8,0.0,0.0,2.88819929524171e-17,1.1364984849975754e-17,1.0,0.7916377509398423,0.7916377509398423
9,0.0,0.0,3.373745086326417e-17,1.3943268871836385e-17,0.9999999999999999,0.6930662401518267,0.6930662401518267
10,0.0,0.0,2.641874204961164e-17,8.368088964754644e-18,0.9999999999999999,0.700318274548654,0.700318274548654
11,0.0,0.0,3.170155826358787e-17,9.473794481533604e-18,0.9999999999999998,0.6949681371347618,0.6949681371347618
12,0.01203668873384275,0.0023558616204660543,0.006440792111789122,0.0006033552588156445,0.9617151847543507,0.9886160367824776,0.9765793480486353
