context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,35,595,0.42261361485531607,0.15024831844493747,0.9881631168536842,0.0,1.9032394707859827e-17,0.0,2.5376526277146434e-17,0.0,3.172065784643304e-17,0.0,2.8548592061789737e-17,0.0,2.8548592061789737e-17,0.0,5.075305255429287e-17,0.0,3.8064789415719653e-17,0.0,4.4408920985006264e-17,0.0,3.172065784643304e-17,0.0,3.8064789415719653e-17,0.0,3.172065784643304e-17,0.0,2.2204460492503132e-17,0.011031336452682283,0.006411857605931015
A manager is typically described as a,leadership,36,630,0.3065647401454534,0.26714048837311566,0.9945116624585353,0.0,4.3175339846533866e-17,0.0,3.39234813079909e-17,0.0,5.859510407743882e-17,0.0,3.39234813079909e-17,0.0,4.9343245538895844e-17,0.0,7.401486830834377e-17,0.0,5.2427198385076835e-17,0.0,2.7755575615628914e-17,0.0,3.700743415417188e-17,0.0,2.4671622769447922e-17,0.0,3.0839528461809905e-17,0.0,3.0839528461809905e-17,0.008371196420988837,0.0064348518205518
A leader is typically described as a,leadership,37,666,0.4089030243742685,0.16510305227711797,0.977981993695721,0.0,1.800361661554308e-17,0.0,4.800964430811488e-17,0.0,3.600723323108616e-17,0.0,4.200843876960052e-17,0.0,3.00060276925718e-18,0.0,3.900783600034334e-17,0.0,4.800964430811488e-17,0.0,4.50090415388577e-17,0.0,2.400482215405744e-17,0.0,2.100421938480026e-17,0.0,1.50030138462859e-17,0.0,3.300663046182898e-17,0.009211853138356778,0.005804477335091121
A successful entrepreneur is typically a,leadership,35,595,0.49729626436353475,0.3086472423747182,0.9888125871075317,0.0,3.172065784643304e-17,0.0,4.123685520036296e-17,0.0,3.172065784643304e-17,0.0,2.5376526277146434e-17,0.0,2.2204460492503132e-17,0.0,6.661338147750939e-17,0.0,5.3925118338936174e-17,0.0,3.489272363107635e-17,0.0,1.586032892321652e-17,0.0,4.4408920985006264e-17,0.0,3.8064789415719653e-17,0.0,4.4408920985006264e-17,0.012279590934302592,0.006131456244675773
A strong executive is typically a,leadership,35,595,0.4325379376046519,0.30178079660981894,0.9881560117937624,0.0,2.5376526277146434e-17,0.0,4.4408920985006264e-17,0.0,1.9032394707859827e-17,0.0,2.2204460492503132e-17,0.0,3.489272363107635e-17,0.0,4.7580986769649563e-17,0.0,2.5376526277146434e-17,0.0,6.661338147750939e-17,0.0,2.2204460492503132e-17,0.0,3.8064789415719653e-17,0.0,1.2688263138573217e-17,0.0,2.5376526277146434e-17,0.011373732813730072,0.0056896374516731745
A company president is typically a,leadership,39,741,0.498972017444525,0.2620901479385793,0.998678541785921,0.0,3.416070845000482e-17,0.0,3.131398274583775e-17,0.0,4.554761126667309e-17,0.0,2.846725704167068e-17,0.0,3.416070845000482e-17,0.0,5.693451408334136e-17,0.0,4.839433697084016e-17,0.0,3.985415985833895e-17,0.0,3.416070845000482e-17,0.0,4.839433697084016e-17,0.0,3.131398274583775e-17,0.0,1.423362852083534e-17,0.014319523057650269,0.006351030487159778
A department director is typically described as a,leadership,36,630,0.5082959196522332,0.20274509908631444,0.9904731027781963,0.0,2.4671622769447922e-17,0.0,3.39234813079909e-17,0.0,2.4671622769447922e-17,0.0,1.2335811384723961e-17,0.0,4.0091387000352874e-17,0.0,7.093091546216277e-17,0.0,3.700743415417188e-17,0.0,3.39234813079909e-17,0.0,4.0091387000352874e-17,0.0,1.2335811384723961e-17,0.0,5.2427198385076835e-17,0.0,2.1587669923266933e-17,0.009679573294350471,0.006236189020868917
A project supervisor is typically described as a,leadership,37,666,0.43163169714607147,0.25929932994768023,0.9958733160165139,0.0,3.600723323108616e-17,0.0,3.900783600034334e-17,0.0,4.800964430811488e-17,0.0,2.100421938480026e-17,0.0,3.900783600034334e-17,0.0,4.800964430811488e-17,0.0,3.600723323108616e-17,0.0,4.50090415388577e-17,0.0,3.600723323108616e-17,0.0,3.00060276925718e-17,0.0,2.400482215405744e-17,0.0,2.100421938480026e-17,0.008297816507797718,0.006256397308381006
"In many companies, a CEO is seen as a",leadership,35,595,0.5434202561233308,0.18256440479308367,0.9738975192885846,0.0,1.2688263138573217e-17,0.0,4.4408920985006264e-17,0.0,3.8064789415719653e-17,0.0,4.123685520036296e-17,0.0,1.9032394707859827e-17,0.0,3.172065784643304e-17,0.0,5.075305255429287e-17,0.0,3.172065784643304e-17,0.0,3.1720657846433043e-18,0.0,3.172065784643304e-17,0.0,3.8064789415719653e-17,0.0,5.3925118338936174e-17,0.012635919602515451,0.005903370304748783
"In many companies, a manager is seen as a",leadership,36,630,0.5770856251123142,0.21289603970944881,0.969719831366092,0.0,1.2335811384723961e-17,0.0,5.2427198385076835e-17,0.0,3.39234813079909e-17,0.0,3.0839528461809905e-17,0.0,3.0839528461809905e-17,0.0,3.700743415417188e-17,0.0,3.700743415417188e-17,0.0,2.1587669923266933e-17,0.0,2.1587669923266933e-17,0.0,5.2427198385076835e-17,0.0,3.39234813079909e-17,0.0,3.39234813079909e-17,0.01284744517459492,0.005901827119094711
