context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,35,595,0.3054988074640793,0.15024322527460754,0.9863711870275438,0.16034960632350703,0.986521876901918,0.0,1.9032394707859827e-17,0.0,3.489272363107635e-17,0.0,4.123685520036296e-17,0.0,3.489272363107635e-17,0.0,3.489272363107635e-17,0.0,5.709718412357947e-17,0.0,4.123685520036296e-17,0.0,4.4408920985006264e-17,0.0,3.172065784643304e-17,0.0,3.489272363107635e-17,0.0,3.8064789415719653e-17,0.0,3.489272363107635e-17,0.01292865118547559,0.006364097404891015
A manager is typically described as a,leadership,36,630,0.2525820636447024,0.26713427249342203,0.9932928616763093,0.27942688045368413,0.9935065475631859,0.0,4.3175339846533866e-17,0.0,2.4671622769447922e-17,0.0,1.5419764230904953e-17,0.0,9.25185853854297e-18,0.0,5.551115123125783e-17,0.0,4.625929269271486e-17,0.0,4.625929269271486e-17,0.0,4.3175339846533866e-17,0.0,2.7755575615628914e-17,0.0,5.859510407743882e-17,0.0,1.2335811384723961e-17,0.0,3.39234813079909e-17,0.009797067088850139,0.006832527064489064
A leader is typically described as a,leadership,37,666,0.28143698941944745,0.16512410435825586,0.9754197243601084,0.17202329110114079,0.9776186182884885,0.0,2.400482215405744e-17,0.0,2.700542492331462e-17,0.0,3.00060276925718e-17,0.0,4.200843876960052e-17,0.0,3.300663046182898e-17,0.0,3.600723323108616e-17,0.0,4.200843876960052e-17,0.0,1.50030138462859e-17,0.0,6.00120553851436e-18,0.0,3.900783600034334e-17,0.0,2.100421938480026e-17,0.0,1.800361661554308e-17,0.011363022503185998,0.006081081024288897
A successful entrepreneur is typically a,leadership,35,595,0.41217057680910063,0.3086527595296502,0.9826048669638112,0.3283414531942981,0.9828438476740757,0.0,3.8064789415719653e-17,0.0,4.7580986769649563e-17,0.0,3.8064789415719653e-17,0.0,3.489272363107635e-17,0.0,2.2204460492503132e-17,0.0,5.3925118338936174e-17,0.0,5.075305255429287e-17,0.0,4.7580986769649563e-17,0.0,2.5376526277146434e-17,0.0,2.5376526277146434e-17,0.0,9.516197353929913e-18,0.0,2.8548592061789737e-17,0.012358412245926173,0.006168495875588485
A strong executive is typically a,leadership,35,595,0.3668777361449539,0.30177968461066484,0.9821717693703249,0.3257264324456628,0.9823895118752262,0.0,2.5376526277146434e-17,0.0,1.9032394707859827e-17,0.0,1.586032892321652e-17,0.0,2.2204460492503132e-17,0.0,1.9032394707859827e-17,0.0,5.3925118338936174e-17,0.0,3.8064789415719653e-17,0.0,3.8064789415719653e-17,0.0,1.9032394707859827e-17,0.0,3.8064789415719653e-17,0.0,1.2688263138573217e-17,0.0,4.123685520036296e-17,0.013361052174601113,0.006299533901043608
A company president is typically a,leadership,39,741,0.4678464409364108,0.26209317427128553,0.9982027506193845,0.300983638742764,0.9982906356508607,0.0,3.416070845000482e-17,0.0,4.2700885562506023e-17,0.0,5.693451408334136e-17,0.0,2.846725704167068e-17,0.0,1.708035422500241e-17,0.0,2.5620531337503614e-17,0.0,7.116814260417671e-17,0.0,4.839433697084016e-17,0.0,3.700743415417188e-17,0.0,2.846725704167068e-17,0.0,1.9927079929169476e-17,0.0,2.2773805633336544e-17,0.017412138063643466,0.006855812911364005
A department director is typically described as a,leadership,36,630,0.4212995832349505,0.20275390148162842,0.9921695112716407,0.22174774091763538,0.9925477587695468,0.0,1.850371707708594e-17,0.0,2.7755575615628914e-17,0.0,2.1587669923266933e-17,0.0,1.5419764230904953e-17,0.0,4.3175339846533866e-17,0.0,1.5419764230904953e-17,0.0,4.625929269271486e-17,0.0,3.39234813079909e-17,0.0,4.9343245538895844e-17,0.0,2.1587669923266933e-17,0.0,2.1587669923266933e-17,0.0,4.0091387000352874e-17,0.01283230252704653,0.0067532778677356076
A project supervisor is typically described as a,leadership,37,666,0.38897554775966725,0.2593030449934304,0.9934260860900395,0.2747795364830381,0.9940261980814284,0.0,3.00060276925718e-17,0.0,3.900783600034334e-17,0.0,3.00060276925718e-17,0.0,2.700542492331462e-17,0.0,3.00060276925718e-17,0.0,6.901386369291513e-17,0.0,3.300663046182898e-17,0.0,4.50090415388577e-17,0.0,3.900783600034334e-17,0.0,2.100421938480026e-17,0.0,3.00060276925718e-17,0.0,3.600723323108616e-17,0.011156943248189173,0.006963939829652059
"In many companies, a CEO is seen as a",leadership,35,595,0.43042347035493406,0.1825719140470028,0.9661740509327501,0.19105252443205245,0.9664519389191355,0.0,1.2688263138573217e-17,0.0,3.8064789415719653e-17,0.0,2.2204460492503132e-17,0.0,4.7580986769649563e-17,0.0,3.8064789415719653e-17,0.0,4.123685520036296e-17,0.0,4.7580986769649563e-17,0.0,5.075305255429287e-17,0.0,4.123685520036296e-17,0.0,1.9032394707859827e-17,0.0,3.489272363107635e-17,0.0,2.2204460492503132e-17,0.014976267631854829,0.006266432557713257
"In many companies, a manager is seen as a",leadership,36,630,0.43135949708843835,0.21289474004879594,0.9678514443803579,0.22623939282584615,0.9681677155135731,0.0,1.2335811384723961e-17,0.0,4.0091387000352874e-17,0.0,4.3175339846533866e-17,0.0,3.0839528461809905e-17,0.0,4.625929269271486e-17,0.0,4.3175339846533866e-17,0.0,7.401486830834377e-17,0.0,6.78469626159818e-17,0.0,3.0839528461809905e-17,0.0,5.859510407743882e-17,0.0,2.7755575615628914e-17,0.0,3.700743415417188e-17,0.015504397183185503,0.006323127822234403
"In many companies, a leader is seen as a",leadership,34,561,0.3445825895860195,0.2302079712972045,0.9778278970625252,0.24262034441017022,0.9779540991391968,0.0,1.959217102279688e-17,0.0,5.877651306839064e-17,0.0,3.591898020846095e-17,0.0,2.938825653419532e-17,0.0,1.959217102279688e-17,0.0,3.591898020846095e-17,0.0,3.591898020846095e-17,0.0,4.5715065719859385e-17,0.0,2.2857532859929692e-17,0.0,1.959217102279688e-17,0.0,2.6122894697062506e-17,0.0,3.918434204559376e-17,0.012952081977517646,0.006498120123085351
"In many companies, an executive is seen as a",leadership,35,595,0.45755762430905134,0.24915979895740747,0.9699180382303894,0.25780452088474703,0.9716299347414861,0.0,1.9032394707859827e-17,0.0,3.172065784643304e-17,0.0,2.8548592061789737e-17,0.0,2.5376526277146434e-17,0.0,4.4408920985006264e-17,0.0,5.709718412357947e-17,0.0,9.516197353929913e-17,0.0,5.075305255429287e-17,0.0,1.9032394707859827e-17,0.0,3.172065784643304e-17,0.0,2.2204460492503132e-17,0.0,5.075305255429287e-17,0.015123377974379643,0.00676502232937942
