context,family,shared_vocab_size,n_pairs,l2,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,36,630,0.49398779141834837,5.003601785690066e-05,9.417533874511719e-06,0.001321135437677777,0.0002686828374862671,0.0007778776070428273,0.0002529140975740221,0.0004381570551130507,0.00039055943489074707,0.0006860158746204678,0.00038450625207689073,0.000744172315748911,0.0005477269490559896,0.0007537868287828234,0.0011858741442362468,0.0007504117867303274,0.0009392996629079183,0.0007236153360397097,0.0021382752392027113,0.0011594593524932861,0.002355509334140354,0.003368253745729961,0.006362605426046584,0.006533058105953156,0.014583821098009745,0.06224739078491453,0.192833811044693
A manager is typically described as a,leadership,34,561,0.41908837275537114,5.458096131921452e-05,8.87758591595818e-06,0.0012947661991425377,0.0002583317896899055,0.0007636359031187659,0.0002643869203679702,0.00043383341634549774,0.000377346487606273,0.0006607186560537301,0.0003607483471141142,0.0007053031428399996,0.0005164935308344223,0.0007550401908616119,0.0011004209518432617,0.0007462801142809862,0.0009169368182911593,0.0006577435236776152,0.002356609877418069,0.0012853286908059622,0.0025030234280754536,0.00385822384965186,0.0071426752735586725,0.007218721716161718,0.01591157036669114,0.06916348739741321,0.23102023145731757
A leader is typically described as a,leadership,35,595,0.37059307420925625,5.4933944670092155e-05,8.474077497209822e-06,0.0014915875026157925,0.00025883913040161135,0.0008264230079009753,0.0002558623041425433,0.00045415333339146206,0.000372575010572161,0.0006980374079792439,0.00034753424780709406,0.0007587716359050334,0.0004982658794948033,0.0008332453855947286,0.0010284662246704101,0.0008378116022638914,0.0008673020771571568,0.0006501078605651855,0.0026043738637651715,0.0011727427234168814,0.0024726816586085726,0.003020743963097324,0.0070402485983712335,0.006435475830270463,0.01592829397746495,0.07374751034404049,0.22270382131849017
A successful entrepreneur is typically a,leadership,34,561,0.41225915921082973,5.7815549207881174e-05,1.0639429092407227e-05,0.0014746091370064095,0.00025609310935525336,0.0009239583729422666,0.00025415595840005316,0.0005386540808992165,0.0003612409619724049,0.0008266936861469997,0.0003701518563663258,0.001011039059004894,0.00060120049644919,0.0009810081990219905,0.0012676873627830954,0.000859080895170596,0.0009112375624039594,0.0008914203992289443,0.002303963198381312,0.0014080876972586075,0.0022378879434922162,0.004012087237176198,0.0057420397506040685,0.007855381026412502,0.012266935671077055,0.04991243208580901,0.1656951641335207
A strong executive is typically a,leadership,33,528,0.33481628880193165,6.314231590791182e-05,1.0280898123076469e-05,0.0014366147418816884,0.0002472256169174657,0.0008929886601187966,0.00024409005136200875,0.0005361400544643402,0.00034828438903346205,0.0008746031107324543,0.0003806858351736358,0.0010581429709087718,0.0006240750804091945,0.0011758843831943743,0.0014791199655243845,0.0010500072755596855,0.0011271942745555532,0.0010726048865101554,0.0033130627689939556,0.001689943400296298,0.003084431995045055,0.0037958230258840504,0.008086444753589052,0.006623795764012771,0.0176922751195503,0.05439421043477275,0.2594591740405921
A company president is typically a,leadership,34,561,0.40379023806335673,5.912366397878065e-05,1.029056661269244e-05,0.001402282884839172,0.0002470928079941694,0.0009478841660919462,0.0002484882579130285,0.0005429220284582671,0.0004096732420079848,0.0008193319281579764,0.0004159702974207261,0.0009806758579723339,0.0006305277347564697,0.0009856901916803099,0.0013181935338413015,0.0008603005060750108,0.0009655514184166404,0.0008024908004597547,0.002412540071150836,0.0013757393746877524,0.0023443804067723893,0.004343242037530039,0.006423003533307244,0.008845720167891015,0.013972641790614408,0.050415186480404856,0.1600285505547243
A department director is typically described as a,leadership,35,595,0.49425177672229215,5.479960882363199e-05,9.468623570033482e-06,0.001331360700751553,0.00028294495173863,0.0007015187199376211,0.0002699545451572963,0.0003926104858141987,0.00042805841990879603,0.0006393808276713395,0.0003946474620274135,0.0006241780369221664,0.000554520743233817,0.0006598477604008523,0.0011916943958827427,0.0006734266000635484,0.0009141836847577777,0.0006575721652567888,0.0022327814783368793,0.0010906830555250664,0.0023754426411220007,0.0031445724623543874,0.0064019407544817246,0.00585653441292899,0.014708292484283448,0.0652255800090918,0.1785632337842669
A project supervisor is typically described as a,leadership,35,595,0.502044190604665,5.6785996220692866e-05,8.887904030936106e-06,0.0012672055669191505,0.0002754126276288714,0.0007897512251589479,0.00027154513767787387,0.0004108625299790326,0.0003948194640023368,0.0006019394938685313,0.00037947382245744976,0.0006464729789926225,0.0005146111760820661,0.00069014204650366,0.0010865415845598494,0.0006903807656103824,0.0008263707160949707,0.0006277017232750644,0.002211557115827288,0.0011032007321590135,0.002212475027356829,0.0029889974273553414,0.005822168077741351,0.006421455415357061,0.01272087778363909,0.061496124222498984,0.1516885689326695
"In many companies, a CEO is seen as a",leadership,32,496,0.3295624516321792,5.1772642520166214e-05,8.150935173034668e-06,0.0014842163410878951,0.00025257840752601624,0.0008608856268467441,0.00022902898490428925,0.0004738034500229743,0.000517573207616806,0.0007377486796148362,0.0004894845187664032,0.0008389612119044027,0.0006044339388608932,0.0008850257483220869,0.0012033935636281967,0.0007189422124816526,0.0008507668972015381,0.0007610257354474836,0.0016822125762701035,0.0009906776249408722,0.0018090587109327316,0.0031130462884902954,0.005010979250073433,0.005388971538312973,0.011123504489660263,0.04717072904590638,0.1358845140784979
"In many companies, a manager is seen as a",leadership,33,528,0.2952208863427546,5.3171858643040515e-05,8.462053356748639e-06,0.0015004070645028894,0.0002464832681598085,0.0008851798872152964,0.00024054447809855142,0.00047333290179570514,0.00053217736157504,0.0007571085835948135,0.00048348759159897315,0.0008442126440279411,0.0006076458728674686,0.0008806183256886222,0.0011553583723126035,0.000753892980741732,0.0008519147381638036,0.0008053513187350649,0.0019561359376618357,0.0010598122396252372,0.0018983248508337772,0.003232228823683479,0.005472127235297001,0.006012384299979065,0.01224691036975745,0.04614275970468015,0.15853378989479758
