layer,l3_mean,l3_std,per_token_mean,per_token_std,cka
0,0.000676596587097669,3.574352659892615e-05,6.386103225645076e-05,4.458056020889691e-06,0.999981462961728
1,0.032366248207606266,0.005362654930240029,0.019543316459112205,0.0013419780544422918,0.9940784510741617
2,0.035010853315869214,0.006780958174947546,0.040883493562736004,0.00364362289009584,0.9806450358806791
3,0.038935861563463334,0.003838299827790459,0.0700746460046888,0.006397188282193615,0.9597576749226265
4,0.03909934983863796,0.0034956488192814344,0.11245793538319918,0.009463123713443102,0.9410781510572664
5,0.06027508174887388,0.009087190246773775,0.11180861725801094,0.00911138403574601,0.9413272207867784
6,0.07226342392187687,0.01118286711302631,0.15541989527286382,0.019906353524711536,0.8979463378811581
7,0.056563382605294296,0.011840819593792531,0.18066655935969825,0.02313409701467695,0.8730358167577331
8,0.0589051411830462,0.007347208645753348,0.18516105032863112,0.02437795487383745,0.8735598768439404
9,0.061622794683487324,0.01204297036210408,0.22789351749186587,0.029647527362438156,0.8881838093561788
10,0.07626751807478313,0.013302526325467398,0.2942394158035726,0.03851182040429698,0.8665160221428162
11,0.1028384218236218,0.015195414464867187,0.33858419039076526,0.0343888849801141,0.813978258730067
12,0.003031877358968869,0.0005019938157970473,0.009368921111027334,0.0010821139252091608,0.821527967265956
