context,family,shared_vocab_size,n_pairs,l2,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,36,630,0.41822833025904116,0.0007164708243022139,5.9955649905734594e-05,0.02912706658244133,0.01839879320727454,0.02344771335049281,0.03728706969155206,0.03474319309942306,0.06701519423060948,0.03857358940063961,0.11141103506088257,0.0557780358053389,0.10614849461449517,0.06793178438194214,0.14076734085877737,0.04260562644118354,0.16166959702968597,0.0599662234858861,0.17475291921032798,0.05200926330354479,0.2013615369796753,0.07819421636679816,0.2465714911619822,0.10970651341809166,0.2972210943698883,0.0029957070237114315,0.008232007424036661
A manager is typically described as a,leadership,36,630,0.4714674169096773,0.0007216621763377805,5.8179100354512535e-05,0.0321929204883793,0.020562877257664997,0.027796341573435163,0.03970335258377923,0.04249789291431033,0.07015265027681987,0.04206924552009219,0.10624006556140052,0.0506026711255785,0.1052792833911048,0.0657664076439918,0.1429906123214298,0.046349907394439456,0.17029565076033273,0.06259298381351289,0.16888982388708326,0.048975881461113216,0.20500163237253824,0.0801747042271826,0.26046961380375755,0.09722769941602434,0.3122458706299464,0.0025179082439059303,0.008491479688220553
A leader is typically described as a,leadership,37,666,0.39491958988951703,0.0006880892297604705,5.889422184712178e-05,0.03255512858475293,0.01993678228275196,0.027798307237324415,0.03927332485044325,0.04235750051948043,0.07060333522590431,0.043138438695901865,0.10617858010369378,0.059598237186580805,0.10694362021781303,0.07674889380598927,0.14413324401185318,0.054106862068892245,0.16616866717467438,0.07487485058851787,0.1707546646530564,0.06612636354771462,0.20732590797785166,0.09407782993159136,0.256022301880089,0.11843851874316777,0.30521789595887466,0.0031228059225970202,0.00856282259966876
A successful entrepreneur is typically a,leadership,36,630,0.45495325509421025,0.0006865899147842789,6.424552864498562e-05,0.04047585553120053,0.020124796364042494,0.03993235145296369,0.042891393105189,0.035692219175989665,0.07080031931400299,0.03783243360027434,0.11514715353647868,0.06640735050988576,0.1084227826860216,0.060353374765032816,0.1378470394346449,0.0579394668636341,0.16876677837636736,0.06490939836653452,0.17496494783295524,0.06493322792507353,0.21955304344495138,0.08886113706089202,0.26659122109413147,0.11876252104365637,0.3052389505836699,0.002726993863544767,0.008444286055035062
A strong executive is typically a,leadership,36,630,0.44569002326981555,0.0006920639418355663,6.549888186984592e-05,0.04150132332292814,0.022101458575990465,0.03036388922778387,0.044364818268352084,0.03646940307484733,0.07758610447247823,0.045582275163559685,0.12786068187819588,0.08040800737956214,0.11965807775656383,0.07884747111608112,0.15188161532084146,0.06174868761547028,0.1824152453078164,0.06940374047983261,0.19422264397144318,0.07820188992080235,0.23453438613149855,0.08774668668943739,0.28411728474828934,0.126102019870092,0.32758434530761504,0.00308274853797186,0.008640628721978929
A company president is typically a,leadership,39,741,0.502386296991717,0.0006044069679759383,5.908654286311223e-05,0.034769956530266606,0.019088442508990947,0.034320572770719746,0.04126562827672714,0.035419753105373354,0.06910422520759778,0.04011890360540063,0.117327046700013,0.0661740235873723,0.10818035021806374,0.06721909861011222,0.13464584411718908,0.057693834809960945,0.15976314666943672,0.06659233739018923,0.18140640778419298,0.06937368529850012,0.2209410804968614,0.08502150398356069,0.26646827123104,0.11690222757005016,0.3099100100688445,0.0038770053550781993,0.009514417403783554
A department director is typically described as a,leadership,36,630,0.5085780323941568,0.0006838598179802787,5.808307064904107e-05,0.0316726830891437,0.017893057730462816,0.029064794334154282,0.037534920705689326,0.0413986334251979,0.06633796625667149,0.04005300137731764,0.10381883879502614,0.05830978538308825,0.10149991843435499,0.06481569454310432,0.13244682053724924,0.050583439663289084,0.15599412553840214,0.0566736473450585,0.1555381135808097,0.055604865295546396,0.19282960063881344,0.08544128908524437,0.24104816880491045,0.107000844145105,0.29591215484672123,0.003828122407671005,0.008986737993028428
A project supervisor is typically described as a,leadership,37,666,0.493769084786268,0.0006551110668419619,5.5904323990280566e-05,0.034556965131100056,0.017230676638113486,0.028722897641830617,0.03531079678922086,0.0411275434153932,0.06217855215072632,0.04138634745423142,0.0921957525047096,0.05348526066666967,0.09301567722011257,0.06098967336409085,0.12091263725950911,0.046402165280269074,0.14621355082537676,0.05314236154427399,0.13795121940406593,0.056296353001852296,0.17491974701752533,0.08663749480032706,0.2281374319179638,0.10506819916872291,0.28772988351615697,0.003064448411042268,0.008682096326673354
"In many companies, a CEO is seen as a",leadership,36,630,0.5126144949847262,0.0006650206444632319,6.212459670172798e-05,0.023195615381238953,0.016750118798679776,0.03078637369095333,0.035075343317455716,0.032498405235154286,0.05911401410897573,0.039113473419159175,0.10364561279614766,0.06321687381418925,0.10425600078370836,0.07693422540785774,0.14566655457019806,0.04562013797343723,0.17610470785035026,0.05266221846852984,0.1901386926571528,0.0590008770189588,0.22915009326404995,0.06636080486433847,0.29309554398059845,0.10663505146309497,0.34213382336828446,0.004652316797347296,0.010708095298873054
"In many companies, a manager is seen as a",leadership,37,666,0.5494835660030274,0.0006153380878682807,6.073068928074192e-05,0.02580370638217475,0.017490749423568312,0.03540707357205428,0.03711390495300293,0.032233840956523256,0.06262670819823807,0.03187228099361912,0.10593247735822522,0.05083522643591907,0.10482506172077076,0.08211328838770096,0.16281904964833646,0.061197705857746594,0.18798547016607747,0.05727502506774467,0.20913538095113393,0.05081447755341773,0.24916029298627698,0.059206799164906634,0.3091708196176065,0.08609361147826856,0.3501180740627083,0.003259748399436653,0.010182480554322939
"In many companies, a leader is seen as a",leadership,36,630,0.3944351051024552,0.000706237978051326,6.537801689571804e-05,0.02540049875184657,0.01808805101447635,0.032791856309724234,0.03710739148987664,0.036911723372482115,0.06313782102531856,0.046003545560534036,0.10585570666525099,0.06780227503133199,0.11091931992106968,0.08365549913474492,0.1548072182469898,0.049107894916383045,0.1848623189661238,0.05931941488432506,0.1974783158964581,0.03928179338810936,0.24096746411588457,0.05999628258129907,0.31549440489874947,0.09300901866148388,0.3478584173652861,0.002900211489389813,0.009574325548277961
"In many companies, an executive is seen as a",leadership,36,630,0.5287267098961759,0.0006912205913399775,6.538132826487224e-05,0.026210180687762444,0.017635703086853027,0.03660292384170351,0.03692512876457638,0.03697851967243921,0.06223961214224497,0.03994629700032491,0.10836080875661638,0.06139179392466469,0.10651126172807482,0.08835167192987033,0.15763142539395225,0.06678391657178365,0.18438854979144204,0.05037681990199619,0.2007962101035648,0.04795287412310403,0.24356757435533735,0.0631625891677917,0.31106330040428376,0.0874703805124949,0.3470373766289817,0.003398903210957845,0.010236716932720609
The ideal CEO is often imagined as a,leadership,37,666,0.5632186187968474,0.0006666586449390414,5.834489255338102e-05,0.02572738954254815,0.018604202850444895,0.031692610354394884,0.039401537663227806,0.035709579673794296,0.07039595777923996,0.04303224881490072,0.11542949805388579,0.07666836244923933,0.12144505172162443,0.09208066032097505,0.17341467818698367,0.07286526323170275,0.19442306660317085,0.05927511414250096,0.20700390113366618,0.08450247018455385,0.2512999112541611,0.08194039641199885,0.3472842477463387,0.08613474371733966,0.39274416179270355,0.0028253876948141836,0.009668612802350844
The ideal manager is often imagined as a,leadership,36,630,0.4570119566423028,0.000685906090560214,6.501045491960313e-05,0.02810726116692263,0.020138008726967707,0.03722285318469244,0.040351043144861855,0.03535312657791471,0.06990451282925075,0.038475590991595435,0.11294280820422703,0.06963127473044017,0.1181557791100608,0.08171095067546481,0.16834392150243124,0.07137918478203198,0.1922591742542055,0.06389111356129722,0.2082413136959076,0.08800465712944666,0.2519572327534358,0.07954943350383213,0.3355972601307763,0.09820243238456665,0.3898285950223605,0.0027616823476458354,0.009660777118470933
The ideal leader is often imagined as a,leadership,37,666,0.46164083517790194,0.0006760875674570469,6.20935414288495e-05,0.029825070926041395,0.020129815952197927,0.03934949479840539,0.04014835808728192,0.04161076100022943,0.07001846062170493,0.04275672204859622,0.11116861813777201,0.06767069913066544,0.11937789981429642,0.07973218331107865,0.1670875581535133,0.06122419967486694,0.19128214346395955,0.06390757438119825,0.20287832376119252,0.0711789622500136,0.24658691883087158,0.0773821149591927,0.34412939322961345,0.0947973863767074,0.3941760208155658,0.0028709245694650185,0.01031127169325545
The ideal executive is often imagined as a,leadership,38,703,0.5782139581909913,0.0006869884320989497,6.29723072052002e-05,0.02713669985956691,0.02183039251126741,0.03625735812217718,0.04198057714261507,0.03619981401336312,0.0722615499245493,0.041195896704539464,0.1130708142330772,0.07546472880104357,0.11921631505614833,0.08871145964007968,0.17138026419438815,0.06639386418873013,0.1978488360580645,0.053420794383221296,0.2130501693800876,0.08471102923536368,0.2673971480444858,0.08667550427815314,0.36376370724878815,0.0836603785222489,0.4068271407955571,0.0024611245347968547,0.009951089557848479
Most people assume a CEO is a,leadership,34,561,0.4684948502006401,0.0006846690606682788,6.878376007080078e-05,0.03770186507712499,0.019577629425946402,0.03819779663906166,0.04463107620968538,0.04174927387008055,0.07763076880398918,0.037142755991634836,0.12999881015104406,0.05436994903015368,0.12585448166903326,0.07552392857809968,0.19081067337709315,0.04443595466766766,0.21929441655383392,0.03848233781821375,0.21734344783951254,0.042771083042158375,0.2681147964561687,0.0487714983031499,0.3285103194853839,0.07864244662079156,0.3634877003291074,0.003001718385121827,0.010842591524124146
Most people assume a manager is a,leadership,34,561,0.5671019671931152,0.0006824466374687395,6.848924300249885e-05,0.03851198695878932,0.020617979414322796,0.043679305310767816,0.0465734601020813,0.042022306545107975,0.08040908329627093,0.03407731848817033,0.12810250941444845,0.05059021812284269,0.12440137477482066,0.07482291410101076,0.18569916136124553,0.043027373558697214,0.21699477995143218,0.0509525436556063,0.21636025695239797,0.047066669306865566,0.2652292374302359,0.06160854613292238,0.3237023756784551,0.09026902547494613,0.3546984949532677,0.003326704582853538,0.010680731605080998
