layer,l3_mean,l3_std,per_token_mean,per_token_std,cka,anisotropy_base,anisotropy_ft
0,0.003219389832761143,0.00027269401360100945,0.0007673700830302972,3.6662157675648866e-05,0.9997359239598915,0.06182905840446652,0.059736529390520765
1,0.013536190861715966,0.0016974057643665361,0.011148720434477326,0.0009086276471142459,0.9955655746436706,0.14804410938236065,0.14004891447586534
2,0.01985778890044145,0.003331800576769708,0.035576394367353145,0.0024410857743629526,0.9890553448004175,0.20288415307886293,0.19233089419312455
3,0.02709991762833803,0.006116651373126114,0.06108601705120096,0.005744678145334958,0.9743577863626811,0.24014381809580104,0.25370167667811155
4,0.02976001589456273,0.0027604923763295676,0.07778353199362112,0.007035631028298889,0.9595186277414692,0.28527175310845887,0.2820272901772057
5,0.037107921528423064,0.005772437235507688,0.09235777336259314,0.008135162585864912,0.9500394840340997,0.30011616939122676,0.28165814099661
6,0.04472228787950276,0.006791770925304123,0.09734484977367554,0.007201200626001306,0.9392987434790461,0.3310563395715224,0.30185465613539697
7,0.04659352852797121,0.007228956515593231,0.10409313031722871,0.006442055943063882,0.9319320492627328,0.3595494122899526,0.32882858064046777
8,0.046788098884229586,0.006586628790007647,0.11158669352774506,0.007236204380584242,0.9298354823206189,0.3732455606927433,0.34318341433389804
9,0.05255724516405401,0.006449677989368689,0.1198169573710055,0.007567146273802154,0.9262702503215987,0.38569226462375095,0.34854578684549914
10,0.05808982802281602,0.007200447313180849,0.13290423996119385,0.008431166932312157,0.9237091880065038,0.4206639473409853,0.37488357769076375
11,0.06263873042576293,0.007690203310186302,0.14442875386593015,0.01069425800013182,0.9170634093179851,0.423618608679047,0.37479545639152206
12,0.06815956522610114,0.007219909347419877,0.15386790954139423,0.012109073760960109,0.9157824342357889,0.42890574048644153,0.374216497037666
13,0.0760046510467755,0.00782269544196663,0.16316801749581247,0.012932544600793608,0.9117826757029702,0.4379486980001185,0.3756752721590371
14,0.07920107628290439,0.009921052165494498,0.1774240339459694,0.016672062647461003,0.8979792011085435,0.44544675280070384,0.3823361192940218
15,0.08783927972116352,0.01105655915144942,0.18901046660574222,0.021013848806631052,0.8975506249325451,0.4631110513203175,0.3898354477272643
16,0.09671989759797299,0.013925565139727005,0.20052279642954388,0.02423348444140781,0.8967886027050728,0.4852156839212155,0.40109068217439986
17,0.09973082577081555,0.015545999676588826,0.21095606814145712,0.02504778131490192,0.8995605377940985,0.5053994150293131,0.4172117276297486
18,0.09910331053980112,0.015662428067605823,0.21763429489249875,0.027720385852782126,0.8970105394041105,0.526470931696965,0.43918810527134733
19,0.10745900601409897,0.015105088865215595,0.2175758327935704,0.026294495973852985,0.8936352664605889,0.5513626484296618,0.45483162743771927
20,0.11369577636051628,0.015521607555372902,0.21387115845172242,0.024534767367646825,0.8814635713712179,0.577628215346474,0.47507807632277854
21,0.10638477428284496,0.013476676801512598,0.176898426838069,0.021080872309741962,0.8647063051941136,0.6737719746101068,0.5760349357156039
22,0.02382851698178614,0.0074065116352377966,0.044689046068523065,0.011230531473959022,0.6015123831505529,0.9125003587778087,0.8988608417393499
23,0.015994404886600592,0.003873588886225593,0.028153747191754563,0.008526647198027157,0.3580385078796794,0.9456229393729518,0.9551440787441978
24,0.0037327744803693193,0.00185346961180012,0.00894055109833848,0.004475268136793555,0.638060578924434,0.9920562985401322,0.9938437178965428
