context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24
A CEO is typically described as a,leadership,35,595,0.5916237630313446,0.41093563567847013,0.9861161115113646,0.0033804202126213206,0.0008390187777635148,0.013445341122575278,0.010052778915181707,0.01774446345565019,0.034308619044244155,0.031596674622668665,0.06070048849758866,0.03462671604278305,0.07863401191815174,0.03240229620340871,0.09454924437650856,0.03884203722015054,0.10078443751595888,0.04259401303327471,0.10799841018422028,0.04420039606000752,0.11802163518487543,0.04916049800260175,0.12836442991050914,0.05264406280451358,0.14196741380668318,0.05785306866720383,0.15320871188399304,0.0624876001226733,0.1593698388467131,0.07274717815022202,0.17194788151476445,0.07494199895748817,0.18934624425680283,0.08349546923326243,0.20471738499994754,0.0901126388191857,0.22161544450490817,0.09806004731307223,0.23438343251971147,0.10145315136907947,0.24593528828389585,0.11054851291668176,0.24424540512780735,0.1164208943047914,0.23754107717272024,0.11667800021988317,0.19996532493100014,0.030199579354706345,0.05522640920537165,0.014181262055884724,0.0356428830792155,0.0043183039414173684,0.011636357791850762
A manager is typically described as a,leadership,36,630,0.6061563673355252,0.5279640192165971,0.982877285219729,0.003463263706101735,0.0007530604280806788,0.014311351664268454,0.009811956447671697,0.01851756583759922,0.03396411495735771,0.02477422384365722,0.0595618528632417,0.029513370147668447,0.0808405204848709,0.03334489907054906,0.10026455205655498,0.04102795396163549,0.1059048971306715,0.04355619495538057,0.11294042677134836,0.04525938497940134,0.12403129366067961,0.05221901373773843,0.1337616425754187,0.05767260195328316,0.1460512278148539,0.06523547570277341,0.15928028504224817,0.07234184118296938,0.17041080896178962,0.08139381564419566,0.18414648184627028,0.08915055470324461,0.20204276030079474,0.10137135491599455,0.21548899476142871,0.10889853842455026,0.22590688990270605,0.11607055409520174,0.23589536676672734,0.11669736412268186,0.24616185138729785,0.12737402676979123,0.24489706447338222,0.1371408623494246,0.24066794197065144,0.12434323394604717,0.20293754505642847,0.02951059815050009,0.057589331493021444,0.012846805774721089,0.034475318163814814,0.003463354728259651,0.011797238264520877
A leader is typically described as a,leadership,36,630,0.564213064642933,0.4798250466119498,0.9870380621869117,0.003169982694680551,0.0007313841713942275,0.016147730018569322,0.00979814081620508,0.019138073204123186,0.035660347726452914,0.02541895483799917,0.06306991975761955,0.031164930521322895,0.08394468027350702,0.0355755700219543,0.10061850666000288,0.04435326213285986,0.1041422873966872,0.04602444392018709,0.11113916149717536,0.049959490963525234,0.12031325073468015,0.05732089369735129,0.13009789867168942,0.06484600757405493,0.14445262938954104,0.07150455128619986,0.1617046707359028,0.0812869123712428,0.17561003662035896,0.09515074178012803,0.1899879617831921,0.10134353884888612,0.20495242066716332,0.11133209389915748,0.2192943183540921,0.12165547576363366,0.2420167849711748,0.13214869014048147,0.2560238058085312,0.1345220010462903,0.26774265902411165,0.14493246978328325,0.26646023286479736,0.15127823332342313,0.2606898992885364,0.13886469080743363,0.2158925064157437,0.03238219592702168,0.055266024777908665,0.011816560376504684,0.030477150222328633,0.002512996978676281,0.009031642485918102
A successful entrepreneur is typically a,leadership,34,561,0.46262479598062584,0.6125424792990088,0.9815237210132182,0.002959957577991613,0.0007479103152636668,0.014606625738687434,0.011689745040063903,0.030922456178570833,0.03923936821763663,0.026477017569572145,0.06225921342496605,0.0362495252077307,0.08066169475151595,0.038535071856427974,0.09832516728791713,0.04564669234518892,0.10473853756857425,0.04769472886408394,0.11233928722064652,0.04797634760933728,0.1226063119992783,0.04978500449603225,0.1302347626708899,0.05340206900592,0.14516646351218615,0.05738190309756285,0.15919917229093644,0.0646737494321025,0.16869133884667095,0.069061440758479,0.17911720004044515,0.07080274180777614,0.19426478241812273,0.0758562318190775,0.21337175445391487,0.07966261981071236,0.2301466389778661,0.08289861274550733,0.2395442883397326,0.08590742333809516,0.2452806876557542,0.08823784688711309,0.24230596994656406,0.09994322478348197,0.2371201237006708,0.10351926563428229,0.20042337667469454,0.03238781762766411,0.05725720830008364,0.018330475045543117,0.03769443923722787,0.005313534922321376,0.012815564321489814
A strong executive is typically a,leadership,34,561,0.5494833510375816,0.5628382232971489,0.985847745439969,0.0026754960837891773,0.0007270518244643577,0.014973704908941607,0.011044747703371086,0.024157892670426416,0.0377465482749715,0.02879237339004438,0.0637268252215654,0.03032084742894905,0.08044470179134378,0.030987827912175744,0.0951785966999734,0.036964387876308895,0.09954809514625455,0.039049145517235505,0.10546165423013848,0.03787347353483113,0.11452349031578492,0.03982988613450388,0.12240424721090595,0.043278683503369775,0.13869517090377945,0.04587516575981422,0.15639694402330356,0.05386083087935666,0.17085744559462396,0.06239470007717752,0.18597377583783578,0.06019120993808282,0.21108764879717995,0.06326734717814757,0.23715757253702616,0.06939239709793617,0.26047736177256775,0.07359962736034077,0.27790305797958414,0.07750692359856244,0.2925125885661006,0.08919966527313687,0.28781836966762414,0.10455608170515043,0.2781936039047825,0.11395730523661257,0.2333766136188364,0.05666571490378359,0.08995936208068848,0.03226539273719453,0.06388636385609564,0.011818133060015428,0.027274337078408695
A company president is typically a,leadership,34,561,0.4900863218201613,0.3479056595824659,0.9990249621441762,0.002762439340251359,0.0007405366789749947,0.009884695270163186,0.010738226435159329,0.019960068681692894,0.03500269356325373,0.027775851475715502,0.06006591295628921,0.03061282171140558,0.07828452864895474,0.029580735081499544,0.0951567667015957,0.03717159218068209,0.10443489467514538,0.03936106227597902,0.11119675876176698,0.0411368723907588,0.11968796270377091,0.04342525000749194,0.12638035216231672,0.04565571644205098,0.13894384953807742,0.04890191462507561,0.1501186211576839,0.05344646603323094,0.16139409294929896,0.05658033226147853,0.17402487119841004,0.059755257872738526,0.20675863340961276,0.06493342307639818,0.23721382350203146,0.06682546667308814,0.2607116817834059,0.06613503426668335,0.2751267233089796,0.06671975844248874,0.2895398837711647,0.07259547180216347,0.28383099389153493,0.08191033621045773,0.27730818821007075,0.09783782457318939,0.23578253706224644,0.04333631392632097,0.08074629685140798,0.025313584453012364,0.05977596381756738,0.010319757147234156,0.026775192000383606
A department director is typically described as a,leadership,35,595,0.584754123934297,0.40301594557240605,0.9807023693574592,0.0034800791146101977,0.000772719217135823,0.011892861955139692,0.010178422273994157,0.017702143171901986,0.033790679292027614,0.02744687763473311,0.05846231645242354,0.029841848482056104,0.07457310966719584,0.03395383148426753,0.0902414575836344,0.04121431607655876,0.09589932042271736,0.04217357674675718,0.10308113382138011,0.04352174150729725,0.10989055389571314,0.04844285697647449,0.11764570035816256,0.05152931637669521,0.12932709935892361,0.057769123469390234,0.1386408039776183,0.06401612129448227,0.14885301994353334,0.07237680986994219,0.16073618310723797,0.07360435616122324,0.18238548300826343,0.08142084390640805,0.19561455841008643,0.08907875899124865,0.2095393971529713,0.09110086597829904,0.21810935949272536,0.09167475129587313,0.22645075645719578,0.1014462025306709,0.22830884560694226,0.10989579703424904,0.2296894476894851,0.10915642975440418,0.19763550529481957,0.03121214454795119,0.05780901406904511,0.014919098750016867,0.03635713934729157,0.004294381592073997,0.013108532124114593
A project supervisor is typically described as a,leadership,36,630,0.6056654404043319,0.605365966912359,0.9861014850903302,0.0035920114478578146,0.0007683186868991912,0.014702214363759073,0.010334673880368128,0.0218057146964358,0.034514845877125604,0.02512425059923954,0.05626369905333376,0.031098026990254088,0.07170352317703572,0.038309239186816404,0.0874976273083979,0.04596908436865527,0.09227383657691382,0.046340570168162516,0.09873153174917651,0.04803390892157987,0.10600697632692496,0.052675226994306726,0.11328827529245238,0.05826218654416593,0.12408883056327083,0.06520785980694531,0.13496595211142423,0.0698634146675882,0.14471925267507305,0.07623760195708375,0.15823753461198106,0.07854267433604481,0.17914906364191954,0.08390510417438672,0.1958097341652415,0.09509205147591708,0.2108348249801325,0.1007217589964201,0.22229854674286553,0.101023124515521,0.22689985401658413,0.11021535606356271,0.22815235389256022,0.12115566000971278,0.22847038644500867,0.11262763840880664,0.19439541557949325,0.022828694235092355,0.04867401262201568,0.011373892582235878,0.026424904973780156,0.0021455035297964845,0.007319286678039787
"In many companies, a CEO is seen as a",leadership,38,703,0.6583695117282072,0.40259661665186286,0.9576493506319821,0.0029770385257546148,0.0008146099109906788,0.010306570968537319,0.01020763284909193,0.016958468719842853,0.031477107944617444,0.03174415749374904,0.05258617922163299,0.029045932566879724,0.06637186954905226,0.03656704508959462,0.08000961409983642,0.04394767569228923,0.0877291088456969,0.0466967124064073,0.0975965963481384,0.044724624141643084,0.10662692042052205,0.04763542487220288,0.11487675246948292,0.050624141680568176,0.12754483374269351,0.05298791574070156,0.14079243237175626,0.06005188311243513,0.15046852126686652,0.0666065260220835,0.1607395574186175,0.06274174021667032,0.1836766347646408,0.07112973389637794,0.20266557685011438,0.07167830063614707,0.21726233244278167,0.07334079453359074,0.22596241790060492,0.07194539548772906,0.23990066478342711,0.08055901585245927,0.23692745193854856,0.08294991996627857,0.22999573411830557,0.08065761594919363,0.1831363115049062,0.018938682456236606,0.041832708841393486,0.01490601958429554,0.026624710027520655,0.002604411143245508,0.00865937453113288
"In many companies, a manager is seen as a",leadership,38,703,0.6406707666557595,0.31295671686530113,0.9400226301513612,0.003302502041670277,0.0008258456161905027,0.010733033706867439,0.010049876971248983,0.017124296190420673,0.03135501647651542,0.025277786282991245,0.05118990206429703,0.030644223159186086,0.0651106780184272,0.04014188189140549,0.07924257555558685,0.048492034141353856,0.08674960839796124,0.05071706669439775,0.09658040378551165,0.049547667937082346,0.10569002390598133,0.052087092759931446,0.1143681658708603,0.053075026644044065,0.127171565865405,0.053831664278602004,0.1392313168396461,0.05915874892372306,0.14697457471843978,0.06673615301024383,0.15741726912253945,0.06734718105734025,0.1779390307769593,0.07452467891902441,0.1901286787519003,0.07838561248510731,0.20158146774267913,0.07920382885282125,0.21014283995480457,0.07932087573980837,0.22273694293796886,0.08596884040596899,0.22029492734501382,0.08928484997321491,0.21319199445153228,0.08055094077953841,0.16980843785925445,0.016944195381786188,0.038716934648782036,0.015475530325187184,0.024619407444316146,0.003018690174362115,0.008108950556972716
