context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,38,703,0.5448765806189289,0.19041028060019016,0.8354702475480735,0.0003686479409949001,2.6074583487309838e-05,0.018610600344517607,0.00475223686672379,0.01059389177025886,0.01182548324251655,0.01676752393407845,0.01894269608729919,0.011713798782949097,0.02208283012664303,0.018447352461264353,0.027269164370135924,0.018650358569741978,0.039019846304128095,0.01973668396002429,0.04854671360758469,0.01645754302889969,0.06016332953060045,0.028783903652095696,0.08163954075100915,0.035476345542540276,0.09326492757864598,0.03543977210855468,0.08171132713290073,0.016418059059678476,0.017303089134404027
A manager is typically described as a,leadership,37,666,0.5696243926097176,0.22320936853066087,0.8344368087127805,0.00033858139331514967,2.568381569065023e-05,0.018037456690404453,0.004807375238738141,0.011222328843979602,0.012022174507488851,0.016712295702899,0.01993045580491308,0.011519904699926961,0.022131519398308926,0.013398419504370452,0.026010696884989887,0.01400926051718636,0.0369524567347844,0.015725627473278228,0.04729232021167566,0.01781269692892785,0.06294319122403372,0.03560633924511674,0.08814811653016838,0.043795826304969164,0.10047300767821511,0.03955534402762182,0.0870289195270558,0.015205348350194419,0.018503994417013708
A leader is typically described as a,leadership,34,561,0.4610532576784168,0.3066332023590803,0.8316715462133288,0.00036175485545110166,2.6434629416156467e-05,0.01932588164634025,0.005008811117481125,0.01073957912516862,0.012095769688920755,0.013253944035806962,0.018222518061116126,0.010630150088693151,0.020931155968266543,0.011228949295262686,0.024705860957055834,0.01179021494098326,0.03420964975901511,0.014614739835942641,0.04479657524057687,0.019755327552547726,0.05778520112360312,0.03473241260580132,0.07767505215665035,0.04825306556994206,0.09150232475367981,0.041170006416980764,0.07965253955361715,0.012912421851575925,0.018637977429640993
A successful entrepreneur is typically a,leadership,34,561,0.4133768605113219,0.31008849386125803,0.9180468281265348,0.0003872863783174543,2.673518285991344e-05,0.02047764272025425,0.0049909336505799635,0.00924205308164492,0.013071608445190556,0.010025288448188343,0.017822553689747056,0.010936732451682385,0.020953807082444518,0.009830305681754699,0.027231285807625582,0.011717374146343613,0.03681165822969404,0.01443711136958422,0.050839862259097,0.016571265895613363,0.06769175432311149,0.03815739398185342,0.0958691078673408,0.06063194651748067,0.11777113226288816,0.0445143886130884,0.09866742204927653,0.01093088630438996,0.014431286825672613
A strong executive is typically a,leadership,33,528,0.4257763203576454,0.35015100333839655,0.972541835391894,0.0004175675555403921,2.5628342507485098e-05,0.021974295400072428,0.005228790859407283,0.010660575785189225,0.01342701286043482,0.012209458043275157,0.01938939767353133,0.011871486353254683,0.02261638055957967,0.011437243597615134,0.028444218794525987,0.013036470726115267,0.0383774717730957,0.0158123110172848,0.05237140558907838,0.019173877268595436,0.07376120585722587,0.044871902659616034,0.1112795124164796,0.06304967375478188,0.1302511655942573,0.04536461799069311,0.1073766323167391,0.008729217713756053,0.01387511427574786
A company president is typically a,leadership,33,528,0.48085659895118793,0.20981833059340715,0.9729133697692305,0.000426932515056971,2.914202746732523e-05,0.0202047748259024,0.0049815783032109715,0.013072420815092356,0.013283185300545283,0.01246866020296734,0.019712640059108045,0.010968798088757737,0.022737845051869876,0.011119641085501678,0.028006684799726855,0.013062738733706477,0.03773622599627742,0.017025601112488433,0.05221542534244337,0.01905247336173032,0.06775154108999147,0.03009364505574458,0.09677660032684199,0.04325725239112735,0.1183508524695554,0.03651682433183241,0.10063721501996391,0.011490005537450311,0.025492265425869985
A department director is typically described as a,leadership,34,561,0.4742731725419151,0.13776893238537014,0.8381676776334643,0.0003580598418402446,2.769172296390405e-05,0.014945132343985357,0.004586316047501051,0.011688728457503891,0.011623697717221493,0.01829359226497365,0.02009251577555238,0.011680071193631058,0.022990674418184198,0.016066350866922284,0.027339942524448012,0.01640372644132667,0.03855724525852022,0.018281217780998314,0.048395642481233785,0.0177798929792625,0.05948185687989668,0.026189308780209013,0.07996340688068333,0.03327434022855014,0.09687096910155203,0.031706134985275664,0.08575190888953386,0.017071134885006313,0.02095428541082165
A project supervisor is typically described as a,leadership,35,595,0.5588673239027648,0.22774289408698678,0.8356547276489437,0.0003627583306692313,3.603083868121296e-05,0.01431613221200673,0.0042738218381341555,0.008864528807551463,0.010695649587861752,0.01915611169922653,0.018309412282453127,0.013438100237720685,0.021960952016926234,0.019881477535384523,0.026970366417608915,0.018660840084309835,0.03720826545122102,0.01741180599854949,0.04684021940961939,0.017505423403108584,0.059716008007073426,0.028690533802752275,0.08259867824399225,0.0375391940372177,0.09906018523938795,0.03595328717264587,0.08600304945652949,0.016489249817977177,0.015638972357749595
"In many companies, a CEO is seen as a",leadership,30,435,0.37053447238405873,0.27389038586989045,0.9527567166369408,0.0003824597870172839,2.5482579680865166e-05,0.01503361099471859,0.004048782415245045,0.010926660529828922,0.010569002709291335,0.015096549733790737,0.01742661069006151,0.012734370587796244,0.021303886921724143,0.01398676652941174,0.025887493017863934,0.017021221513076328,0.03548800782207092,0.021717172107100474,0.04400043953790287,0.02037479516320458,0.05492040615448281,0.030555906391612372,0.07205890641135206,0.03432500504769893,0.08427627338586108,0.03246507509989768,0.07549749614605039,0.010213899612958464,0.009674676814121153
"In many companies, a manager is seen as a",leadership,31,465,0.3945758654455364,0.2687546834349632,0.9535125605762005,0.00038445161047628395,2.333027495290515e-05,0.015535792663064782,0.004054942333561733,0.010927702862955066,0.010685979863427621,0.015839643025207368,0.017821808153455306,0.013231775608165897,0.021086299675715982,0.013394865319525998,0.02561671458782964,0.016521009945486796,0.03514781334478069,0.019583825047679276,0.04410778124607488,0.021563762846506677,0.056309561400616916,0.03668902693624588,0.07521469250800922,0.0402716397890591,0.08746005464752311,0.03399398861726665,0.07651534800256948,0.012611524275286196,0.010762204995814616
