layer,l3_mean,l3_std,per_token_mean,per_token_std,cka,anisotropy_base,anisotropy_ft
0,0.00039577460816759473,4.085197703133046e-05,2.8900803442559486e-05,2.9227527550826624e-06,0.9999680585483347,0.7157875192246256,0.7160123624810271
1,0.006952959316839216,0.0010186830891147983,0.0044546309650752,0.00022924492247871587,0.9976642147096779,0.7438785076895214,0.7373748068782155
2,0.02323797644498246,0.0022909405171681134,0.013434938534708698,0.00069784890018991,0.9940101009643716,0.6686348649970697,0.6455836261343793
3,0.009126301163183762,0.0009283561442022796,0.018517729511679328,0.001005712466504106,0.9933251750614083,0.6539019975857802,0.6546383746953348
4,0.01270199065703186,0.0020713653863974487,0.02364505737372348,0.0015142965438359173,0.989670655495618,0.6440157448937833,0.6377959417202715
5,0.012628517355774596,0.002702232109908685,0.028371572885511547,0.0018336676153959898,0.9892865005223057,0.6566351470547547,0.6616983833029133
6,0.01785212989057252,0.003922427026916541,0.037298918465064175,0.002438395308033839,0.9844047710345171,0.6333537628160005,0.6465138650062203
7,0.01710002788348697,0.002419513209981747,0.04449967349145122,0.0030201703900126398,0.9846680042331345,0.6285421848298868,0.6365997971797308
8,0.01824065728723489,0.0019982525870020636,0.05655793411335982,0.004283602860901891,0.9799048982397053,0.6436956454993992,0.6435136017220547
9,0.028846615225257798,0.00495448893412536,0.07990264918620621,0.008250746471015181,0.9675087222480452,0.6676425730446534,0.6462453896601991
10,0.04597155340891776,0.009003431861323467,0.09788276395201709,0.010159743488214553,0.9552495573798583,0.7220160992656262,0.6783578312265467
11,0.036481676419344196,0.007734502920029238,0.07926957921559719,0.007277979535229221,0.9319979097307536,0.82806436631948,0.7937953431974457
12,0.014169033633105604,0.0019453174066728584,0.01818016645446318,0.004053902368999247,0.44780804244262185,0.9851804359151872,0.9724870942038342
