layer,l3_mean,l3_std,per_token_mean,per_token_std,cka,anisotropy_base,anisotropy_ft
0,5.466805340574335e-05,4.78026403473749e-06,9.255753930951258e-06,9.191694068991757e-07,0.9999992171338701,0.9268186252919797,0.9268242136164236
1,0.0010832290838841334,0.00020988808996411855,0.00022958518309688477,1.5085719354695093e-05,0.9952330387606667,0.9855561735943897,0.9845073943472012
2,0.0007717093970642845,0.00010482386559328743,0.0002791513783877228,1.3978649200662818e-05,0.9901241535206768,0.9950725960415057,0.9943009657207623
3,0.00043091466306242876,6.385840422319587e-05,0.00038813127365731735,4.493843669821421e-05,0.9726895584863768,0.9969193533633158,0.9964895334242808
4,0.000763302467033165,0.0001128439751553734,0.0003716125893710452,4.5572419453573e-05,0.9417757933744167,0.9967316793548708,0.9959699943031382
5,0.000870755675604022,0.0001454625186915635,0.000554154343026008,5.1935862552167485e-05,0.9527372780820158,0.9961180922555346,0.9952497292113648
6,0.0009727172887013752,0.00014320116910507532,0.001108472120898119,0.00013925062540674405,0.9400610877295031,0.9954946553740396,0.9945260313408271
7,0.0008851602902508283,9.611545564421136e-05,0.0008153226340605127,0.00010245568468892138,0.9591073636902545,0.9951697519339578,0.994292440112617
8,0.000969293958999156,0.0001502233493905037,0.0020413157157952435,0.0004188213759619269,0.9314070654020234,0.9934436583423143,0.9925339329479492
9,0.0014758157734022894,0.00020028658164416267,0.002078838529901628,0.00029867658330098255,0.9689451997059076,0.9908300932404014,0.9894434567106438
10,0.00392512308142565,0.00040555575406207953,0.005646047615067002,0.0007479715654138112,0.9447448846025224,0.9831556735368207,0.9794230141381657
11,0.007540690662598298,0.0008241821446391081,0.012773981354772904,0.0016404598248755777,0.9423605148164669,0.9681023088912453,0.9611829676597919
12,0.06511817898971982,0.008790332314450255,0.17939398352874544,0.030126875795734136,0.9128384890286223,0.6258504308510482,0.6402039339682054
