context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,36,630,0.49831796007421,0.3385520970914513,0.8803368033841252,5.187317384936223e-05,1.0236712474326337e-05,0.0008181174025911395,0.00022000680839847261,0.000622299682472826,0.0002778307542174267,0.00036352133569784306,0.00033963452239135463,0.000652169739890783,0.00033006309525046264,0.0007545439631903761,0.0005492275744436201,0.0008478189348977169,0.0012320027021800986,0.0008257616511452853,0.0009502553624530106,0.0008918046026791337,0.0022153056162143333,0.0014264391339492747,0.0023156169047888753,0.003813625297233274,0.006169620118417516,0.0077724516632296774,0.014246623844709693,0.06765111894368306,0.19057832909489972
A manager is typically described as a,leadership,34,561,0.4543476511922063,0.3769915164448321,0.8913716315291822,5.382011940327577e-05,9.069324614886064e-06,0.0008020593063673036,0.00022479283068747285,0.000608026806614558,0.0002978984219460458,0.00035512432061023374,0.00034733645676276033,0.0006297675400568788,0.0003458562534298398,0.0007056783441783495,0.0005579195785648903,0.0008313402687105062,0.0012081868580368998,0.0007847068364549987,0.0009795043694194201,0.0007794487221400429,0.0025498158085029846,0.001511601902437302,0.0025220173945334455,0.004192133980592128,0.007031068234221743,0.00851558038284877,0.01588196543453499,0.08057633745991193,0.2353274717108373
A leader is typically described as a,leadership,35,595,0.39037192713120855,0.3147218481171876,0.8990214779041708,5.788086173473546e-05,9.281704481651459e-06,0.000899721594664212,0.000215064126178488,0.0006437354398537133,0.0002762173912005141,0.00036589411234377324,0.00034114106410364654,0.0006402012260850331,0.0003435120312267337,0.0007193104047036633,0.0005568537278496377,0.0008695834571288191,0.0011831450447140211,0.0008334408217756078,0.0009520884266640741,0.0007551094196410428,0.0028335722425874327,0.0014509016598990682,0.002545868745267721,0.003697031425819104,0.007020029337406312,0.007743029689932985,0.015938757998658563,0.081659680031279,0.22958487127247887
A successful entrepreneur is typically a,leadership,34,561,0.40443677334692507,0.47223011078312993,0.9424526082584634,5.5661337628312984e-05,1.0936969057596212e-05,0.0010110436685612841,0.00021385367080265766,0.0007704226623540294,0.0002878710547620429,0.0004566807654970596,0.0003460951085834303,0.0007870353872563474,0.00034655069145565195,0.0009234746806018193,0.0005885527035567132,0.0010113991512358126,0.0012374523032568396,0.0009166654783007029,0.0008878577607987264,0.0010270105774022856,0.0022729251155005838,0.0015613940352050693,0.0020838229938684905,0.004385265770797122,0.0053672099721279246,0.008699206928592836,0.011675495054534302,0.0557391002196872,0.15985666049141775
A strong executive is typically a,leadership,33,528,0.3311821783818065,0.2620292459614575,0.9243384895380586,6.003858843823149e-05,1.0981576592469873e-05,0.0009874692260006413,0.00020419020295070142,0.0007853679460653301,0.0002830617750751592,0.0004848092508876896,0.0003437142020672367,0.0008692712054177799,0.0003759379314988961,0.0009968494762281745,0.000641443474652579,0.0011849975995626412,0.0014756488937650682,0.0010840182790185838,0.001136776864669697,0.0011642874144659613,0.0035022632396359025,0.0018455121819338455,0.0030872115371467705,0.004175481403607514,0.007910847167278015,0.007691584707012272,0.017461535120719837,0.07184737746363659,0.2537477403696363
A company president is typically a,leadership,35,595,0.3780910347802262,0.30619805539026856,0.9527569267665967,5.78425104438018e-05,1.1143690104569488e-05,0.0010360072458377957,0.00020505068659641015,0.0008224624712834271,0.0002907211855295839,0.00047469334294599267,0.00038407901932658705,0.0008114559184742045,0.00036899610983427423,0.0009712627247191447,0.0006225794273646207,0.0010968807932471483,0.0013319555467849258,0.0009769981780101244,0.0009662039777699385,0.0010127833670722046,0.0024658875445384763,0.0016543753764108433,0.002239553337184416,0.004657358764897859,0.006119204287164789,0.010003420091536682,0.01359159587523407,0.060634771633674284,0.15860265550156014
A department director is typically described as a,leadership,35,595,0.5214230923933677,0.34711929270997643,0.8567717224359512,5.59815260559439e-05,9.971188215402677e-06,0.0009205424790300596,0.00022730098855013712,0.0006472916216945667,0.00028483396521249583,0.000371136661145429,0.00038143277595807933,0.0006733920553047128,0.0003454186202784117,0.0007256400337172091,0.0005627213801281014,0.0008451177277176617,0.0011865997810508837,0.0008347616527581908,0.0009076958085345461,0.0008389067732662795,0.0023660998537111295,0.0014210915453273922,0.002325317277153089,0.0038795872545510294,0.006214787104934286,0.007828680964621923,0.014383710824991775,0.06908332196015018,0.1735078139414291
A project supervisor is typically described as a,leadership,35,595,0.5475025566527618,0.4451733089517802,0.8925403808243573,5.761889721565853e-05,8.968662238267074e-06,0.0008584593484231805,0.00022871649986378235,0.0006880403982811988,0.0002927608491392635,0.0003714982721317493,0.0003603916496034611,0.0006069343611344881,0.0003438970266978021,0.0006695011787979444,0.0005402321024430945,0.0007617657373850163,0.0011082523019185235,0.0007482344973829049,0.0008520437088234007,0.0007438433495586217,0.002311731556529195,0.0012954197057843222,0.0021809930013109223,0.0034541032516894805,0.00573823341656865,0.007761997982951478,0.012751974957669297,0.06925283874109507,0.15350567459211914
"In many companies, a CEO is seen as a",leadership,35,595,0.29957594566371176,0.3422997836023569,0.908947597257793,5.437405178429962e-05,8.37106141685481e-06,0.0010850630599575236,0.00021333433396799288,0.0007616666671017198,0.00025398945368079024,0.00042274236502768124,0.0003571809383417549,0.0007330750089775044,0.0003447360213991819,0.000821026681339579,0.0005138130293576079,0.0009453496609460252,0.0011246149845840967,0.0007933372622881915,0.0007996773006360465,0.0008737370381030314,0.0016502012450318158,0.0012047613571636341,0.0017300833082575112,0.00352508541226917,0.004799962666731138,0.006875461201797325,0.010728187475349442,0.050805051981964444,0.1258638114980789
"In many companies, a manager is seen as a",leadership,33,528,0.2755720390593602,0.33030907064676285,0.9205516522051767,5.595817038002795e-05,8.71179728055602e-06,0.0010629990683517984,0.00020460046577804164,0.0007848524373260191,0.00026690790149310546,0.00042516679717640756,0.00037701686660120094,0.0007727897727521308,0.0003460832910676603,0.0008676057993642558,0.0005179341586459964,0.0009952692972181466,0.001069363783160316,0.0008746416558525937,0.0007988496147080812,0.0009644909103351722,0.0018071128424144997,0.001301526079021463,0.0017856414611420954,0.0037848512013798925,0.005140641058421343,0.00789302477612451,0.011746252695784873,0.052941148346192374,0.14948409050431724
"In many companies, a leader is seen as a",leadership,32,496,0.31308365249753867,0.3786079525016248,0.9170565669192001,4.888174703123565e-05,8.566377795629632e-06,0.0010874680605103561,0.00021534533817325896,0.0007672687200285486,0.0002667398058722875,0.0004242798767320844,0.0003722769163415421,0.0007572614453776666,0.000354320834219584,0.0008710188758780295,0.0005208967445816323,0.0010011188430732688,0.0010749087195780632,0.0008200435907383359,0.0008128699133363795,0.0008464810238170791,0.001956212467636543,0.0010942787111228394,0.001801005238879539,0.0031868125564174276,0.005100888490048087,0.0063277091283647415,0.011691474076127792,0.04377843307885338,0.15353765648078713
"In many companies, an executive is seen as a",leadership,34,561,0.30405883039648424,0.2948620356619358,0.9076763382181525,5.31206853441314e-05,7.981540506319483e-06,0.0011098462526316834,0.00021716269083996316,0.0007827440257539118,0.00026846814458733115,0.00042895656331335004,0.0003793327430773711,0.0007520172808036609,0.0003540025923366343,0.000844228300605754,0.00052327388458247,0.000946759321786516,0.0010995235451526396,0.000809959243065557,0.0007925410910165501,0.0009007410219143343,0.0017700704342653844,0.001247958342976739,0.0018050111306359238,0.003703075280496213,0.004959404304403944,0.007246698340469383,0.011180914019167472,0.05459400197613739,0.14296285235830042
The ideal CEO is often imagined as a,leadership,34,561,0.2980096299581387,0.24141192808747292,0.8741658222861588,5.484547895296121e-05,9.06044064117905e-06,0.0014075500546588714,0.0002282927120335033,0.0009000718272666587,0.00027000139123910987,0.000531535833017252,0.0003814183265769446,0.0008855901072791297,0.00040172538735308084,0.0010177438699566649,0.000569025850808898,0.0010895730955162025,0.001087958151274101,0.0009318420686023334,0.000731766599307711,0.0010005845657134675,0.0017929046726588766,0.001319762948680514,0.001799883548488812,0.003684493522600773,0.004846228817105561,0.006920055395072305,0.01089676511069242,0.05909615282590593,0.13955082415024633
