context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,34,561,0.43031959082616067,0.25967081962153316,0.8768252264708281,0.002459093433593472,0.00026201804231169775,0.019812290455090732,0.01643745026869162,0.014599400737983161,0.02948331260361428,0.020242087515143423,0.047846617780730016,0.02551515181300261,0.05668674810326603,0.029900406335130816,0.07214542444581976,0.026942796827849887,0.09614248527885323,0.030077980502427337,0.11196052035982695,0.03618766644710309,0.14125732240766325,0.04688659190929087,0.1798170004032424,0.059852966942416014,0.22017221609101417,0.08678040281599164,0.2904585124859192,0.10077512377092535,0.3482724360585101
A manager is typically described as a,leadership,34,561,0.4911645059296766,0.34922948968596756,0.8518263790756464,0.002682969254116676,0.0002545520915498455,0.019370810493970627,0.016530398265184054,0.014452016135928057,0.0309810891366532,0.021891020262646717,0.050793825039877775,0.027288089450674513,0.06100508422345598,0.030289896258994847,0.07678361347884075,0.028036137394500216,0.10462189587387243,0.03315979061139821,0.12133160842834334,0.038181511815224514,0.15413411640804106,0.04911101320412441,0.1967780424957137,0.0614354313305103,0.24615317083277358,0.08469747385258543,0.3221238448520332,0.10075108505557857,0.37698365464801403
A leader is typically described as a,leadership,37,666,0.49016739196581477,0.4189856359735131,0.858139465097338,0.0027041070365881625,0.0003031581253731819,0.018839202097891708,0.016808759696094487,0.013671611894797158,0.031156530119441608,0.02041756335992232,0.052027534740497004,0.02742608862907126,0.061988453155701916,0.028721053005199167,0.07913159166464978,0.026645750564222383,0.10645094212720654,0.034174853677299166,0.12579019702705924,0.0358964847801895,0.1641231012282155,0.05033964116311129,0.21249357761522053,0.05833255785267413,0.2680390060628395,0.08316922942990765,0.3550724315143777,0.0911404214594028,0.41712822969396657
A successful entrepreneur is typically a,leadership,33,528,0.5196100446279152,0.3582119382917881,0.9420461230911314,0.0015237623961531792,0.0002559176861127317,0.019453100317767317,0.018170045456232,0.011506835377040494,0.030809222433422056,0.016812366077909955,0.047796317590519166,0.017314983691125854,0.05691695887848748,0.01999063027583753,0.07059351120093847,0.022189397461238818,0.0920713422024652,0.03194988167058227,0.11183922486934228,0.037943424776360014,0.13911176900546476,0.047915761218703265,0.17311146706936267,0.05746182716614825,0.22705873766816148,0.08765680679086547,0.29395563240125916,0.10538352769474883,0.3615065522216333
A strong executive is typically a,leadership,34,561,0.5145180425810345,0.4963256656192243,0.9730083741014823,0.0019002072299078969,0.00033664521613964356,0.021060865847346948,0.0155182107114421,0.009282196982042815,0.02719197851445589,0.01410473580884728,0.045001028783336214,0.014276839374323187,0.05671571600629934,0.014861168251732053,0.06830891683731925,0.016921742003684865,0.08977740316459612,0.02654790434438544,0.11105055488204986,0.03104383273197027,0.14359426457554728,0.04245299672004574,0.18303492442719035,0.0687836033037857,0.22393631350298068,0.09395293595110017,0.2946719100985469,0.1253102749053106,0.3512391816652198
A company president is typically a,leadership,34,561,0.5369381066699378,0.3192783985286951,0.9517811893019825,0.001915402118221526,0.00031612871701332826,0.02131306580062381,0.016005869380575126,0.010707451525696321,0.02757204159483948,0.01479978076466819,0.04547328439274728,0.015174121472987362,0.05449584813036662,0.019266341168755956,0.0717223996331841,0.020182834112458376,0.0893021148669753,0.024903608942429063,0.10647401631570336,0.027094406180407662,0.13439695382187042,0.035821545161121404,0.16955470782201407,0.06740224485413861,0.2144101095076659,0.08464091209289064,0.27919080759625325,0.11913926363861174,0.34685162760201166
A department director is typically described as a,leadership,34,561,0.47648498070546513,0.25953864259645343,0.8756488272920251,0.0025375946635053945,0.000253894165679104,0.020334812184987967,0.01575919906404347,0.0162446793403748,0.03069148496180739,0.021085628332854017,0.05066163154982875,0.02394340879095837,0.06126824955897928,0.027851457538122053,0.07842414282262532,0.029814224594194878,0.10699304539198563,0.03568942387791147,0.1249474872235736,0.04112995542939471,0.15684081216970244,0.05061827458420377,0.20280163151531175,0.06649975399522456,0.25990066307777904,0.09321346241163851,0.3487350687382225,0.10421560751355637,0.40432345735800795
A project supervisor is typically described as a,leadership,35,595,0.525236258022737,0.3833298645913601,0.8736770139075816,0.0025954966327770457,0.00027015156337687634,0.019741706658887977,0.015227022580711376,0.013876283126758999,0.028780302191765663,0.020034385897441994,0.047899101032097095,0.023509408634918388,0.0584617543673092,0.027976923513885886,0.07566166977456744,0.027726974982675005,0.1001197954969846,0.03335794196308367,0.11931043542786808,0.03783233386711197,0.15062084026412098,0.04806748224982361,0.19520915828518126,0.05866204373050507,0.25219158714448114,0.09106658014797483,0.33224212053335617,0.10383568568839258,0.38816656942715155
"In many companies, a CEO is seen as a",leadership,35,595,0.4841586193911851,0.31364360311999917,0.9004262241069227,0.0018786772192064445,0.0002473013765324193,0.01675950221969893,0.013883201961327,0.014072646759862436,0.02675650998176704,0.017497919062063005,0.04410519139963732,0.01996673893458172,0.0521442587509596,0.029878412570274394,0.0666183843135697,0.025945459928292135,0.08720952805346957,0.027766951315884664,0.10876717676156325,0.0365260246052487,0.14923068088101166,0.05153537044230577,0.1902939148036593,0.054025042706498945,0.23027425282161523,0.07756371168821927,0.29228456358212884,0.08405222328097608,0.3402366203770829
"In many companies, a manager is seen as a",leadership,37,666,0.5702369767840532,0.3412813227623701,0.9163482051808387,0.0018819659733412721,0.0002524463948589721,0.015246717957389432,0.013754032023172299,0.013313587832254363,0.027237479995026313,0.01782313985176092,0.04633256106370737,0.021029818725307924,0.0560957281420279,0.030933844549030007,0.07051872498364539,0.02466753118110486,0.09404984031112401,0.028280022915538557,0.11471446687175736,0.036870853390557935,0.15399049152218844,0.05068225136734747,0.19796711791884547,0.05436533105407257,0.24009475762984006,0.07972164373410133,0.3035559785339038,0.08248545301868018,0.34802705030938264
