layer,l3_mean,l3_std,per_token_mean,per_token_std,cka,anisotropy_base,anisotropy_ft
0,0.0006803377152305413,3.8398727367565986e-05,6.267020876838834e-05,4.088209081100681e-06,0.9999807786416376,0.06451289242075034,0.06445461772064064
1,0.03327589748816101,0.0052821920872204685,0.01992910731114331,0.0012412798115040667,0.9943470551287831,0.38141543982396353,0.3483653970651724
2,0.04214894977493533,0.006539207412733294,0.042090917694672145,0.003740523098571216,0.9830937605539758,0.5197471997291861,0.47983910023937926
3,0.03806856653935713,0.004282166418539712,0.07085488097205288,0.006701903470053519,0.9629599277029628,0.531036008728525,0.5155802360381923
4,0.03639320335360162,0.0037221776596886623,0.110912798159887,0.008165075714848003,0.9514643177637018,0.5739970952117772,0.58527530303164
5,0.04556828140403899,0.009299752677904735,0.11438307033383929,0.007586666434277318,0.9447444935726137,0.6202067154034085,0.6549780705189534
6,0.06086135612021816,0.007176187621151092,0.15006801509447265,0.012909701670514001,0.8793467120425564,0.655139841532524,0.6943791236242384
7,0.06873056178112893,0.018196895461480272,0.18686030213915256,0.011345373230470997,0.8486985102478055,0.6883198810445548,0.6930454259437135
8,0.06678675145336431,0.009992959794543161,0.17851165570543814,0.017808148952509883,0.8715469008539571,0.7841059178275666,0.7450521048250232
9,0.06163262445219366,0.012417730718946538,0.2245502673537369,0.013943140599913606,0.8790194227904546,0.6796101192982276,0.6922842608459445
10,0.07494780118305996,0.008854206276722704,0.34236870008682774,0.02985631260066712,0.8437657275646424,0.6908935261546006,0.6951067637884351
11,0.1172491447655402,0.011597373189583142,0.4427655218024097,0.03922938857827352,0.7552438383665582,0.684670452220851,0.6541815104361618
12,0.004121390381469979,0.0006233835981608331,0.01100908084650153,0.0006547241283559842,0.7443618985803083,0.9881247087943675,0.9895933495879687
