context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,36,630,0.5004105765005579,0.15024831844493747,0.9224278596229851,0.0006578273738350764,5.882169284652917e-05,0.03852290141736751,0.02092332790605098,0.03826217680414307,0.042265712547999094,0.037611746008150954,0.07333371357255827,0.03775008681436491,0.11394132261538788,0.05219816305867866,0.11718016459266341,0.07488257988223496,0.15485013510662904,0.07247963985391309,0.19092590084443944,0.06372491477714151,0.18830678924754876,0.0848075260119733,0.23967170261876605,0.09142187207338275,0.37627482647364974,0.12567102477984896,0.4856321216139477,0.005184241924666971,0.011261464761925926
A manager is typically described as a,leadership,36,630,0.5278030243294708,0.26714048837311566,0.8953533452004194,0.0006956333948877622,5.693871437319969e-05,0.03980487789817447,0.021653453154515397,0.03750620941841371,0.04155605506510441,0.036292362503668615,0.0705556236177883,0.035980279225084365,0.10518828300106947,0.04175367227178443,0.1118558620892914,0.05605302518781941,0.14087636678912493,0.05400397513480501,0.17376117341450778,0.04666266976439915,0.15560631709875652,0.050263474762588405,0.21382172670818173,0.07115654011167652,0.3705972719559156,0.11012911636113058,0.49910782303227624,0.0032942105302779232,0.010859962219870407
A leader is typically described as a,leadership,37,666,0.46288287318952004,0.16510305227711797,0.9159934436902404,0.0006676743259821443,5.719025507352512e-05,0.03957540365483354,0.020988654326281345,0.04086055036710176,0.041094826868072434,0.038376029380410855,0.07240931292789239,0.03897766604193213,0.10823976351594314,0.051739284186432824,0.1140619135809374,0.0664697307340654,0.14479158209001577,0.06411888894216108,0.17371767012337885,0.05888205659950499,0.16946759155823016,0.06451147234237929,0.2202984731154896,0.07789823745033463,0.36592177925317076,0.10670310269136322,0.49599558018658885,0.004002825539924515,0.010223515792543433
A successful entrepreneur is typically a,leadership,37,666,0.5167177867472155,0.3086472423747182,0.9278341792523861,0.0006994555959981912,6.612383385336224e-05,0.04382115000055255,0.020672312846684554,0.0499278346750129,0.04328791637137479,0.04063324322829249,0.0770996883094401,0.03840139522122704,0.12056427536331357,0.05742120947314961,0.12406706905921205,0.066523232379875,0.1578570720544117,0.08043757101701257,0.19780309797470289,0.07508790284019433,0.19997649189982963,0.0797455026334928,0.2565959464915696,0.07860307830605312,0.38368191917363825,0.1199604598122676,0.49720814496352855,0.005039296505152549,0.012499758621215959
A strong executive is typically a,leadership,36,630,0.5117081060298982,0.30178079660981894,0.9499478600919247,0.0006580612768998,6.489409762952227e-05,0.037149982347980746,0.021613943574538816,0.026245984536709576,0.0413984136485532,0.0364859275747389,0.07910351846152894,0.051011653586268906,0.13088937984303692,0.08169346562262052,0.1385515263399841,0.08146434205065219,0.16619657563025647,0.0808465353942373,0.20018875258018295,0.0760156955515686,0.2129878010351781,0.09185361852030396,0.2709621620016444,0.08651104171791764,0.396930581924316,0.12035192476680216,0.5138031895220769,0.00470415731270181,0.011012521439332758
A company president is typically a,leadership,39,741,0.5908876246071152,0.2620901479385793,0.9628199823200703,0.0005647500329220404,5.735898502589015e-05,0.03228483464313073,0.01943367571774274,0.04046611328991461,0.041168137918114474,0.03581766805304733,0.0729289842924034,0.04563219150544611,0.12690068249862138,0.06486090253294367,0.13090372804908762,0.067784425954925,0.15876390080084812,0.06746058573762344,0.1952666538963797,0.0760649348392136,0.2347318692221388,0.0812032222377411,0.255729552213064,0.09561333479607129,0.3588987495827817,0.1192281163941273,0.46850060151470574,0.00607052152262035,0.011636493479707112
A department director is typically described as a,leadership,36,630,0.566327678700945,0.20274509908631444,0.9007674716413021,0.0006766013859686978,5.8392581252567385e-05,0.03144677634566513,0.01762041731824335,0.03605679744677234,0.037623845538501684,0.03614228746749246,0.06510501516058981,0.03666178670267511,0.10000373485507932,0.047694269661532576,0.10746811040613317,0.05634386875201804,0.13702040543442276,0.057151138360111015,0.16896271745698233,0.05081193261536918,0.15621777100483947,0.061758450905542675,0.20776348213145843,0.07033770841790257,0.3393229370156106,0.10892155514351348,0.44895241795277296,0.0042846138320280615,0.011156193102841883
A project supervisor is typically described as a,leadership,37,666,0.5107150682151744,0.25929932994768023,0.9112038044258952,0.0006552665993065564,5.668784703035097e-05,0.03705245022035475,0.017916359200275893,0.036177452035848955,0.035971233864172385,0.033761073250793715,0.06283438654418978,0.03512198707058666,0.09500400709956892,0.04114940838344356,0.10234687453677208,0.04969160781395061,0.13324516164980016,0.04670769475925955,0.17136298072813516,0.04502111183361751,0.15054180358814132,0.04553131135215236,0.2047447179092543,0.06453260809629739,0.35222133625521895,0.09430519990682053,0.4630636758061001,0.003101594843606968,0.010420138329544915
"In many companies, a CEO is seen as a",leadership,36,630,0.4897923430207798,0.18256440479308367,0.9326179847121239,0.0006937110838845125,6.408385655580957e-05,0.02582709041828291,0.018217710495519398,0.04046058382066323,0.038827988659349805,0.03873492070713873,0.061208725376713194,0.03539147338236424,0.10582864735377591,0.037526332399647,0.10607774446085266,0.04812448445090988,0.1560314493950104,0.07965052720239374,0.20478744879370345,0.08270109505577075,0.19379466121578315,0.05422109528266474,0.22647475141403392,0.06659646462001129,0.3106190607997626,0.127761396073681,0.4165358081332829,0.005336512905074814,0.012791502174195933
"In many companies, a manager is seen as a",leadership,37,666,0.537468213682828,0.21289603970944881,0.931679449044168,0.0006946580814064979,6.376643361261092e-05,0.024366552100119832,0.018243929957211195,0.04631447818847684,0.03965549674982858,0.039563672958727585,0.06126229576265884,0.03306939279170853,0.10302226286044262,0.0329766035354596,0.10378951127856002,0.06129561233620731,0.15505334181316768,0.0952672321947568,0.19636949337283713,0.08143149055097529,0.18676694104130614,0.05383050322929526,0.22182352985917603,0.06117222706945404,0.30266333488087876,0.10505998327940434,0.3998958727397725,0.0039439039893487595,0.011453964294953834
