layer,l3_mean,l3_std,per_token_mean,per_token_std,cka,anisotropy_base,anisotropy_ft
0,0.0009072377670890166,9.917181869342091e-05,9.212342309500381e-05,7.369078884955881e-06,0.9999691292855905,0.0627241057191125,0.06243075792159429
1,0.06188515437191107,0.008109414022255445,0.05007230678738671,0.006127697007447142,0.9875389652087654,0.30024075750021145,0.2387863368092778
2,0.034391920766504394,0.004387429138332038,0.08814185161100609,0.007328318035698425,0.964358780306362,0.44088983766777917,0.42155281555230556
3,0.05390267995012401,0.008829814811711568,0.10831797963156753,0.01292992669925412,0.9556651553990826,0.5471605341761411,0.4990452614085668
4,0.041310547911130265,0.004571416321133157,0.1306554291837137,0.014380837811921903,0.9254303775511326,0.5554505044193908,0.5572121810595261
5,0.054846243941561026,0.00851514914538189,0.14456026640623312,0.01740446987917809,0.9094298948027765,0.5734170956710438,0.5367111402877762
6,0.04555519630116521,0.0057551850402922464,0.1588445263891812,0.014550741191736287,0.8935493612780013,0.5390980510173058,0.5308746536229844
7,0.05212009990005566,0.006608263902956535,0.1826552628293548,0.01588486479554764,0.8788798747243916,0.5143550777384255,0.4992993199637855
8,0.05078181562365176,0.006288784291115535,0.1979453614932957,0.016216535972188625,0.8766733636321592,0.5272311639997295,0.5280293596342464
9,0.06173323177720794,0.009499220699677026,0.20845353340689923,0.0130473759230247,0.8574216520763795,0.5204719879345159,0.5022932736136437
10,0.0715722671313661,0.011247801793704307,0.2198952094245077,0.012796566246700383,0.8582740079560403,0.5335781607866527,0.4921107538324441
11,0.0772260106217254,0.011534354098290286,0.22669990113941668,0.010927283903636516,0.8433148414216609,0.5432308629471104,0.49667309354074973
12,0.0841466246322291,0.009647192701908835,0.23089288174414507,0.010126738378420343,0.8469799741281242,0.5760054422854053,0.5173865787202017
13,0.07592782791421587,0.00692534045327115,0.2455094386932631,0.009949687050044021,0.8370277790216942,0.5702134057566404,0.5345152988266562
14,0.09036841509948638,0.008719749250999935,0.2551523087010364,0.009409944324795756,0.8276080468587841,0.6063916747295035,0.5445698469988125
15,0.08403406734642085,0.007377969241816187,0.2638771230276074,0.01234500526271426,0.8391075686203613,0.5818872022003484,0.5387908295048827
16,0.08465999107983743,0.007237314849881866,0.2794159683755336,0.012925814834696526,0.8370633822482485,0.5954015458747356,0.5570428444827744
17,0.0923215789417918,0.009198502693198475,0.25472505122550626,0.009465995047860049,0.8210103158390863,0.6547020485983012,0.6007643709965295
18,0.1023803085555822,0.009792324207569881,0.24780838673637184,0.009929644825340818,0.8007367205664783,0.7390074545185848,0.660424618475725
19,0.09266547103560048,0.009622229305587413,0.23828326040417655,0.009738595448421612,0.7704786202354976,0.748898364458481,0.6874807960102222
20,0.09517457185201585,0.008292181633914531,0.2282177324534202,0.0162547865931065,0.6654463449785111,0.755683356641293,0.7242187190248146
21,0.09262067538194375,0.008181370829482736,0.24051465351122908,0.015927168548763814,0.6579073547648838,0.769101519486983,0.747242518781509
22,0.07839993227492173,0.008284106503747297,0.2184166924416428,0.010923500094585748,0.7332149042729622,0.7628951165254384,0.7815556931515419
23,0.09583514299472314,0.0123613140110065,0.27890723251853117,0.01919899671771341,0.774445386639255,0.6984051414314402,0.7612685992658739
24,0.19908099722468656,0.027045975534066666,0.2984278611987906,0.018042246823288494,0.8273364562153834,0.5990113869232714,0.7966011615075056
