context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24
A CEO is typically described as a,leadership,35,595,0.42669844110650257,0.3934315303340554,0.943278775550425,0.0009179969558174022,9.492688889826605e-05,0.05237085186052472,0.05113921261195402,0.031417223224437095,0.08597812613654576,0.05535035554015519,0.10947395187106279,0.041049462640405036,0.13233803304435998,0.0588936541131058,0.15267202498044438,0.04452227038028739,0.15934868293866875,0.05013535308983434,0.18513544920162275,0.047924324624151214,0.19751577985980096,0.05527986463523069,0.20365435056124184,0.06424481715379128,0.21515469829132364,0.07031296590583923,0.22226616058127044,0.076180159564588,0.22390513543198695,0.07166115830411365,0.23781643535685246,0.08101215515918955,0.2467655674569231,0.07459561252835917,0.2522417575386889,0.07754082623219445,0.26267706186885614,0.08736287941708035,0.24542791777786022,0.09266548729342583,0.2349404074269305,0.08265364830215964,0.2268151150276769,0.08434651470619806,0.21583457426862068,0.08282998724818796,0.23016444061573935,0.07986258842111531,0.2155389921861029,0.10210892424981007,0.27933643976896894,0.20831227091311474,0.2818768899499252
A manager is typically described as a,leadership,36,630,0.5495174350287297,0.48615114693529904,0.9701498844660819,0.0009914125913429547,9.576878572953923e-05,0.054574312971878536,0.05233985927469104,0.03582000263213593,0.09261855753293242,0.05785238576087235,0.111383008070783,0.042544010143383076,0.1341536244802144,0.06578844682843261,0.15597057519725996,0.04689987983623277,0.16888006852462262,0.053923331829898516,0.19570936985732934,0.049757975428429184,0.2093061466381429,0.06192063670852868,0.21917900990039518,0.07427195717733964,0.22862269084533515,0.07882494482725323,0.23774907013842586,0.08277436190327193,0.24424030251867204,0.07628195075141676,0.26266634346828255,0.08884757263764925,0.2733565404521795,0.0855282976081326,0.2819924360061742,0.08987834387518868,0.29693302923969345,0.09716162776135016,0.2703403200277432,0.09972152054199168,0.2566974502018221,0.09153102793017105,0.24201656777518174,0.08341780777114939,0.2255368699364733,0.08236234955245335,0.23661007219564287,0.07327608198863785,0.2213285724484474,0.08974302188731997,0.28480895632335795,0.1788693063583438,0.2844506401910578
A leader is typically described as a,leadership,36,630,0.45657189494291617,0.4067388833500445,0.9541317303664982,0.0008767735728315742,8.8999079641784e-05,0.06191167583991209,0.04972704933516855,0.03511820864454812,0.09178542370359746,0.05318192997332003,0.11200540381298595,0.0459692363461006,0.13405981807185594,0.05707099301784928,0.1512696135092546,0.050249100603322064,0.16441461810450975,0.0563446374222404,0.18913302656589762,0.056684147329494824,0.20128995244195708,0.06646288933103875,0.21192194193872094,0.07882004006722788,0.21917420710552737,0.082599546396743,0.22899145336133214,0.08829255951388833,0.23328073186204726,0.0789041536498914,0.2482029769723041,0.09402596841193271,0.2566927362199578,0.08654085949456453,0.2688594707391523,0.09047451180114485,0.2818540712013782,0.09956777987698019,0.2568490574069047,0.10660638315088451,0.24914167838864076,0.09839186590918636,0.23654588241139063,0.09171661594409389,0.22451385289485984,0.0888545046391403,0.24081599813166074,0.07481580324608918,0.22066102947027655,0.08410587449783634,0.288079375841422,0.16865888609218346,0.2802178266752007
A successful entrepreneur is typically a,leadership,36,630,0.4238681907035474,0.42847663862630725,0.9726765715749934,0.001013132098642671,9.947183791842205e-05,0.07445352620344245,0.05036903250073503,0.03152515947763366,0.07898135850247082,0.05907889179183101,0.1025307295659895,0.03844327899893375,0.11690527594773137,0.049486047648090045,0.1362361221611927,0.04246433485725806,0.14752429435707323,0.04664932195564809,0.1699490366031604,0.04626184738203781,0.17856414600690054,0.05407853940072952,0.19039817444002524,0.062207172252134055,0.20548852199756204,0.06953354140767044,0.21136999842627294,0.07851635763570326,0.2187985645678105,0.06983999095768569,0.23510979304736906,0.08816368406650764,0.2428425050321887,0.08092060402897344,0.24141996604810145,0.08323086758354012,0.25697978037545754,0.09824393844239945,0.2412128528902518,0.11404053326196238,0.22748019711195935,0.10271017750119589,0.22204214567910516,0.0905596727433351,0.2073755874196404,0.0878240281390201,0.22002487965431972,0.08028001574243669,0.2164805086066882,0.09469145965026984,0.2674276100208936,0.22452138985639875,0.30465458230692694
A strong executive is typically a,leadership,34,561,0.3939254591482463,0.4429864501580596,0.9469568964559585,0.0010103188931730577,9.578713132872317e-05,0.07149218541172246,0.053557078744861514,0.03854820387976496,0.08761065275830163,0.0692988418752781,0.11277650537350131,0.0430357503393917,0.1348706653352019,0.06006544280339708,0.1558779312799079,0.04851836238341732,0.16452978737425603,0.05441031276647786,0.18911344518529424,0.051821433789103574,0.194150154049588,0.06178157409958315,0.20604826913350557,0.06726939449304577,0.22004710874855074,0.07445764710430819,0.22788587723648512,0.08657106557567015,0.23105504087640144,0.07821964603838052,0.24804181526412947,0.09370147673897312,0.254195166365856,0.08763922600028062,0.2585621962202805,0.08847383628314388,0.269277992517039,0.10553688987801853,0.2518507716070595,0.1111438424888469,0.2393430427574396,0.10251341635758057,0.23290875512757395,0.102210401081345,0.216432305907794,0.0982127270172668,0.22827510145065297,0.08046088061776946,0.2173313619708177,0.08944932742053578,0.2812975773437813,0.19892473085444654,0.28712569600297916
A company president is typically a,leadership,35,595,0.33512980044044777,0.2936409809626639,0.9835211828467436,0.0010242934269008514,0.00010056260372635074,0.06734500016423456,0.05466552547491513,0.03910637267449398,0.0876298128213957,0.06705485941228351,0.11418261112873473,0.036692016610920024,0.1345313379599258,0.05656371627014932,0.1523011052005053,0.04097507282145987,0.15688263693231735,0.046259539161474635,0.18128302505505298,0.04575206703802071,0.1868426048692754,0.05200819517981727,0.1974445867349667,0.05768811908480774,0.20858225557275806,0.06711484929901244,0.2185532255163006,0.07608584111036158,0.22429346070004674,0.06793249365330703,0.24256852621273559,0.08351003906409887,0.25375229039023367,0.07944794062237763,0.2559687419680785,0.08170934991023805,0.267774728965791,0.08870644216466045,0.24696298457660046,0.09904714398874602,0.23394482770744024,0.09640006220197264,0.22714433635714087,0.09558057138941477,0.20610272610780003,0.09200289911633246,0.21590097406131456,0.07921196434630089,0.19978250001134648,0.09804606055311366,0.25672005574586393,0.22812446599538597,0.2793522892052933
A department director is typically described as a,leadership,33,528,0.4507248091320851,0.24862466589547694,0.9652484499383718,0.000968924331932822,9.749158633730704e-05,0.061536485521417696,0.05027161013816542,0.03543972755992149,0.08496028668874225,0.04970371903984784,0.10315948980055342,0.0432506893226814,0.12016038622358743,0.057408298550636366,0.13704518846721886,0.047291609259054256,0.14877252885192757,0.053657193806492524,0.17602661565405198,0.053162421395313915,0.18970672655974744,0.06325357560416402,0.19949692756266688,0.07482629977524276,0.21007033896187136,0.08011515494052675,0.2233277016460588,0.08229771507495867,0.23255872394253374,0.0812484356182478,0.24962564425742256,0.09111758855200439,0.2616020250292819,0.09175027320206584,0.2730937422273321,0.09462420042425723,0.2851212440343081,0.10254151945246179,0.2603074568850104,0.10610183901487567,0.2510686906485663,0.09772274692002504,0.23813435292889115,0.09559720925409804,0.2262365133867614,0.09427496340280532,0.24214417504911712,0.08352101839520117,0.22603037166519985,0.10164807997840586,0.2910279784212109,0.20806289643951045,0.295602436006849
A project supervisor is typically described as a,leadership,36,630,0.5678915844893064,0.34869724651798606,0.9469308427069336,0.0007836563924160414,8.59370136376763e-05,0.04900786716463726,0.045953572651936746,0.03198643746666596,0.0775183463798293,0.046546511547731734,0.09301646356915744,0.034126443799142224,0.11119215998932416,0.05607855940567168,0.13006840742166786,0.03964347270364959,0.1411750481538227,0.044935388826337304,0.16683944392547342,0.04353870017829893,0.18362726523582493,0.05218406681537334,0.19246815718738436,0.06136443789985385,0.2030600067923366,0.07133092315289201,0.21739064695712806,0.0689445019294308,0.21941517141763017,0.06687217292657807,0.2336108544923029,0.07654568668704978,0.2447023345001535,0.07094669542292846,0.25451777723349944,0.0718751980635363,0.2659887445422007,0.07978243249629767,0.24247077116737106,0.08560961754137461,0.23511821981051353,0.07903367384138014,0.22797593333340924,0.07770530009443727,0.2211842068358268,0.07510709778197255,0.23684344431287516,0.07284750644920018,0.22206107622263688,0.10065533543357187,0.28884493648613196,0.2094001475222397,0.31517631450205963
"In many companies, a CEO is seen as a",leadership,35,595,0.5065751888762385,0.37535918969661,0.9784849096322432,0.0009785194693877044,9.50258255284085e-05,0.05259218991568593,0.04787362388624332,0.029923028638419686,0.08004123142353828,0.04176900828247996,0.09272039637523541,0.039263330728629635,0.11442894601309546,0.04783543235163337,0.12083712762327344,0.04207419058191916,0.13810836650289568,0.04792891642236058,0.15972321926077535,0.04757644831247307,0.17409562797654002,0.058658199180879333,0.1904076786097421,0.06358450348134735,0.20326640746762972,0.08024086905527844,0.21408265912963675,0.09272018440490952,0.21945736017525033,0.08110201860830514,0.23496939405115036,0.09430155731821926,0.2470954353850431,0.09029759127835643,0.2554138507773236,0.09571168569943622,0.27083490558658574,0.10812845325060932,0.24807934882144142,0.1162101004730106,0.2452474540739191,0.10537178107204771,0.2357392279055628,0.1044078244803802,0.22241728079802248,0.09603271800761899,0.23588799218007586,0.07672617320514559,0.21451536592695009,0.09282995478271829,0.2684766010459614,0.21849169336972107,0.32114596900149944
"In many companies, a manager is seen as a",leadership,34,561,0.5329770397957316,0.38688073959201574,0.9575648938771337,0.0009378109234111148,9.276483131159807e-05,0.05345172607799213,0.04917098862248374,0.033455189095779124,0.08739192011988976,0.04208842008283605,0.0995440447691175,0.04054039422626431,0.12116863367563661,0.05127760342560204,0.12690553971742258,0.04391935148627484,0.14449244194013436,0.050093083687207114,0.16584464120537853,0.04531032584461936,0.17890207567426564,0.0558779848593136,0.19625702655941604,0.059840264028302934,0.206664568662932,0.07256494121027941,0.21768704466545752,0.08269606474417654,0.22053050135009789,0.07254463664934169,0.23860672700880675,0.08754391541062598,0.25276289054411355,0.08268788258558625,0.25531506024081085,0.08475870559995552,0.2712757914484466,0.09949765845728217,0.24903470273357478,0.10734301585786439,0.2470571020968021,0.09489954766645246,0.23925642254573418,0.09983425338854138,0.23031685292673418,0.09418049334064049,0.2423360189844143,0.07813800695644728,0.22028198387267497,0.09987351034083715,0.27706303198763205,0.20529702360077712,0.31891071824200445
