context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6
A CEO is typically described as a,leadership,39,741,0.6686021529931903,0.10703345038928092,0.9569280808791518,0.0006378729622698404,4.3950231672228986e-05,0.02602513299604551,0.0096108779409583,0.0395051253607592,0.03143667836373506,0.035301878785190616,0.053608317325841044,0.050301537255461375,0.1559122583185629,0.06400347480809364,0.20291879380216116,0.004135798479515434,0.007305417475861357
A manager is typically described as a,leadership,39,741,0.6681310741037669,0.08843731484375894,0.9711505137383938,0.0006591618806955154,4.431585328941908e-05,0.03795355684082025,0.009754493751825822,0.04475429119361896,0.029854087499914365,0.040448030590863555,0.0532218034743274,0.05629880681562211,0.15472545237161836,0.06802829788047826,0.1981952666022381,0.004008443448488639,0.0071824975254345105
A leader is typically described as a,leadership,39,741,0.6259316965445133,0.12347202515229583,0.973496725782752,0.0006705263056541156,4.4315853289416235e-05,0.03686255886846522,0.009750619940783705,0.045726287426324265,0.031176789192050077,0.03693237781599523,0.05594342889873472,0.06117204572316189,0.1687920865327626,0.07127912054922096,0.21049282080196663,0.004320029696581739,0.007203051503751363
A successful entrepreneur is typically a,leadership,39,741,0.6816354660057499,0.1765620275400579,0.9480545232072473,0.0006787653688943253,5.5345856134926576e-05,0.032311440979576056,0.011374307457657547,0.050850170963641375,0.03566317586882026,0.043567475939633116,0.0700925137265748,0.06019595232254437,0.22603704891532836,0.08252626066919504,0.24607955668905027,0.005704675304843038,0.008029482520457472
A strong executive is typically a,leadership,36,630,0.4987639454729048,0.1702439314685762,0.9332154337316751,0.0006990416207726798,5.684869148415212e-05,0.030005264547673233,0.011286347064237099,0.052526006490590284,0.03643374121078716,0.029294723718165626,0.07075369183955309,0.05814592046838369,0.21112820829473472,0.08337992811117573,0.2481758173652742,0.005210257346981424,0.007168718153898869
A company president is typically a,leadership,39,741,0.6801492908108386,0.2296404717490077,0.9685415350832045,0.0007010442623148765,5.5107236653515983e-05,0.02378624842282452,0.010695832386704246,0.043300999998480506,0.03484325282408866,0.037600866831548334,0.06814959289299517,0.06274082851308439,0.21648266522452772,0.07349317104207335,0.21199864717466715,0.005903049259790713,0.007657713706359439
A department director is typically described as a,leadership,40,780,0.6931471805599454,0.09491750015877187,0.9742776593193412,0.0006376844722580612,4.5761651234740855e-05,0.0323814303128229,0.009080841334053008,0.04347215625973981,0.028893334747090337,0.033912301281047136,0.05470352875717945,0.061798647799088245,0.16493282850119667,0.06711857745157578,0.19712145404496684,0.005020279993995959,0.008163842940946641
A project supervisor is typically described as a,leadership,39,741,0.5865742090678522,0.11120659904554486,0.9773954497650266,0.0006626830901421557,4.8047542142959936e-05,0.036336325029766275,0.010237900401729344,0.04392738693880422,0.028309792204326802,0.04078111554912349,0.04941878095965324,0.06759345724906686,0.14705460308260307,0.07339981772790923,0.18072894017297594,0.005504552866909422,0.008007009387275507
"In many companies, a CEO is seen as a",leadership,37,666,0.5897660309525361,0.25153787015005946,0.8994536120444536,0.0007068531144319932,5.5819872465375216e-05,0.03390438792644461,0.010410427610471647,0.04269273983830579,0.030221809673351432,0.045509860903069764,0.04605426226959839,0.06466154863335456,0.14094756971544953,0.07623657248325771,0.1957845523140848,0.004259231576082938,0.006988332254186467
"In many companies, a manager is seen as a",leadership,35,595,0.5581257138778064,0.24144716979935765,0.934993346221745,0.0007894732707235439,5.7526509668957636e-05,0.03751872680957482,0.011697940238026724,0.045270486975365426,0.03174749170041576,0.04697117287026785,0.0465118413768593,0.061052053083917986,0.13720802686046937,0.07847289042753898,0.20019695235029164,0.0039472336904792585,0.006434219677293975
"In many companies, a leader is seen as a",leadership,36,630,0.48125702805591314,0.2602492324076593,0.9367666384205222,0.000764044040763127,5.41601611520923e-05,0.03392191669075537,0.009701312821165162,0.04287149133925423,0.0289553067391808,0.04220784217116131,0.04411851024705396,0.06155058427492245,0.13422737400537751,0.07912861792726775,0.19705043740134595,0.0032989111107413305,0.006206873215819176
