context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24,l3_layer_25,pertok_layer_25,l3_layer_26,pertok_layer_26,l3_layer_27,pertok_layer_27,l3_layer_28,pertok_layer_28,l3_layer_29,pertok_layer_29,l3_layer_30,pertok_layer_30
A CEO is typically described as a,leadership,32,496,0.3909439560136968,0.5057291113771498,0.6507406970486045,0.0011331755993802463,8.011158716738145e-05,0.004845085553732618,0.0003966170748364861,0.003083861939022562,0.00045113153848558643,0.004471395336096191,0.0007960835404329479,0.0035738557559931053,0.001600444419568945,0.0037590780545088526,0.00216639526982328,0.004829893681221238,0.0031486492852748245,0.005161082481650118,0.0037836210607613205,0.00562710476226745,0.004535431082097186,0.0063000703838569285,0.005326240956678042,0.006894971401747034,0.005575290852939629,0.0076303621300969834,0.006076951117178903,0.008868384115684634,0.006938339686655758,0.012617552484873623,0.008925481064581305,0.016989848153476744,0.011109382689838673,0.009796265746696209,0.012261477051728777,0.011774837682278001,0.014659898513729376,0.009423324796152896,0.017562534435986862,0.009772626701167929,0.02027456886996106,0.014033965690008013,0.023590847016441062,0.01726889924701967,0.032997542254992185,0.015913033067909744,0.034714275873911696,0.01724293587078856,0.040138896538131366,0.02336138911762131,0.048752924087420824,0.02617551357825793,0.049222573716197676,0.02154034781404378,0.041431714450720455,0.023688000320869484,0.03950427929001048,0.025791529350470455,0.045707767537903586,0.03384876060751537,0.05313422971531076,0.03132335158507114,0.05428723733936393,0.18042382455658465,0.2015355260316151
A manager is typically described as a,leadership,34,561,0.4777907502098928,0.5319173883181065,0.6885741944424808,0.0011193032138923922,6.794757542217027e-05,0.00538730455318496,0.00034242105959311276,0.003416748601482072,0.00041683085584180143,0.004696274419078322,0.0007564942035514009,0.004135029703775662,0.0014430554558724643,0.003984133984820639,0.002035947935290089,0.004663757589385945,0.0028920805799326865,0.00522767470615782,0.003667998925784778,0.005085630618940572,0.004439861004762602,0.00560289418328975,0.004908671698784898,0.006544356241283551,0.0051666372476572705,0.0075012432616944355,0.005768684856362573,0.007678852539378651,0.0067774585651235696,0.010817343905569482,0.008923707084349766,0.01638408447954395,0.01184495733827206,0.012061675609269679,0.013183588642522356,0.010563011313331138,0.0167442960581107,0.011244025231720557,0.020501311960247282,0.011285235868892173,0.023051052128525262,0.016081113231664397,0.02721259378585668,0.01773816841164571,0.03993012528068505,0.01516268318743682,0.04271218820449005,0.016343688682129976,0.04885964399953456,0.023157419118782434,0.05731319179856899,0.02918387813640315,0.056275668566363325,0.02962206541023115,0.0489210372239938,0.03226932853881087,0.046437231092109746,0.035267825217892824,0.053008232431022,0.04213215143157258,0.05987574888983508,0.04007330292889129,0.05944313673608412,0.19797409654240428,0.2060085125956658
A leader is typically described as a,leadership,31,465,0.43692818777833003,0.5498339754994959,0.7367154858075082,0.0010473377242895337,5.7852687885839505e-05,0.004680577003704119,0.00034921913843172404,0.002905709924792111,0.00041873041778216886,0.004260215002445598,0.000758528745622118,0.00393784846334117,0.001517703835480222,0.004242861287779351,0.002205779833589752,0.005079360192198611,0.0032863056450602294,0.005233835259026461,0.004017641134551812,0.005849223891086303,0.00485504649913368,0.006090592566621024,0.005446278789307974,0.007048304061257502,0.005597361885508215,0.007921827936713715,0.006117859510803147,0.009357247263350845,0.007229764397747015,0.014154005396215657,0.00967529395286708,0.020192069298483172,0.012624260444758237,0.012361998883498147,0.01419619867297428,0.012283478969812547,0.017478280699080095,0.01170048460763937,0.021522912127869807,0.011732139056392116,0.024428303719119394,0.016127649140029114,0.028699034112216075,0.017588655322004626,0.04214590613975348,0.01659226105984424,0.045950193540845855,0.017735650876690375,0.05191002379495815,0.027137630121223017,0.06048010960938118,0.03303816599738348,0.06121782505206707,0.031148360783380718,0.052484222305141416,0.03490615305876109,0.0487966665239318,0.036777702015270274,0.0558306264052896,0.043242600017515585,0.0621742563649225,0.04014919901923861,0.06102516468554513,0.17922676856881167,0.1941538052496233
A successful entrepreneur is typically a,leadership,33,528,0.547274087756748,0.5372816524468362,0.8052997500635684,0.000987384873058045,4.7742284199980496e-05,0.005419606670353015,0.0003572407349985126,0.004639841292722723,0.00045956347022715134,0.0054539955160872195,0.0008556433711250384,0.0036328412395873083,0.001609095170475509,0.004364728076782126,0.0022187464923501625,0.007337855249819192,0.0032735319795365574,0.007043772329509238,0.004105100504330217,0.005821351663793693,0.004761577817463723,0.006018046615749429,0.005361126161841203,0.006590191046763779,0.005650902137822025,0.006789018434548266,0.006475318501522854,0.0076397968829074675,0.007672145657670815,0.009616120296019269,0.009686787843298393,0.016168304895067463,0.012594383407388861,0.010795494558512976,0.013436006436366877,0.009231310209127132,0.014862011023125926,0.011406787180515885,0.019062053732192337,0.010418815619238506,0.02184274424307368,0.016556893720539007,0.02608269829824126,0.017476832151645135,0.038352682985731364,0.013317695957142084,0.040027244898779846,0.013526711768353543,0.04544800819797867,0.02518101579826633,0.05982504947434176,0.030872923800999902,0.06169010390740338,0.026409709670903326,0.049893008648167946,0.030008414077614703,0.049093928363179905,0.030358969805600215,0.05388143198420628,0.04043334909475417,0.06075477811274809,0.039157561758845334,0.060503370181739055,0.21383443305976554,0.23397697720703942
A strong executive is typically a,leadership,34,561,0.5981122883958462,0.3818027190864086,0.976805763260927,0.001097445540073303,6.610365702019025e-05,0.005690883679298118,0.0003756276968740675,0.004437961413129081,0.00045522488968373435,0.006388439773961173,0.0008773809230862148,0.005692493956046298,0.0015950157093777954,0.004680577389612974,0.0022170897094912294,0.0067307675670240435,0.0035285880508131077,0.006740518045093468,0.004435152369384253,0.006507779763097307,0.0054265302288699245,0.006742159807296824,0.006608438185241892,0.007075017651166458,0.007004173438994295,0.0076632553268298625,0.0077572585619340014,0.008442607489705097,0.009230377322558169,0.010745307041539812,0.011582765174597873,0.021017005500327608,0.015957998314944655,0.014314532221310523,0.017676644446934123,0.010466700995431547,0.01983745922346273,0.01431244756102382,0.025388432053062487,0.013278972011069343,0.029294013333497824,0.024243601599884382,0.0355155869268351,0.022584695187357815,0.05060847215389517,0.01902242639155255,0.05577579645628614,0.020113338213857003,0.0631041323068031,0.033160040279410254,0.08297967866762311,0.04014370719697199,0.08622748689244464,0.03548065587031649,0.07122233519339548,0.03865452948436556,0.0683065936170445,0.04138584901210518,0.07687426673810943,0.04739188288039129,0.08687383134974425,0.046092970362917166,0.08501604659816803,0.20414807819642722,0.25109476963937444
A company president is typically a,leadership,35,595,0.5383504710639282,0.32650757720693946,0.8421818085480481,0.0009321397132612118,5.4164257331512644e-05,0.004493803438842442,0.0003688480853557076,0.004103458627293133,0.00047682402866370426,0.00595197782606478,0.000923683284174061,0.005010512228899129,0.0016077640285760912,0.005089783457866108,0.002197404049620988,0.006654158729163982,0.0033409361590888966,0.00657496644174136,0.004210722736423432,0.006761563588881151,0.005000089440016227,0.006951556409397742,0.005642268588381162,0.007419652497788616,0.005736867250009452,0.008238361169258886,0.006341015129093473,0.008997557121621735,0.0076002337744618745,0.011769618552462184,0.009858871194791199,0.02005291858445756,0.013512601356489745,0.012061414659407186,0.014993425199997011,0.011660328790507164,0.017280495132010344,0.010928928265090843,0.02164717975310833,0.011712015368398275,0.024916568046992132,0.01713666726073692,0.030297481798691312,0.02000324486161437,0.042294888057578854,0.017000950759281718,0.043377408112954506,0.017644978088588937,0.05037241864060564,0.021176945894724408,0.060532627094384964,0.02501233903282541,0.06312774833800507,0.022015389374200302,0.04939544002402976,0.023198810776578135,0.04676569825540392,0.02525895785004586,0.05390730708023041,0.02969941585445124,0.061121226243732986,0.027388489700038786,0.06077172080699617,0.148571917315894,0.20187876580181674
A department director is typically described as a,leadership,33,528,0.4029551242288602,0.35170508548617363,0.7554874692577869,0.001202326537212559,7.796133328611432e-05,0.0049893937190582036,0.0003903235922440792,0.0030236681327878794,0.00043376234494700447,0.003966862487073561,0.0007739675163651291,0.003773257422353645,0.0013474249366625618,0.0036959066957889582,0.0019051278584587448,0.004900974080682211,0.0028973158746435006,0.005150985244191955,0.0038298518579852675,0.005605462861706452,0.0045626148340872676,0.005973552773432237,0.005137646324073969,0.006241274332871545,0.005293940220515608,0.00676730725749116,0.005906392497060271,0.008165675063783786,0.006904902145412445,0.012202676006816893,0.008614225492152358,0.017758867547820443,0.010801342064494335,0.010284836790647262,0.01197425239927908,0.013198197504741594,0.01498611067747932,0.00967019369617717,0.01842346600818767,0.010516525782627052,0.022005813800600266,0.012324000403608024,0.025329481081812436,0.014513943467909825,0.037807961653653986,0.016092261157074548,0.04101148898170991,0.019186427111056944,0.046660307648198035,0.021839892473084703,0.05528695648230926,0.02881399725651573,0.05850729155377646,0.023774499084115216,0.04985668325441893,0.024986479391389885,0.04748683218853251,0.026082697682928934,0.0541953429429285,0.03646802893282615,0.061418749315856454,0.03151817516701231,0.06010676875239121,0.17804151703914686,0.18793804355993135
A project supervisor is typically described as a,leadership,33,528,0.37156362655855096,0.4669928648509085,0.706158587243408,0.001063625663211835,5.7365624516528854e-05,0.00507787540176863,0.00033784567367095396,0.0033284370259339608,0.0003907168638715178,0.004540142315531641,0.0007286905253220854,0.00421667272788378,0.0013120000135005878,0.0042838121422668525,0.001832162965279798,0.005928718073141966,0.0026918166015959147,0.005860029334270051,0.0037039703778051617,0.0057929275895620405,0.00442441323736385,0.005922206397516452,0.004984856861536518,0.006247914409846636,0.0051673745590886805,0.00683798811663563,0.005756762763985391,0.008279974016235097,0.006692951923985319,0.010724993132007449,0.008303325310343885,0.01433697001610238,0.010941842064639844,0.013121626567188788,0.012273723140943741,0.012115100793281625,0.014809314326416372,0.011353214908230401,0.01778201159442485,0.01171758865337272,0.020985420958622394,0.014782473519750785,0.024044722087398395,0.015751056282606722,0.03249079680834177,0.015336040311804224,0.03493867883088799,0.018130060620394167,0.04044709880490787,0.023128133749129916,0.05014032568906707,0.030802508313575228,0.05295187476064787,0.03054818755477828,0.044855340644562425,0.03274254344885883,0.04428718542608745,0.035843640045791436,0.04982268953066236,0.04186267822296544,0.05694443896358363,0.035712274486764874,0.055246755476224756,0.15429576909970238,0.1418185722351831
"In many companies, a CEO is seen as a",leadership,30,435,0.351889058852134,0.31934084417298436,0.652381144464016,0.0011569188940604236,6.590972766873371e-05,0.004105588312693796,0.00027498839186416155,0.0036315128699270006,0.0003358239098185778,0.0037074530790413437,0.0005568122513894639,0.003578650163397392,0.001141052852269057,0.003602489261036287,0.0014675194996541796,0.0047414255221036915,0.001996854242419473,0.004846353732780741,0.002444695689626497,0.00505820776141836,0.0029405517851710935,0.005480827046733388,0.0033020361357395463,0.005903026303074988,0.0037129944687707547,0.006038071476130617,0.004008088919894766,0.007020140314649879,0.004534362258875117,0.008521291937531717,0.005627152469839577,0.014880459643609237,0.006887444127997215,0.010192802580575235,0.007939900727025554,0.011871435588199052,0.009595456338152024,0.006787220357405296,0.01136134880325409,0.007317719928124477,0.013105604891121026,0.012462130050803787,0.015637679359621973,0.016239403225985445,0.02126452192694995,0.013152439819364784,0.02269392173479242,0.010704117504080436,0.025713292197861535,0.020964577255881998,0.031040088775555506,0.02462282884203361,0.03174122208308891,0.02120625268598025,0.025569132012618942,0.022367114342126484,0.024642595542100756,0.024813351120644353,0.02937021299785481,0.03165040029270094,0.03312447065590015,0.029253751943471205,0.03385093043591447,0.1392311739295862,0.09773588411338675
"In many companies, a manager is seen as a",leadership,32,496,0.39056338945765345,0.30470184655860066,0.6195858479477465,0.0011151725068489341,5.409407126874197e-05,0.004044835012108807,0.00023600648347231815,0.0035755937838074605,0.00028891703199058344,0.003852282061542106,0.0005001616770839296,0.003359644254878822,0.0010944332733454736,0.0030594894514036023,0.001423551364246524,0.004108195115204669,0.0018418184034796649,0.00411737408676505,0.0023465751473988293,0.004230427517396414,0.0028662681030171486,0.004670230738620921,0.0031116310227678953,0.005756778307394633,0.003424000501688944,0.005901468385808544,0.003637660055049244,0.005656653826044211,0.0041693399013626314,0.007639994169780508,0.005179136128527377,0.014680077099515753,0.006688674279914909,0.00831740132886337,0.007597964560219852,0.011798395880455819,0.009453137490333732,0.007515493366453014,0.011468930389752576,0.007468267787936469,0.013056216422196103,0.011441193925241509,0.01602808923130061,0.014212570661177894,0.021628567400486368,0.01221367327090929,0.02350197039981801,0.011755791735135947,0.02730623648582577,0.020002827632350915,0.03188321454369934,0.02542514810812076,0.03312220657771478,0.024864102124665402,0.027962375123091222,0.02541190436052675,0.027553788621555848,0.027582393488570302,0.03195776406919325,0.032654420600530865,0.035325278878199376,0.030825179333550987,0.03544667675270384,0.13054727335330177,0.0958689680685814
