context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24
A CEO is typically described as a,leadership,35,595,0.5693769758411887,0.4109256053343415,0.990434292703867,0.4174950974661442,0.9906096356565861,0.0033368680891026977,0.0008162930586452534,0.0112758194033264,0.009865696107522874,0.01556041938364564,0.03231839674821859,0.026984813757786493,0.05260651431431466,0.037608015947280374,0.06856977574527656,0.03681052625408659,0.0895323555298411,0.0379978067273062,0.09761430481984242,0.039515848813906636,0.10527063178273037,0.0432155339941364,0.11771871690542084,0.04635882916995394,0.1309978727685895,0.04411281758112027,0.15228237317306728,0.047143624964601526,0.16619770104134862,0.054070592350315146,0.17811923700101037,0.05913368908280442,0.19348826617214276,0.06666516568150269,0.2197834388459265,0.07202319670270871,0.24644505037930375,0.07576945223497347,0.27775709785825325,0.07562004392896642,0.2932581640783102,0.07604855685057978,0.30692725517204106,0.08520383643493816,0.30135699755048406,0.09259864348019005,0.29251435354879946,0.1013672286857538,0.24217406902114982,0.030537056628274863,0.06225433066562494,0.014020714283096555,0.03700465029308712,0.0032234598242258964,0.00887316443910186
A manager is typically described as a,leadership,36,630,0.5694408852932493,0.527966542635113,0.9815409783041105,0.536270282278565,0.9817296034060092,0.0033761111361338848,0.0007414210498378945,0.011926311832664974,0.00957063380225371,0.014918701224613265,0.031777199587377875,0.02508599586840814,0.051693555811439744,0.035244247318500566,0.06938879314262408,0.03892087042202938,0.0932467262545238,0.03963119596795214,0.09911148223777294,0.03997966618740804,0.1065716075598018,0.04206281971701135,0.1189212117553424,0.04692205256207638,0.13135012237511975,0.04726464226968473,0.15051692841179354,0.052427156654267025,0.16402803845788613,0.06092578709748079,0.17764510880099876,0.06638543186646313,0.19502450421580148,0.07915212177570485,0.2163405415058305,0.08805337161616598,0.2346342996562258,0.0948480497797018,0.2527718092623121,0.10068163998510571,0.268174037618338,0.10253175972898045,0.2770914204994718,0.1124357988898875,0.274201866790308,0.122355274302872,0.26661303419216553,0.11364956594937978,0.2210166687172386,0.02336415570000394,0.05265353005376171,0.010741698429945355,0.02931754799965429,0.0022120235096880878,0.007341913254738393
A leader is typically described as a,leadership,36,630,0.5525590231442069,0.4798176938202232,0.9917790491017513,0.48580863909410255,0.9921381796011843,0.0031660161175067064,0.0007197363037101914,0.011817408863480226,0.009451250045745988,0.01435087231336601,0.031737550849772124,0.027559662113171377,0.05374062280571661,0.03597926517608599,0.07338093801833204,0.03800137951820585,0.0958074026054812,0.039380160643355165,0.10053948021618667,0.04033175973704282,0.10768432312120998,0.04440418528877097,0.11845251866790285,0.04973946752919583,0.13028593757384355,0.048227977236356676,0.15022865470944258,0.05230388236499922,0.16861278700739193,0.06232810114644995,0.18577212226120116,0.0713419410230726,0.20514046126453744,0.0809165764280696,0.228786918501112,0.08682008525843261,0.2531542913500223,0.0928856760886935,0.29262556536001016,0.10127606281798461,0.3104118018228871,0.10392242090808994,0.32230668619803127,0.11545350313543452,0.31629082983423995,0.12384847463027052,0.30477455798536623,0.12123975661215276,0.24975026403388323,0.03021722175774301,0.061279353766486015,0.01095749169637899,0.03263925695167919,0.0020975672911614394,0.00833746533003011
A successful entrepreneur is typically a,leadership,34,561,0.45320065647083324,0.6125328964553773,0.9904454132774845,0.620656993414741,0.9907781200301713,0.0029813787686905247,0.0007455052889226204,0.012365551833141877,0.011975217787827067,0.029528033595537597,0.04115130469574247,0.02429034604430335,0.059845526401298504,0.03924507298348291,0.07641420960022194,0.040911259513973626,0.09545046743521958,0.04227627343254629,0.1018444890562083,0.0432752495335832,0.10896666314265022,0.04640240604177108,0.12194076314096283,0.04883019714420661,0.13229189929995558,0.04864349037198453,0.1507014105284861,0.054731767479084745,0.16729585436344788,0.06147495297276909,0.17994727186114415,0.06425902080256135,0.19290902348207595,0.0690969151434685,0.21264406094493407,0.06994837128945108,0.2399548397990181,0.06854665081049753,0.2663820757544661,0.0682822033277933,0.27692866286901374,0.06794278883327372,0.2852786517977775,0.06925524068660792,0.27753781647522613,0.08528409883275521,0.269055328640637,0.10167930651524006,0.2223104373181688,0.02983481115791565,0.055014605859765885,0.014082032504319794,0.03465823564085386,0.0032534264550759555,0.009842546768310664
A strong executive is typically a,leadership,34,561,0.5251571458051681,0.5628381334245205,0.9954670749721117,0.5731823740034088,0.9957652548162663,0.0027050897099481505,0.0007190767581241695,0.012605307285889884,0.010770086488143767,0.023724624762459914,0.03769419219253331,0.024498684054818257,0.05884813913802511,0.03241689406970621,0.07434438389066672,0.03385511658693687,0.09140931480231183,0.03746982217423802,0.09680678325516974,0.03837979182945429,0.10379287362370557,0.04127886208002759,0.11596146942877571,0.044148567958966045,0.12620414238713584,0.04162880043601079,0.14771146597161366,0.046371985275770425,0.16742640451202853,0.05527848679905796,0.18618046670504676,0.06049471068194876,0.20538809057477442,0.06046539630422291,0.23477637863228992,0.06099691167777598,0.27325969392088195,0.061497638492964565,0.3109736612441444,0.06259940638987455,0.3323247728529504,0.06169402641392093,0.35272256061599083,0.07130849070100458,0.34271812769004695,0.08949263111674137,0.330095654474688,0.1175025647643409,0.2691799587602323,0.05807129044393603,0.07517670919664399,0.019323699034293228,0.04421715514991204,0.0031862524795338415,0.013103144653067183
A company president is typically a,leadership,34,561,0.4946740041572848,0.34790826635435224,0.9996659608314076,0.3630181471908145,0.9996998533300836,0.002841354580531752,0.0007396828173977505,0.009366139540125154,0.011113910181857159,0.019809162421047924,0.03720835617572532,0.024102261122913193,0.058231586543153566,0.03431599843521377,0.07503727186160647,0.034302317413196795,0.092546579580053,0.038249405149746944,0.10095614594013866,0.038637847335058595,0.10792868125628316,0.042147125217330016,0.12070413148112742,0.04542733450414885,0.13021810809464732,0.04467690140979245,0.14958560829876144,0.050475677114606224,0.1628678577669282,0.054824661790437705,0.1788624630615782,0.060082134877525395,0.19164319592177764,0.06874630450720785,0.22941036071801577,0.07761532471183345,0.2714774541022312,0.07501104536129974,0.30857334991270463,0.065298898777551,0.3319159198537207,0.06186209100751129,0.3522306515008284,0.06353838128466383,0.3423911215456712,0.07159599104272943,0.33133377709979916,0.09474081917454555,0.270591455097557,0.04592345751750283,0.07247614637496853,0.02089884394083716,0.04552844243562445,0.004911421526894814,0.013911357269063333
A department director is typically described as a,leadership,35,595,0.5199980875503862,0.4030174668878317,0.9727258912753314,0.41583448690107616,0.9731337917273493,0.0033416840331910135,0.0007748626573686198,0.01042630683867723,0.009613523062103953,0.01588205646864288,0.032394377255886106,0.022651769063635967,0.05211711182407714,0.03170705601780625,0.06655719687655137,0.035409928801457914,0.08475830147563279,0.03884153341281822,0.09034589553739858,0.038895755695318626,0.09737534887317938,0.042350987725740925,0.10710843252389998,0.04482054241271663,0.11723982117529508,0.04293039284252572,0.13502536477700397,0.04583344283287404,0.14641843679425598,0.054217517562090964,0.16047924005517045,0.06233153527167966,0.17417321248270162,0.07013666271180076,0.1977113138497936,0.0750873782250112,0.21414384544716583,0.07965882297938262,0.23453218556418146,0.08056046611323438,0.24679113402471548,0.08091769114729715,0.2524182629898902,0.08933397879876295,0.25133826367366724,0.09649989846354295,0.24662418976177375,0.09568829337815314,0.20435899982619685,0.02064386903173887,0.048147868070829436,0.013047601767126861,0.027558877815660538,0.0024310024666541,0.006818842068584756
A project supervisor is typically described as a,leadership,36,630,0.5696098096943475,0.6053669168613851,0.9802915982436389,0.6131926924408617,0.980763680554503,0.0036812603403407473,0.0007561706811505593,0.012197549736326828,0.009783036105899938,0.01834360706513331,0.033032075997369535,0.0257144956418295,0.051794237417626406,0.03925246274804991,0.0668836776750916,0.040998185141816176,0.08551863675484678,0.04476354548559661,0.09063572574615524,0.04366488966142253,0.09673353334241037,0.04597874848400537,0.10615938220360259,0.049390781389555515,0.11543564654137656,0.04873549697188332,0.12956581781635512,0.0535449914075311,0.14080305137524315,0.06090348833423135,0.15343560793407873,0.06647431872855342,0.16902764769879036,0.07481964069273779,0.1914131278672065,0.07881016292735483,0.21067459424663054,0.0850314158157559,0.23201996460943392,0.08699168134717593,0.24709632744279297,0.0857619997227491,0.25245904507228684,0.09438236184245892,0.2518658068391397,0.10420976956964076,0.24731641185629608,0.09820399870598531,0.2067216034444773,0.018860961548426255,0.04824800456002917,0.011342488650126966,0.02573830254367535,0.002100755638036864,0.00628892274770396
"In many companies, a CEO is seen as a",leadership,38,703,0.5162497637446596,0.40259956242516637,0.975036405492574,0.42671916838116886,0.9754831479142183,0.003012680916542764,0.0008018199238310836,0.0091811528743285,0.010565906090791347,0.017146679819400792,0.032282699371980084,0.022363222849560094,0.0492984043652202,0.02729071064501067,0.06241474295759019,0.03414043887389385,0.0770433147370327,0.039067832607616204,0.08326189619690545,0.040374924412640185,0.09202077669769745,0.04319588317422983,0.10466281401460868,0.04402187059305304,0.11482185079446192,0.0383773346262163,0.1313329582533589,0.04088754679787908,0.1475659786396203,0.048030530527279146,0.16097434193184054,0.05294059606870451,0.17327161030620888,0.05437251380898516,0.2024957734854207,0.05474586410814925,0.22738075888044684,0.05565726404323848,0.2507867707781801,0.05224751435221505,0.2640140529403088,0.05014584467878067,0.28165947882500353,0.054849718893892056,0.27860193272720885,0.05983347463473164,0.2715912195255424,0.06845172305495058,0.21657566252780425,0.021462546508206348,0.049452711328564124,0.014018258343878043,0.029650746115341634,0.002882350528388909,0.008625496306073387
"In many companies, a manager is seen as a",leadership,38,703,0.4851919195440501,0.3129501692019403,0.9675343798007816,0.3391735445311497,0.96783274661815,0.0034246030356475787,0.0008138162993789976,0.009302481136238525,0.010311639659103004,0.016591942776946526,0.03201008806555573,0.021585093742021614,0.04870175510498537,0.028702639324688552,0.06186462388590272,0.03519078003582937,0.07692944231225865,0.04104444664356808,0.08361935467471604,0.04290104882829853,0.09280735880451148,0.0462467003677779,0.10511020996250753,0.046106512226807436,0.11521170951529805,0.04188285523009151,0.1314404453093835,0.044417132498919216,0.14620447819847446,0.05073506690789038,0.15763029729203118,0.056591306646038474,0.16978318918096258,0.05967854940125928,0.19379080786545716,0.0625771888362978,0.21156654833867267,0.06316998169588721,0.23092178396912616,0.061904989314278576,0.24540565382192528,0.061424559751199044,0.26231322030265464,0.07054427886150993,0.25961614440151043,0.07751190105175448,0.25222744377788736,0.07703439055366483,0.20107636557918604,0.018263210046402256,0.04549552638842293,0.014416733441658924,0.027375570708445505,0.0032406048469640885,0.008138896654910095
