layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,0.0029699592444118535,0.0003247474854346145,0.0029699592444118535,0.0003247474854346145,0.0007256983990601094,4.895807147109432e-05,0.9997495208917806,0.9997413326167085,0.06152753853565161,0.05996887014614668
1,0.010874922294143795,0.0016993310355479132,0.010874922294143795,0.0016993310355479132,0.009886392557890034,0.0006946940729755696,0.9965113802355209,0.9964474739909647,0.1464738769302696,0.1388900744963338
2,0.016007896903045857,0.0020407729610034927,0.016007896903045857,0.0020407729610034927,0.03125410603561053,0.0021409991301859503,0.9923504322510935,0.9921843108050095,0.19942167818284567,0.20657857168713653
3,0.026107407063751246,0.006016085591841829,0.026107407063751246,0.006016085591841829,0.051069691461374,0.004355745970601736,0.9861443192324783,0.9858537869424018,0.23592194620424847,0.2565127558396617
4,0.04427155976558378,0.009848771216718948,0.04427155976558378,0.009848771216718948,0.06544121855527449,0.006633848294082738,0.9735975714916241,0.9730762065240378,0.2809539072582368,0.32189219797921986
5,0.05003940213728567,0.01406156784461258,0.05003940213728567,0.01406156784461258,0.08365607761235572,0.00983093214607147,0.9645730206320946,0.9638866864958627,0.2949916648703881,0.34209913604745495
6,0.04700583305095987,0.010814300303845382,0.04700583305095987,0.010814300303845382,0.086424401253162,0.009198082605374644,0.9509785905442198,0.9500999707521836,0.326293265769364,0.36940664345751373
7,0.04525164566408547,0.010095660465914232,0.04525164566408547,0.010095660465914232,0.09208933594374942,0.008999835803411883,0.9452615851664562,0.9443305301265722,0.3543939795014582,0.39486354891833403
8,0.04189175408162004,0.009677321004136184,0.04189175408162004,0.009677321004136184,0.09993255161321682,0.009289356642001938,0.9416724521598571,0.9406912141619425,0.36778284524509425,0.4027144480300014
9,0.04352347964094077,0.008067639669375936,0.04352347964094077,0.008067639669375936,0.10971493280346897,0.010073202625264812,0.9410011786736903,0.9400410438985503,0.38015297598514175,0.41635557667483025
10,0.04180933631861162,0.00728213077055807,0.04180933631861162,0.00728213077055807,0.12212694415107347,0.012027002681332576,0.93835986127572,0.937347537936429,0.4147676679762823,0.44808290753081526
11,0.04649613605484954,0.00865356575655262,0.04649613605484954,0.00865356575655262,0.1354736965674182,0.013374445675716546,0.9303415279584578,0.9292368864266224,0.41721390630394106,0.45253497282133626
12,0.042825867502430434,0.006984805270781403,0.042825867502430434,0.006984805270781403,0.14565473339899795,0.01382757059701898,0.9290559642381985,0.928001533803408,0.4223961441958335,0.4492836503085095
13,0.04138965398141095,0.0061374258415132395,0.04138965398141095,0.0061374258415132395,0.1588537952129742,0.014181531121818481,0.924104325903524,0.9229891845040402,0.43079658305213303,0.448040298011918
14,0.04243060618454953,0.00723945742615571,0.04243060618454953,0.00723945742615571,0.17291448872128673,0.0159010077587931,0.917613973114796,0.9164166179958854,0.43778257767998185,0.4517189811099563
15,0.0434127478651931,0.00812236242803927,0.0434127478651931,0.00812236242803927,0.18520143981053377,0.017125351003891145,0.9186263121789564,0.9175147733235494,0.45461829584643293,0.46367346092549927
16,0.04458443068630793,0.008477266904975814,0.04458443068630793,0.008477266904975814,0.19686776366135486,0.018134639913217745,0.9116725684568879,0.9104270115856077,0.47535668028072486,0.47845365919359006
17,0.04565507954625783,0.006158029996529343,0.04565507954625783,0.006158029996529343,0.2112069162710361,0.017497733330318448,0.9094993896182455,0.9083275027169718,0.49548829838453734,0.48928640118817945
18,0.045721324918826745,0.005610902354085172,0.045721324918826745,0.005610902354085172,0.21726544962579405,0.017027169477132696,0.9099239653302614,0.9088576999939775,0.5163469584335558,0.5129829560762917
19,0.051186324937322156,0.007785278893863224,0.051186324937322156,0.007785278893863224,0.22016671056256243,0.016845762269166613,0.9034488733687394,0.9024715366193613,0.5415259221258193,0.5252287166379043
20,0.058189031995373765,0.009498183728309033,0.058189031995373765,0.009498183728309033,0.21838020164082464,0.015496293235563731,0.8954290640428471,0.8944798811185156,0.568571972875868,0.543236125491897
21,0.06955965749003859,0.010671708209829031,0.06955965749003859,0.010671708209829031,0.18475321655874175,0.013075402059885553,0.8784344738824033,0.877509253196786,0.666969232089177,0.6153606479468074
22,0.01625540748714834,0.002506685423271701,0.01625540748714834,0.002506685423271701,0.04464860479006953,0.003431241855616952,0.6964353570262283,0.6950272932409375,0.9102947483894768,0.9062083363438092
23,0.016217711000301192,0.0028710744918561374,0.016217711000301192,0.0028710744918561374,0.026467889973025016,0.0012340075279863177,0.48662394700859485,0.48520791781714145,0.9437894124306302,0.9590094442232762
24,0.0029744312272027363,0.0006881155020116499,0.0029744312272027363,0.0006881155020116499,0.007097302632822487,0.0010354090873635926,0.90956879477811,0.9091614762248522,0.9917282289475958,0.994514315372738
