layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,0.0003758781021105667,3.8580417253972794e-05,0.0003758781021105667,3.8580417253972794e-05,2.7046519252513076e-05,2.7413312426221016e-06,0.9999692527923381,0.9999683920706254,0.7129038184161255,0.713091050689584
1,0.0038451357929982534,0.00032357451342743254,0.0038451357929982534,0.00032357451342743254,0.004532796150585954,0.00021138252910168787,0.9984315343708219,0.9984061459852576,0.7415979766561632,0.7426236567385637
2,0.02656594711213764,0.002704283774592845,0.02656594711213764,0.002704283774592845,0.014200780878490346,0.0006777409152497623,0.9932582295338325,0.9931951751591177,0.6690907492853964,0.6433965854378753
3,0.012411955297969002,0.0010053520919571536,0.012411955297969002,0.0010053520919571536,0.01740924228554913,0.000995169965942397,0.991792881699637,0.9916884426563767,0.6560292707182109,0.6531824944672024
4,0.01579787154332719,0.0023037144492139136,0.01579787154332719,0.0023037144492139136,0.022926133184101038,0.001511260908621514,0.9856181249133776,0.9854117607085634,0.6453994235585092,0.6390377516054588
5,0.014871592444235707,0.002309541030602501,0.014871592444235707,0.002309541030602501,0.026309393527641313,0.0018894164362972823,0.9856474991321725,0.9854576230570384,0.6581595883219502,0.658522185436421
6,0.01765456798765241,0.0022702705001367302,0.01765456798765241,0.0022702705001367302,0.03619493719542609,0.0024410983246521824,0.9799075985732367,0.9796912707221639,0.6356287844233808,0.6341111092105413
7,0.018508566457271964,0.002562991053523838,0.018508566457271964,0.002562991053523838,0.04788067951226235,0.0038096522867912585,0.9814619613996474,0.9812594418553746,0.6315551090165081,0.6388180745116007
8,0.018257801801534353,0.00179242192180118,0.018257801801534353,0.00179242192180118,0.05815782402983631,0.004438174084815653,0.9771765345960273,0.9769234656085796,0.6473955218625157,0.647523218209218
9,0.03259602046888281,0.005714990238127642,0.03259602046888281,0.005714990238127642,0.077154002892204,0.006811683912673207,0.9611373233776397,0.9606841441850611,0.6714233582578979,0.6453847763198237
10,0.044627948552987434,0.007859498423724959,0.044627948552987434,0.007859498423724959,0.09745148471972809,0.008820903803184043,0.945986412048337,0.9452960114190654,0.7243951401882717,0.682560688593759
11,0.04381237414381407,0.006693112956400307,0.04381237414381407,0.006693112956400307,0.08364858656237939,0.007412408649078757,0.9182062554910798,0.9174429862172269,0.8283853192543047,0.7861209178068675
12,0.016955532911934933,0.00262814403255812,0.016955532911934933,0.00262814403255812,0.019788426999144633,0.003695792939991246,0.37022161835237594,0.3692501403785319,0.9842430288778274,0.968976481743217
