context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,37,666,0.3638182883861675,0.19041064381599426,0.8760641866829246,0.22096414396219188,0.8898989243243705,0.0004363202136431364,2.932499103170739e-05,0.006824029502225277,0.00434987903368067,0.022705972376400756,0.013172762650020245,0.009233611428033568,0.01856917660851239,0.01053650900238599,0.024250193629245888,0.019739156688405625,0.03072515280110521,0.02783928285077849,0.042000075947371485,0.023362481630051238,0.04984952615421079,0.018728244494640583,0.05977064943051104,0.02649120391279572,0.08293463066623467,0.042389363971467614,0.09881138603644636,0.03746278894896655,0.07853086053237315,0.012969193465509924,0.01746649448631464
A manager is typically described as a,leadership,37,666,0.41034961654278485,0.22320605930872262,0.8893940080888569,0.24583476046973374,0.9006170724828735,0.0003710165541423551,2.7734295472563814e-05,0.0066356726896141666,0.004437140348460392,0.024732456366789266,0.01405415649124802,0.009811526091494651,0.020486825060127157,0.01204855290788672,0.0251555840203971,0.015617343282260632,0.030364330669566824,0.02103547120179972,0.041669175032116396,0.01877838982979937,0.049910147437599806,0.01803747107516928,0.06356954984140355,0.03387322816313451,0.09189484560042126,0.0537224398465108,0.1093208199276452,0.04444905456092871,0.08613735732201976,0.013574905701617688,0.021343971550142386
A leader is typically described as a,leadership,35,595,0.3727427611819638,0.3066309941932559,0.8764297137968242,0.32172900698788,0.8934066969814012,0.00037202491724215917,2.6713695963396868e-05,0.0067259555999406246,0.0046651374020233866,0.02374672389977765,0.013641620574327048,0.009292028899261303,0.017978084265522568,0.013373560500254348,0.02235935522761816,0.012418418463494073,0.027796697890404377,0.016360674181588503,0.03748389168516702,0.01616533911974588,0.046535243588192776,0.020578575379371362,0.058131909511624204,0.033986930498891045,0.07862622122742355,0.05969419991791427,0.09761508209671366,0.04867343645799951,0.0793403254204554,0.013903394897393596,0.020984351220447655
A successful entrepreneur is typically a,leadership,33,528,0.3487851847256266,0.31008922308683395,0.9379762632306665,0.33753962357877754,0.9430167862446979,0.00035209918135886784,2.7994571668126177e-05,0.007641908345767096,0.004614306253393258,0.016115490245637576,0.014787206694752971,0.00727603199633443,0.01869285471908716,0.010254455717704027,0.022935783973483486,0.010653433237343529,0.029071447126859357,0.01390052203963478,0.03654962965926295,0.014541797914122785,0.0463773969216971,0.016981302040051275,0.05920710808651941,0.034528772318326614,0.08708184520930273,0.06325561446492044,0.11086743932167836,0.04903258878502121,0.08932129916781249,0.011301578279617426,0.014165081720609199
A strong executive is typically a,leadership,33,528,0.3965661359964292,0.3501514010131359,0.9745347194839269,0.377223318151664,0.9758692205044213,0.00039655444112864617,2.8105522458772022e-05,0.008256447126450224,0.004680665898031722,0.01727459301677879,0.014994727192143965,0.009136626073574204,0.019654943501539776,0.011285342858237091,0.023670145994133782,0.01132851201038557,0.029183788441652404,0.014093283386947741,0.03742787926747574,0.014648963770568893,0.047424312239394494,0.017888604854113702,0.06303199154746071,0.03642941925662042,0.09914969056700515,0.061827327857116025,0.12419468034536472,0.05012591929561304,0.09756486838428081,0.010994375528027078,0.015928021862646174
A company president is typically a,leadership,33,528,0.37482417629200593,0.20981827285140753,0.9719424947397783,0.23119967562524835,0.9744523829983791,0.0004044408676919673,3.140352160736728e-05,0.007879748807036116,0.00457026037512217,0.022699554514309172,0.014619372720108116,0.008558279523689934,0.020062555709535013,0.011187635596750534,0.024040130928270752,0.011532022012052143,0.029134101522714506,0.014303428824360207,0.037119376293424156,0.015978680818471088,0.04792239224985264,0.02083003381038892,0.06067399797217955,0.030387140386890134,0.09082384845568071,0.04958650572378059,0.11341729508976975,0.041458111397218354,0.09232126403639405,0.011895423749861482,0.026920909806319834
A department director is typically described as a,leadership,35,595,0.3354088090665444,0.13776880106888711,0.8924956237897277,0.15444905550975818,0.9037176512101723,0.0004208141702471998,3.0824822319289575e-05,0.0057650911842488835,0.004350549941302735,0.026321974420713583,0.013717151279318277,0.010161446220999687,0.02052913934449605,0.010704678195369893,0.025594496777559133,0.01841253829421595,0.031011385198331506,0.023906080361708264,0.04146013656899592,0.022205564828060027,0.04870834709007262,0.02282514019878982,0.059249192880945906,0.024486251012262934,0.08265743696402642,0.04098111547412926,0.1014761500340075,0.03451795344638633,0.08248120214047927,0.014382396561112034,0.022668829854526396
A project supervisor is typically described as a,leadership,36,630,0.46329576918598614,0.22773965122178197,0.869954826310277,0.24388554842880694,0.8814463456874364,0.0003933250280410821,3.368690419742563e-05,0.006108769511426732,0.004084704810635016,0.021196164767610166,0.012283866319402056,0.009671629678774028,0.019288620545083946,0.012064582675539805,0.026428845366003022,0.020667162710595287,0.032626404471915726,0.025495103617459377,0.04288374082364602,0.01863199636241822,0.0502639930443142,0.017518129251047385,0.06225373656411596,0.027500050503016776,0.0885762940615906,0.04925965384738149,0.10820085220588135,0.04096485167843951,0.08437573055599284,0.01568539397208835,0.017645156647591358
"In many companies, a CEO is seen as a",leadership,30,435,0.3812165147069584,0.2738898522220552,0.9704538279911503,0.28500319195518387,0.972712968329688,0.00034424482312416237,2.6593658356840098e-05,0.0062575849786350776,0.004067560537966823,0.025432678311354952,0.01277865345428844,0.009945446376995619,0.017558503773415387,0.016465164243817235,0.024842370106264725,0.011820896356628948,0.028782420501638185,0.020167730606783552,0.03689194604949928,0.019987123110857225,0.04200209480637125,0.018776649933370436,0.050849555013374514,0.02752134832352499,0.0694574492049675,0.036490973538374986,0.08293952005994733,0.02958733693373312,0.06767567890514706,0.010996571863810065,0.009980304778856686
"In many companies, a manager is seen as a",leadership,33,528,0.39571028174835854,0.2687550922855735,0.9743352477671579,0.2835636498457461,0.9779620564518154,0.00036840622243638707,2.5115562301235673e-05,0.006081717549764656,0.00415935096500238,0.024582289722469498,0.013322252781940247,0.00971715207022635,0.018473330687496556,0.016311015692998188,0.024895397155800865,0.011779350284237738,0.028768054853607283,0.020741507452120653,0.03736928802638075,0.019694241302969075,0.04303443692170529,0.020085419405578404,0.05332482890936265,0.03168168344243604,0.07511895040617875,0.041016953013205494,0.08947674536289188,0.03074615143016266,0.07093538755274832,0.013193104011948844,0.011569754212616717
