layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,0.0007352271884501552,0.00013368473948378436,0.0007352271884501552,0.00013368473948378436,6.376008623073666e-05,6.305261151618441e-06,0.9999537006983489,0.9999519156675273,0.46244873463707326,0.4628308061196972
1,0.011989747316030953,0.0011995190484075185,0.011989747316030953,0.0011995190484075185,0.0013586146800730289,0.00011540789552375566,0.9986955744706262,0.9986626886398291,0.8544241238144018,0.8424343764983707
2,0.026002367481214272,0.0019816490791011794,0.026002367481214272,0.0019816490791011794,0.0033171938405562934,0.00040314066141077274,0.9967792542289599,0.9967187304328704,0.8284118346236884,0.802409467142474
3,0.0034215407228545556,0.0004250037918757471,0.0034215407228545556,0.0004250037918757471,0.0055704872768524176,0.0007119498867883449,0.9937103892003061,0.9935651908931438,0.8419320286409816,0.8413436754594846
4,0.005300020429769974,0.0013928172021868104,0.005300020429769974,0.0013928172021868104,0.006165626647134218,0.0007442306579128127,0.9927674014759307,0.9926112117785293,0.840822520013442,0.8457523800246849
5,0.0034698158242983724,0.0005854786113557126,0.0034698158242983724,0.0005854786113557126,0.005841833693192446,0.0004928032364310208,0.9928805605090114,0.992726160299438,0.8437057938453341,0.844339533095009
6,0.0036663230082941444,0.00045764731257865723,0.0036663230082941444,0.00045764731257865723,0.007162685355546887,0.0005394436922727033,0.9917268695412331,0.9915420932514815,0.8432640356555959,0.8427775021224415
7,0.0056006599016018635,0.0008184676215401022,0.0056006599016018635,0.0008184676215401022,0.008843191236795176,0.0006382794115014322,0.9878425342761938,0.9876130291281934,0.8455585173951242,0.8413016810595233
8,0.007829517557762355,0.0012923455756910201,0.007829517557762355,0.0012923455756910201,0.01150679243133107,0.0008807895157092765,0.9859653298105802,0.9857010223134485,0.8419078256719779,0.8352433111888562
9,0.009112202365746624,0.00174719685697769,0.009112202365746624,0.00174719685697769,0.014966528757345384,0.0012185979775591572,0.9817376520295268,0.9814112959183011,0.8374095174573887,0.8299810898071665
10,0.009987819877807847,0.0014516250115721252,0.009987819877807847,0.0014516250115721252,0.01956986763543912,0.0015874923612852181,0.9818045751815826,0.9814930654169688,0.82415655071517,0.8165222889213591
11,0.011953449248156283,0.0018763657868166943,0.011953449248156283,0.0018763657868166943,0.024014535558934257,0.0021921514681277374,0.9805924976612598,0.9802562801792153,0.8132975026964957,0.80399868639547
12,0.013130184739411965,0.0024470307266991785,0.013130184739411965,0.0024470307266991785,0.029922843618407496,0.003127676837934573,0.978133293173094,0.9777507090096936,0.7989194916277682,0.7893257750142025
13,0.013409061467056897,0.0022149261990786185,0.013409061467056897,0.0022149261990786185,0.035987509902790524,0.004056326752263696,0.9763100366145266,0.9758921870671747,0.7852021929483552,0.7778299828879813
14,0.01409142783237031,0.00257791094187689,0.01409142783237031,0.00257791094187689,0.043064861848407375,0.005204447942396229,0.9733436958009537,0.9728721359181511,0.7758217204519879,0.769425992965201
15,0.014763692465341292,0.002005468501564284,0.014763692465341292,0.002005468501564284,0.05058699969862811,0.00665969124092927,0.9703816085094672,0.9698698446167083,0.7673513736334273,0.7656548749341862
16,0.016463075981977996,0.0023470132575407164,0.016463075981977996,0.0023470132575407164,0.05656943532771833,0.00773835660445671,0.9677547697575261,0.9672252484871358,0.7644822292588666,0.7605081533492564
17,0.01764184299904806,0.0024667347092730265,0.01764184299904806,0.0024667347092730265,0.05980289184133143,0.008229346139462268,0.9619059739833812,0.9613100590621042,0.7677922146894436,0.7626413134691533
18,0.02282008598756201,0.003886056457735977,0.02282008598756201,0.003886056457735977,0.06384949907950872,0.008999261950412342,0.9527248963579915,0.952010522787947,0.7766923911840738,0.7623857648301537
19,0.02770760889669984,0.004312556812621157,0.02770760889669984,0.004312556812621157,0.0728613815305301,0.00988540306270741,0.945076693282979,0.9443205699914075,0.7949274676756364,0.7735639988008022
20,0.02940168720892682,0.0047621723673008706,0.02940168720892682,0.0047621723673008706,0.07165359854492552,0.009094777220815971,0.9344049528747473,0.9335697746358982,0.813940405261145,0.7906130049811682
21,0.024072797451429817,0.003313454293997975,0.024072797451429817,0.003313454293997975,0.06535728762851473,0.007689935499586911,0.921491787291426,0.9205937395303417,0.837103116113432,0.8213133297688093
22,0.023205658735433402,0.004302504381924857,0.023205658735433402,0.004302504381924857,0.05684394088710452,0.007010728358222272,0.8986534010293284,0.8977086444705344,0.8734530267677162,0.8577436124928821
23,0.03209115679669438,0.006097911357330597,0.03209115679669438,0.006097911357330597,0.05135105666258235,0.009087034744423782,0.7550235252167573,0.7529250192603814,0.9049950310214383,0.8844671878198633
24,0.22369295880181667,0.08591267394590069,0.22369295880181667,0.08591267394590069,0.12067729422856377,0.04941488603656379,0.054488858735291766,0.05345721147795708,0.8192737592408965,0.9086370918240629
