context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,36,630,0.4046368657851642,0.3385505697224289,0.872093612793833,0.3583944738129503,0.8786539012717185,5.121584092094421e-05,9.591104430316398e-06,0.0012797327063085982,0.00025430932651421576,0.0007818637966365582,0.00024524641157630224,0.000440836376186111,0.000385996142793946,0.0006862592386860963,0.0003773138867159255,0.0007510140150712479,0.0005400630080099426,0.0007668347685236125,0.0011729158046781079,0.0007692913230944744,0.0009270387507687038,0.0007624349156983963,0.00208646648698061,0.0012194139471844525,0.0023273674241337835,0.0035231129935970364,0.006264437673185763,0.00690391446799891,0.014415807274113877,0.06876473453408229,0.19247606655818283
A manager is typically described as a,leadership,34,561,0.36389220762584473,0.3769913683645427,0.8898152152542025,0.39144476161163766,0.8935611643282755,5.510039682977635e-05,9.025658782449268e-06,0.0013014236313963923,0.00024979350911355014,0.000780742180947731,0.000258583658120697,0.0004462300388623788,0.0003727078684322362,0.0006691046462033305,0.0003517980458154703,0.0007246813034355325,0.0005093060780738254,0.0007794532974585769,0.0010891636673503883,0.0007672362484616751,0.0009048526603522518,0.0006861253100656811,0.002329615033828728,0.0013198398618305535,0.002491133862993946,0.003988361430362534,0.00711556399647858,0.007624651875311828,0.01584999151309415,0.07697460774696005,0.2297755969637939
A leader is typically described as a,leadership,35,595,0.32749758076859165,0.3147210138849914,0.9177262571174651,0.3254851224992308,0.9201601501445111,5.627526638819743e-05,8.622345675436881e-06,0.001488142305171138,0.0002537588624792253,0.0008329915013378795,0.00025445111610062276,0.0004615725676090735,0.0003719602168416206,0.0007048060312210311,0.00034497798840753865,0.0007531428766379534,0.0004905650033250465,0.0008172297041525127,0.0010146927994777962,0.0008257590920703057,0.0008499597873624547,0.0006639619976979232,0.0025175687433672154,0.0011846470631621158,0.0024313132010286317,0.0031436328740721323,0.0069074288611357245,0.006756536932297121,0.015622025540142734,0.08272830405966614,0.22114834733879304
A successful entrepreneur is typically a,leadership,35,595,0.355854938293015,0.47223057178780437,0.9245351400459185,0.49993347271811217,0.93078227285514,5.737867191124643e-05,1.0521727790480107e-05,0.0014764713995989625,0.000252921539751091,0.0009248954945369725,0.00025151067694836166,0.0005386676788734313,0.0003596520061093614,0.000823742888267115,0.00036728872967237386,0.0010077921837172703,0.0005950532808670575,0.000985785866567288,0.0012571623758222041,0.0008708707559172313,0.0009013812047160848,0.0009243748093373543,0.002270122956182893,0.001451153041292427,0.0022245993526271387,0.004081571441636695,0.00571037704651729,0.007984057359533229,0.012193296098966565,0.056729833935647435,0.16542415247841905
A strong executive is typically a,leadership,33,528,0.2771504121885518,0.2620298406109214,0.9100263055879623,0.28198379864625167,0.9125097867186014,6.179906300259599e-05,1.0378384525606082e-05,0.0014332247189685545,0.00024110362214590727,0.0009026078577839057,0.00024105177275298337,0.00054268513740802,0.00034751768879151123,0.0008796498910342016,0.000378418585744214,0.0010557022995382496,0.0006188952942116026,0.0011718062530808634,0.0014694013434361345,0.001064103117120966,0.0011146865042613021,0.0010908821953440756,0.003234452647190793,0.0017213219352275298,0.003072309269197972,0.003870341263175114,0.008033829267057452,0.0067509896749022805,0.017497989582065103,0.0682275966743413,0.25761930231600105
A company president is typically a,leadership,35,595,0.3213344781733911,0.30619864584878087,0.9378247179556638,0.335871212559141,0.9421730587905586,5.8358290961427124e-05,1.017252795879767e-05,0.0014052278062269062,0.0002442161488615773,0.0009494836122556929,0.00024644009678996033,0.0005433410629930595,0.00040794963618406843,0.0008157159667491486,0.00041272842381229034,0.0009772325782527677,0.0006240115404359108,0.000990060680627413,0.0013081020254607318,0.0008721761285850431,0.0009544592340611636,0.0008426825405861523,0.0023785492118369015,0.0014081911259230474,0.002322709541695768,0.004434603028589088,0.006372391861963786,0.009024887767061954,0.013861331598222027,0.0603708650331277,0.1603619214005873
A department director is typically described as a,leadership,36,630,0.42658146731640223,0.34711816627532244,0.8506810665130615,0.3627848615624316,0.8572547166568256,5.4633679429894585e-05,9.41945926496373e-06,0.0013357854821073108,0.00027880424551318363,0.0007096025403282101,0.0002669107455673392,0.0003984321277477902,0.0004252921754501883,0.0006436659935473755,0.0003911695467113427,0.0006294249719942468,0.0005495644440860882,0.0006648937904332579,0.0011825505334385324,0.00067752304926175,0.000903451451330707,0.0006773095804654474,0.002204924092503684,0.0011039863575551395,0.002354014401493477,0.0032418589783790638,0.006340957525785149,0.006017375930813093,0.014564348048601536,0.0718554015109005,0.17779681721197968
A project supervisor is typically described as a,leadership,35,595,0.45722925859956975,0.4451751827728003,0.886065217666328,0.45596571952955856,0.8888168969451726,5.783102757732956e-05,9.016336987285481e-06,0.0012705375162234112,0.0002658412958354609,0.00080420435788033,0.0002645151147989054,0.00041971681406367237,0.00038739789983375237,0.0006098521846350397,0.00037069499832107183,0.0006610560567598634,0.0005054130210705094,0.0007022518361135905,0.0010621412892946268,0.0007103131697754957,0.0008073621059259064,0.0006479219936856578,0.002153961395536284,0.0011582527096105424,0.002172079872186642,0.0032042013135546556,0.0056784700231243,0.006910852378328282,0.01249400915778632,0.06622871892508582,0.1502830642131737
"In many companies, a CEO is seen as a",leadership,33,528,0.24553645525704323,0.3423000453040004,0.8923784338403493,0.36313014035113156,0.9010809371538926,5.20318961257165e-05,8.081653414657248e-06,0.0014847224112867648,0.00024858424914785506,0.0008675760420530155,0.00022617000613321374,0.000476679322005546,0.0005149212075847439,0.0007414638311714993,0.000484747596038731,0.0008395940682445007,0.0005986252220440102,0.0008863542833262252,0.0011922943273553477,0.0007189546373800275,0.0008405917749112412,0.000775208740672078,0.0016609775571890066,0.0009915606259014067,0.0017915878959170125,0.0031538529176567236,0.004960504114451447,0.005635603697166699,0.011004036921918479,0.05390635319960163,0.13487023236123416
"In many companies, a manager is seen as a",leadership,33,528,0.23046300041671727,0.3303099414333701,0.9037922995630652,0.3562025386199821,0.9133252936462668,5.099598308854556e-05,8.065473839408648e-06,0.0015346522489578893,0.000245115681535479,0.0009058086743984558,0.00024052569665049134,0.00048381358930610645,0.0005330681082772863,0.0007735410045836255,0.0004829686327574906,0.0008651548796392799,0.0006069244237941818,0.000900357200853699,0.00114983708150607,0.0007638333321187546,0.0008455002223370452,0.000835160992478111,0.001916873590250901,0.0010713221698149485,0.0018854156915398621,0.0033191478375792153,0.005427609598301713,0.0063990570361574,0.012146736074046849,0.05516966070400218,0.15772993367496027
