layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,5.4660819791442475e-05,4.7794622111647555e-06,5.4660819791442475e-05,4.7794622111647555e-06,9.253712563472634e-06,9.188725173937137e-07,0.9999992172189751,0.9999992134703298,0.9268186252919797,0.926824199695138
1,0.0010831684285979334,0.00020992145688296255,0.0010831684285979334,0.00020992145688296255,0.00022960716497829686,1.5087656608490943e-05,0.995232363592183,0.9951606474886053,0.9855561736028433,0.9845074628885759
2,0.0007721916197558222,0.00010487569173265622,0.0007721916197558222,0.00010487569173265622,0.0002793994415888578,1.3987218162194417e-05,0.9901241878937054,0.9899670743815258,0.9950725960719131,0.9943004830085987
3,0.00043114232770962634,6.388646258924986e-05,0.00043114232770962634,6.388646258924986e-05,0.0003887100670476872,4.4975273031270595e-05,0.9726939663073255,0.9722473057290791,0.99691935331254,0.9964893032374403
4,0.0007634962976234426,0.00011287277440338522,0.0007634962976234426,0.00011287277440338522,0.00037196562954387843,4.5631184260628827e-05,0.9417806732639413,0.9410308780043497,0.9967316792823585,0.995969799484968
5,0.0008709519669373066,0.0001454962013078593,0.0008709519669373066,0.0001454962013078593,0.0005545129319040376,5.195987806836942e-05,0.9527357273524734,0.9520992568226316,0.9961180921957246,0.9952495316117036
6,0.0009729010190716637,0.0001432369873733079,0.0009729010190716637,0.0001432369873733079,0.001108911719465602,0.0001392957018950427,0.940057518995142,0.9392703311715073,0.9954946553115898,0.9945258462321991
7,0.0008853385234396016,9.61309616601306e-05,0.0008853385234396016,9.61309616601306e-05,0.000815586208592859,0.00010247989696370121,0.9591053302284049,0.9585411964698044,0.9951697518937959,0.9942922585480076
8,0.0009693559974565662,0.00015021100968221418,0.0009693559974565662,0.00015021100968221418,0.002042155024159232,0.0004190257907403636,0.931394962478917,0.930400809008996,0.9934436583516233,0.9925338729450323
9,0.0014756447465096815,0.00020026326675082155,0.0014756447465096815,0.00020026326675082155,0.0020791258441473955,0.00029873782538319667,0.9689407599540829,0.968558116770073,0.990830093527571,0.9894436695139145
10,0.0039240941710090614,0.00040555661408207773,0.0039240941710090614,0.00040555661408207773,0.005646073474071842,0.0007480318191224565,0.9447399464396518,0.9440714978332742,0.9831556734385704,0.9794242036132861
11,0.00753826157940945,0.0008241926065807695,0.00753826157940945,0.0008241926065807695,0.012773666332537143,0.0016404769226558277,0.942356153488974,0.9418228252272365,0.9681023094103814,0.9611859643544166
12,0.06511335636241951,0.008794516052351693,0.06511335636241951,0.008794516052351693,0.1794200211907589,0.030126060012220405,0.9128425802478765,0.9123019643138891,0.6258503971433139,0.6401593668792576
