context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,33,528,0.34668354823561753,0.2596712247468531,0.8888572677969933,0.27346132349339314,0.8943238692700106,0.002371892446440446,0.00026646943372139194,0.01827318867190764,0.016351391701512435,0.013355138535812949,0.03046938705408154,0.021221482889285284,0.04535289967438262,0.02504857150165747,0.054121496563127085,0.028309055187645777,0.06981351233760447,0.02804477505854579,0.09885044302882065,0.03675282687374762,0.11599870975957591,0.03558432209805351,0.14272652999242852,0.04450018974386923,0.1795644235152993,0.059549545670890526,0.22158924491436607,0.089505579215132,0.29148143350902345,0.10695369948837334,0.34828308896075344
A manager is typically described as a,leadership,34,561,0.395445236088486,0.3492295704782009,0.865896062925458,0.3621555049539893,0.8711341441703553,0.0026992887610292724,0.00025879597486255465,0.017149392030349257,0.016639922639912676,0.014088476487515196,0.0315236770740801,0.025838338781159726,0.04825212349237069,0.02988035697316741,0.05924150244856613,0.03167700495870754,0.07616413088653551,0.029703676409314598,0.10672600379824394,0.03783630625051085,0.12609832412433958,0.038251080734996085,0.15734856023942503,0.046110813767539116,0.19673182879562845,0.05901562551922612,0.24934935622461907,0.08655059549881276,0.3271185021497389,0.10270873721313645,0.38134761672383183
A leader is typically described as a,leadership,38,703,0.39009155983563537,0.41898562479764223,0.8680085665546358,0.4383039397507673,0.8776558169165583,0.002618233377087416,0.0002980877748940169,0.016904204661033834,0.016986171952221678,0.014192041597834758,0.03203125800044865,0.023715693191819483,0.04970557988102473,0.029229590847029713,0.05971033448983514,0.03002713460373328,0.07843601891451989,0.029866986775452235,0.10986187505560177,0.04146734375193229,0.13221031242381487,0.03552206099929127,0.1689457425636753,0.048732414563031554,0.21413595306118022,0.056906868330983566,0.27445785982036236,0.08233038034169782,0.3626662181501503,0.08982316800571206,0.4242653630149153
A successful entrepreneur is typically a,leadership,33,528,0.4496691728656556,0.35821206122636795,0.9427660552319139,0.37811533202329883,0.9459148347068549,0.0016551155581700939,0.0002731894756347457,0.018714288904080268,0.018305350037910246,0.012269314435875808,0.03246224991696576,0.020583067409490324,0.0462170553744377,0.018465630698565164,0.05598075881793483,0.021528871000413233,0.07111246193316649,0.03041849690256664,0.09711669082334924,0.043436491031193535,0.11833753852598804,0.0392346821013624,0.1466204791169874,0.04437399946783605,0.17683761549318855,0.05712697968741854,0.2323317317266749,0.08880532746910878,0.2974166531360379,0.10975309611365301,0.36415227784969284
A strong executive is typically a,leadership,33,528,0.46563389935520094,0.49632566375657916,0.9701375982840545,0.509706503162306,0.9708783455271259,0.002092489992894567,0.00037314221584714964,0.020146278839332996,0.01544655711669189,0.008939283433738843,0.027408722328552494,0.01550583239209203,0.04115428905192776,0.014391789142983386,0.05470521310654053,0.014526826359236297,0.06886553114247197,0.023136556896190638,0.09738031100930222,0.039869625390806886,0.12004653332911483,0.036342568156249554,0.15162657928718512,0.0426334194816195,0.18831726018298836,0.07578257587491018,0.23399952877993097,0.10561502108479133,0.3059406550016672,0.13857417709052805,0.36012139486210426
A company president is typically a,leadership,36,630,0.502323640881866,0.31927849631756544,0.9443470068508759,0.3431043087184662,0.9480961813487738,0.00195331265846119,0.00033055811142165516,0.01992774242803622,0.01585435032529472,0.011191907779146335,0.027967659164998566,0.020198884385661774,0.042186344637742575,0.015954588339411047,0.05278760082921948,0.01878968374715065,0.06892241901839066,0.023601534714397795,0.09315048040291424,0.02967933992514447,0.10964713838814129,0.028020474559732823,0.13429296753219752,0.03189171327649409,0.1640444351676279,0.06568340250773635,0.20822483680023676,0.09057200344856073,0.2695475030515654,0.13631263930356216,0.3397510482554129
A department director is typically described as a,leadership,34,561,0.4116869734608138,0.25953875901177526,0.8864132850430906,0.26827191731717903,0.8930677028565697,0.002682446861744062,0.00026656758627321487,0.01833300032971582,0.0160415360154456,0.015431621708928889,0.03129876525064281,0.0233071089113714,0.04824528180426619,0.02691510152305986,0.06012546636978383,0.029812422589400738,0.07888444357322337,0.03268764897342622,0.11100538877312655,0.039197768612933975,0.12867939399256842,0.042312348969405444,0.15899506446132602,0.04793057116323686,0.20129982068105723,0.065336242836591,0.2605063760008851,0.09185494753268893,0.3462024423916508,0.10702816174872044,0.40081270569361915
A project supervisor is typically described as a,leadership,35,595,0.48047113407489783,0.3833295446820557,0.8770856172777712,0.39342487382418767,0.879733997522635,0.00282721956287389,0.00030493703632803457,0.018318310038117947,0.0151901482341176,0.013002194022401806,0.029291164388872103,0.021624929119474723,0.04505122959207171,0.02443989944788002,0.05619471660474647,0.027239885333304934,0.07441328263804262,0.028082640725731318,0.10221315825288121,0.035849318621871434,0.12193692492176925,0.035505216731613574,0.15083255989305502,0.04330068398638008,0.1924794945327812,0.05449144246810247,0.2503164623728889,0.08762000806114091,0.3282679267872714,0.10244981857690484,0.38379005193078175
"In many companies, a CEO is seen as a",leadership,35,595,0.4600373292645881,0.3136435868218541,0.9453297849977389,0.339050805720035,0.9479877769454106,0.001905286011247131,0.0002735442613470188,0.016569745800884078,0.013991686131688632,0.011443392363502551,0.02716519102568363,0.017324848715918894,0.041386929473403104,0.017590615757333842,0.05011938743281897,0.02714804081407863,0.06412994581978092,0.022861366209022377,0.08716852769761771,0.0295668552194201,0.1088457445043215,0.032885326417676296,0.14799683173265823,0.05067287647581743,0.18796988438155077,0.05314077030596883,0.23207660979320646,0.07712459339325815,0.29135162926130054,0.0908078546275168,0.3376048202940868
"In many companies, a manager is seen as a",leadership,37,666,0.5225516885430043,0.3412812212482095,0.9527019645320252,0.36984950855912757,0.9551618894056446,0.002035388749030656,0.0002780978853375177,0.015762967245860245,0.013785144576032377,0.011482330404947939,0.027692501850374477,0.017878163703537602,0.04389049337628647,0.019877406681342524,0.05389924345371281,0.031148426820308023,0.06820001449979639,0.02401501190001757,0.09452669818864953,0.030427772927366332,0.11604257632855258,0.034617608862581695,0.1543684505487958,0.055355165386039726,0.1967546960046439,0.054263396644134244,0.24692282220775758,0.07743158717696418,0.3109781066922888,0.08133920872527665,0.3507950060028827
