layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,0.00729470718355406,0.0011000818162468942,0.00729470718355406,0.0011000818162468942,0.0015730283351514224,0.0002581374985745815,0.9992196596600097,0.999197184506377,0.3555330633324728,0.3490617212684093
1,0.013651101576669997,0.001415404850137754,0.013651101576669997,0.001415404850137754,0.005685013037496996,0.0008399456499331604,0.9986938182504402,0.9986586722336281,0.3677553992513044,0.3545842084535292
2,0.01726903942177845,0.0028034136741303655,0.01726903942177845,0.0028034136741303655,0.017483219906511818,0.0029445703999271306,0.9973922592115363,0.997321700827085,0.38449152701792977,0.3681132372734016
3,0.021506331926857063,0.004123495860072387,0.021506331926857063,0.004123495860072387,0.03316297587273744,0.004342780439631837,0.9945853559607972,0.9944363467553722,0.39797623771578056,0.37767120867231424
4,0.022521185878165574,0.0049538485872636885,0.022521185878165574,0.0049538485872636885,0.043224057397160946,0.005723410503756824,0.9913820590197882,0.9911507981356263,0.41967063382534137,0.3996779784982999
5,0.023819307187106703,0.005345533011781027,0.023819307187106703,0.005345533011781027,0.05161077513411531,0.006946559688832474,0.9873088478838514,0.9869873504834566,0.4276603116871055,0.40966763258604855
6,0.034691307505342966,0.005942895267734097,0.034691307505342966,0.005942895267734097,0.06510711247155213,0.008462632157489873,0.9814395851886946,0.980983390696701,0.4225105637302987,0.39180648802732654
7,0.037148920139500934,0.00503304547771112,0.037148920139500934,0.00503304547771112,0.07254326856921606,0.009451187490467559,0.9773410696529088,0.9767917784895206,0.429024724728419,0.39806662135602683
8,0.055698382718091334,0.004860928739377056,0.055698382718091334,0.004860928739377056,0.08252251278316272,0.008626847177699685,0.9734557407585686,0.9728423109635238,0.4395177400223143,0.3884047590035037
9,0.06458114613141888,0.005496463386652281,0.06458114613141888,0.005496463386652281,0.09389828493944818,0.007866105777826494,0.9686580865344995,0.9679610638602146,0.4608184780951018,0.40101384600257584
10,0.06477855514272589,0.007964205775523819,0.06477855514272589,0.007964205775523819,0.10968097935782135,0.008542010228629573,0.9660875891634064,0.965334812797251,0.48923912373777084,0.42977841976552955
11,0.04767391980719052,0.007915627421755429,0.04767391980719052,0.007915627421755429,0.13347448438210338,0.009679665821107984,0.9573607066929889,0.9564364507735554,0.48975371285171604,0.4539973682962136
12,0.06119344029735289,0.010606725693330552,0.06119344029735289,0.010606725693330552,0.16668220965725133,0.012738109371525702,0.9517311913074874,0.9506957733359969,0.4912317687020372,0.4385014677441711
13,0.07804006003895246,0.010170373820344053,0.07804006003895246,0.010170373820344053,0.1859542146110325,0.013056982340679457,0.94555142837718,0.9444658041590829,0.5003712556032178,0.42944154369141174
14,0.09202160709164113,0.014323546245270862,0.09202160709164113,0.014323546245270862,0.19696104583124,0.014374617045439606,0.938472960235941,0.9373383672148202,0.5072835495697117,0.4211913249046028
15,0.10500980827946918,0.012990929530730364,0.10500980827946918,0.012990929530730364,0.20176285044874492,0.01510051844266146,0.9327694216083434,0.9315933853997506,0.5126049394417949,0.4131355890096328
16,0.11116805814121437,0.015714632418586606,0.11116805814121437,0.015714632418586606,0.21292541747452773,0.015432207160915175,0.9220303304119188,0.920688433258603,0.5442119643424943,0.4390424924888058
17,0.10714007990608117,0.014833716316508838,0.10714007990608117,0.014833716316508838,0.20172244178163337,0.0162369879661004,0.9117693116077562,0.9103425503473228,0.559888573799511,0.4609930825756596
18,0.09986221201945344,0.014099986992442975,0.09986221201945344,0.014099986992442975,0.1971936661412649,0.014118715250231253,0.9007571620136902,0.8991975787720105,0.5837937384594846,0.4956210259094943
19,0.08670196127540589,0.011903935361888418,0.08670196127540589,0.011903935361888418,0.1779037101837337,0.012140612582015608,0.8991415501130072,0.8976358707931512,0.6058572791703407,0.5347461114298493
20,0.08013934107692106,0.011042187104726809,0.08013934107692106,0.011042187104726809,0.1897175976335345,0.013811320741722092,0.8888254850430543,0.8874321055383253,0.5939604174520079,0.5383491166669474
21,0.08618673438867228,0.0119641962267937,0.08618673438867228,0.0119641962267937,0.23283214916617906,0.018628044070356186,0.8706784293088525,0.8694379128658954,0.5758103611238057,0.5265022609595149
22,0.07696319469086729,0.009282649281509193,0.07696319469086729,0.009282649281509193,0.26661519241178844,0.025891109062142557,0.8487201215028531,0.8475845178457747,0.5843469130750767,0.571140862298399
23,0.09823073943713788,0.010951591532945035,0.09823073943713788,0.010951591532945035,0.30974504268275665,0.03192416894109822,0.8246727398698825,0.8241586338143956,0.5967740021626418,0.5927092648275526
24,0.12679616354723192,0.018301607687697174,0.12679616354723192,0.018301607687697174,0.24339651321007133,0.03545136914669505,0.864046142618899,0.8641119573003424,0.6435616323905116,0.6380377449430509
