context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24
A CEO is typically described as a,leadership,33,528,0.5574428185717385,0.5799025977030396,0.9968019618972903,0.5891890851380595,0.9970046613998989,0.0071472705338476205,0.0014138020625095273,0.012370327903461901,0.004695726522060796,0.01402513438411241,0.012360032255916979,0.017217361676416656,0.01902078502168513,0.019914042372659303,0.026512818606719273,0.01906799290071453,0.03415222702654463,0.04419796581759717,0.04835598109969096,0.04737147839306444,0.052600398645409406,0.05063618872088865,0.06039104174761369,0.0718467614318409,0.07102278224842279,0.08778623380973646,0.08050530732506678,0.08852879480534202,0.09958019398194677,0.09739244866771557,0.11223588045864151,0.11530701329490659,0.13387844220234243,0.12466556804604216,0.14378453248918335,0.12749405230225083,0.15896757608547668,0.12825122549789997,0.18420286691338328,0.12209685801357541,0.1640567527914522,0.12285765898170167,0.1547280237074972,0.09334096143779096,0.1360673704336912,0.10767796083929095,0.15870192308375924,0.105290825459788,0.19605368454235833,0.08072948575621416,0.24124924352469074,0.07966291377731095,0.2931613378238881,0.10593289049765821,0.20905613576802243
A manager is typically described as a,leadership,34,561,0.5662487468931864,0.7462598991114646,0.9921432257979177,0.7506383948850726,0.9925594222405607,0.007679723511372081,0.001538846919706075,0.013026283884861807,0.004838307763088425,0.015495849103262129,0.012853051722224798,0.01797429166715351,0.020480939376297892,0.023072300702865815,0.0308862493741248,0.022769505500001175,0.04204151751016806,0.046517470687620584,0.060850029947551815,0.05331947369343897,0.06877112183983994,0.0552543062600857,0.07740070196242951,0.07573769060703084,0.08800356410552697,0.08916601916302143,0.09661426465290962,0.09323586011656591,0.1126018065018146,0.10366703646309951,0.12812303238272432,0.11913550401211763,0.1509998183796395,0.11478374425885152,0.16217084682941807,0.12373700444143725,0.17600079826401469,0.12814501160738592,0.19047015451785512,0.11461001372404427,0.1720178402190312,0.10897678597335957,0.16399543502038771,0.07646591956417742,0.14585268940374163,0.0951515534400874,0.170794788337551,0.0981797829764841,0.21094370494823125,0.08213644199744129,0.2639965268247922,0.08460301400551888,0.316896902888784,0.1305013891734266,0.25205370385118253
A leader is typically described as a,leadership,36,630,0.5353274765270853,0.6378327632555738,0.9917676151962951,0.6440612678634352,0.9922410053349111,0.00698124738688046,0.0013530678382518086,0.011992458223241662,0.004317218627639424,0.01406109779219421,0.012169666915319791,0.01692498028121531,0.01914738833030626,0.022458663166688646,0.029048396871349285,0.02082259867347697,0.04020541688377128,0.048927239460160525,0.06085764621625166,0.053743499537042626,0.06871430609068167,0.05521366614989649,0.07829309124888027,0.07489248875094408,0.08925489059667535,0.08700828508361655,0.09787846019358945,0.09209497048414451,0.11225775858820569,0.10685415843362009,0.12720040241948885,0.1274071627452748,0.14881265526871756,0.129414832690671,0.16030040518154337,0.13047051132749737,0.17747619121269015,0.13514488058652116,0.19318509406098866,0.12641917424934473,0.17447457654180076,0.12689977691454468,0.16624662809789229,0.09789203274990324,0.14767192683413963,0.11590073981498132,0.17313689711667693,0.1239276215934504,0.2133828768493494,0.09894567224939144,0.2637372962448375,0.09120687944922809,0.32170464098246315,0.12912225010996714,0.26658750823333954
A successful entrepreneur is typically a,leadership,36,630,0.44005864093627534,0.4318554326891899,0.9991134397496353,0.4503229968531741,0.9992418031801549,0.005975341911968421,0.0011912688199403763,0.012412672008155604,0.004681263309821977,0.015162592073653829,0.013240254847767922,0.020458172391405863,0.019611871593966972,0.027590994903107683,0.026929952666836177,0.0240792119986604,0.034159879280432265,0.04924831745309113,0.04777068229519377,0.046413015077524454,0.05208041076546266,0.05412240115805592,0.06021625784952018,0.06733729467836687,0.07332222373651504,0.08009666531923115,0.08222087979272129,0.08823480627585374,0.09356782373076208,0.09709764998180213,0.10710047849676356,0.10829760211949863,0.12730113579678934,0.106988133437575,0.13753817683588287,0.11302841129958494,0.1514665429346613,0.10626771365953355,0.16342409226075513,0.09740691513730663,0.14573125241545654,0.09806411482995603,0.1376889358781024,0.07582515066017871,0.1251263382164461,0.08922736343852446,0.1454454667540863,0.10286295965584616,0.1858828725533307,0.07717948808772906,0.23171114295412268,0.07153344491828224,0.278523657968139,0.09639852333963429,0.19988884626599618
A strong executive is typically a,leadership,34,561,0.5012503164245419,0.4347247271798551,0.9960530907846987,0.4556826585030649,0.9967458959098394,0.0058582013851162604,0.0010879967150595406,0.011277372642885482,0.004524422589171635,0.01497962235240285,0.013416778134041492,0.022340440054673266,0.021147684709170948,0.02831593454754969,0.028302065232532096,0.023088881778158352,0.03520328970832779,0.04671470617050946,0.047974289809464894,0.0469257043589001,0.052946239664383936,0.055859261272677124,0.061891796562669875,0.06777685615489325,0.07566370779422703,0.07860062420130154,0.08330750053815668,0.08427349116127364,0.09999256174096274,0.09484100160048499,0.114263654309224,0.12222807078969836,0.14079363565747396,0.12164271683902227,0.15307624504364092,0.12711645335798163,0.16887450234836252,0.11884685428462126,0.18278269260986846,0.11145114092480826,0.16044642428960146,0.11211581680621888,0.15038123709246928,0.09245605659087966,0.13750849352263034,0.11099023361294864,0.16125037841926182,0.11702206388686212,0.19490204687506943,0.09579508328550661,0.23950526482259568,0.0880506220350523,0.2899938222840568,0.11411570864773274,0.19983525746709582
A company president is typically a,leadership,32,496,0.5385218595196806,0.355598081368953,0.9997148941729392,0.3812836679062457,0.9997193672459517,0.007821162295148792,0.0014761305047552645,0.014138054574877415,0.004943149010722653,0.017102395285081836,0.013587326367169552,0.019052530449611676,0.020590610393112975,0.022903233250286155,0.028014107843068795,0.02044386094945841,0.03687845896792276,0.039337225283875336,0.049554917081190294,0.04132090541143875,0.05496177189215594,0.053291861267496535,0.06566917936819446,0.06794997915715445,0.07855481496097423,0.08154326612355249,0.08758252647892015,0.08805807481307892,0.1013454048784628,0.09570055949493166,0.11389863676849361,0.11479508592053701,0.13308266351846798,0.11478055365033049,0.14762604641708627,0.12636468565498588,0.16499022246976314,0.12220350430961462,0.18130851004160042,0.1165395771504833,0.1584034636142127,0.11758886039800256,0.15167239784532327,0.09225635449360425,0.13617543681453131,0.10243192156221051,0.15786124425107406,0.1100426716598476,0.1950098183579529,0.08093228691703461,0.23343695423822788,0.07325145352410291,0.2915184472154834,0.0891833238668499,0.2037698746982666
A department director is typically described as a,leadership,34,561,0.5812171919270704,0.47333965077996254,0.9974368270486593,0.4882083869088092,0.9974820715492854,0.009407449752974589,0.00158485507853827,0.014586903535861031,0.004772164862817814,0.01587653176434874,0.01195672307409816,0.022695853780801974,0.019960555868469586,0.030216198079142467,0.030529461732405797,0.02840768695860292,0.04142161508931941,0.0457970447379386,0.05743636505472572,0.045537229385404346,0.06324903349414403,0.04813972685326224,0.07097913418532505,0.06674464385823951,0.07941577001968304,0.08165909964606596,0.08721733168307312,0.08295775233026896,0.10340253656709952,0.08863765749847265,0.11811640363016226,0.09528200733936704,0.1412098649279031,0.09297465016334587,0.1509664645553991,0.09935960010664256,0.16773535927894734,0.10380643239512019,0.18667559470461717,0.09102718644109052,0.16755405046013805,0.08871325291147145,0.15912873028648364,0.06368481160814078,0.14348612376464256,0.07457336195253512,0.16590777849709482,0.08236720263259102,0.20331123014627933,0.07752279054002457,0.24711948560213723,0.08849410427394454,0.3043849858816678,0.12380870563346807,0.23868258468784967
A project supervisor is typically described as a,leadership,34,561,0.594681040700785,0.6220151500310749,0.9963592416606843,0.6288156558584888,0.9964350368815786,0.00860316200164452,0.0014404909910296735,0.013853649991022352,0.004592431407382691,0.015026122810235904,0.012276351197390593,0.02134759587733405,0.019083599714937265,0.029087000605164805,0.030773127494049087,0.02657566201647653,0.04187159706939413,0.05226148857290551,0.06123276575638658,0.05616232130988391,0.06930116556483089,0.0598965465262792,0.07804240251949414,0.07945023322301832,0.0876005130340826,0.08962505433069327,0.09593560363136026,0.08786025342143762,0.11190533665285768,0.09606695521067403,0.12648538892197522,0.10264532805858985,0.14738268106755337,0.10530669830599136,0.15826388428396543,0.11915639474185176,0.17195052374482844,0.1282271321420146,0.18794709664690493,0.11857822671358181,0.16801582042495622,0.11239142912938455,0.15763439845324037,0.08039758175552074,0.14120276593115147,0.09030596790880335,0.1653017546771384,0.09159306903401296,0.20137526291908162,0.07578115854568132,0.23940725139395772,0.077330895361917,0.2913985452036037,0.12517419232160237,0.2517146643295814
"In many companies, a CEO is seen as a",leadership,34,561,0.515996059751184,0.32911417027935386,0.9806525183375925,0.3472867590171518,0.9815341165840437,0.006974574748323314,0.0013208630452006787,0.012720452638796795,0.00434515717604788,0.013103682636051332,0.010147306123768714,0.021686294954140237,0.016669405556003963,0.028935155777186996,0.024065245144765154,0.02502070645333859,0.03222551474512308,0.043336777693741606,0.04695273959196327,0.04033663309044789,0.05212979662939241,0.05024709434930655,0.06131223004236472,0.06869480486453418,0.07284423352171901,0.07936220316626545,0.07944019642296822,0.07963772528502322,0.09525606722810631,0.09072617917987462,0.11036489060541081,0.11248354314934819,0.13408827972989823,0.11238508587653445,0.14508458349924536,0.12019286533912413,0.15869208367804333,0.11759041862918564,0.17559870938747868,0.11362192566034371,0.15705142896411609,0.12637215811133964,0.1545547509473062,0.10130013554011029,0.14092516960511195,0.11295519942934124,0.158669546808225,0.09546568566574644,0.18871854813095057,0.06332388943668657,0.22775182550080728,0.06404997676337613,0.2671304271741343,0.08348097272871957,0.17902247118506265
"In many companies, a manager is seen as a",leadership,36,630,0.5532148852450481,0.3384358687326312,0.9802663526497781,0.3644860265048919,0.981492434381039,0.006492799201019885,0.0013103267669695008,0.011564766411852797,0.00433183247250854,0.011847618871193262,0.01027823343026678,0.019698580185233815,0.0169793408342613,0.027037280873673245,0.024583138663027394,0.025707330170703098,0.03355598925220139,0.04177474794290575,0.04862890262316947,0.042212666199090164,0.0538192290356191,0.05517852262918234,0.06238111538616942,0.07470842854626963,0.0747077116571982,0.08430066012046926,0.08268768623269834,0.09195646437178051,0.09526002656922952,0.10081636674965397,0.11109767489262663,0.11637803842380429,0.13428430668064056,0.10999012438552089,0.1464168266697578,0.11767514471687958,0.15860281923843356,0.11320765102705269,0.17294552774875918,0.11201670908136563,0.156644741042497,0.12621725785762006,0.15508652916212257,0.10352075789219492,0.14195399730037597,0.11409225749033068,0.15625637886634566,0.10213869117698693,0.18187841547254277,0.071141794628869,0.21663848367890276,0.06615981501802588,0.26038782246297304,0.09250319013395755,0.17599799826512477
