context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,36,630,0.3101139749723044,0.15024322527460754,0.9407989685423672,0.16569809082284337,0.9412766097145777,0.0006717935279843359,5.881476295667586e-05,0.03835107122115384,0.020067840500917825,0.026827253164526232,0.04300296246657101,0.03686631927175722,0.08134726060267147,0.04824733606533114,0.12438454639490125,0.08080078906342902,0.13713830533737886,0.11235823766883105,0.19361881378645637,0.08962939868560572,0.2333567740167524,0.062329888871822524,0.23588656820812628,0.11368079267627504,0.27406488267661167,0.09095831126671271,0.35687875227858123,0.11050729808448922,0.583539379657011,0.00532377456485782,0.011805656005618344
A manager is typically described as a,leadership,36,630,0.44477955762841126,0.26713427249342203,0.9363219537772238,0.28018681049798033,0.936527664588084,0.0006857312892887821,5.5225848834550284e-05,0.0394936300247616,0.02197058084274476,0.032748167392524126,0.04552596118518401,0.036318654394073474,0.08338454912584715,0.04258854487105609,0.12180631691723375,0.06234178370613927,0.13590778439031292,0.08221417555095571,0.18227617623685313,0.06605644522137816,0.22816620392365955,0.04268121703963139,0.22315635753762533,0.06755930845802055,0.27734729989965323,0.06620894666574756,0.3693977495558936,0.09773453033624507,0.6502866945792651,0.003333630422591301,0.011817835714771373
A leader is typically described as a,leadership,37,666,0.2821869267314975,0.16512410435825586,0.9508369150571525,0.17801522955778637,0.9514058579330822,0.0006447698652732551,5.7275217567052234e-05,0.04030916406143556,0.021452443799928604,0.031852944032615724,0.044887133485091525,0.0363991039107871,0.08569674569175653,0.05262866251899688,0.12417486315538401,0.0841163313573531,0.13904174203466635,0.10701626014694199,0.1894476555795543,0.08144099574789486,0.2275565749647505,0.04839505215087495,0.22801117862240025,0.08242098465538175,0.2768393146128281,0.07750681327915845,0.3649438508578966,0.10234144196268502,0.6279206040918629,0.003818097571838543,0.011470380039955513
A successful entrepreneur is typically a,leadership,37,666,0.43657070722951363,0.3086527595296502,0.9712297488003969,0.31985657064979023,0.9721081802423868,0.0006871213786057409,6.773456199989654e-05,0.04952780290218772,0.02141986318341286,0.05480416898185444,0.049880231691273265,0.03248107754787098,0.08816017129367791,0.04649638640546794,0.1317177627918085,0.08987226985186696,0.1497151828199559,0.10646626866410523,0.22226406450160488,0.10617422076168649,0.2572531592509951,0.060278707682209394,0.25479292989365676,0.10202854050098932,0.33226258924795876,0.07363576366445707,0.3862401952088953,0.07828424436554393,0.5618980390004683,0.004856376029066984,0.013259036684136
A strong executive is typically a,leadership,37,666,0.42682492869393557,0.30177968461066484,0.9668220619205385,0.31753726784154424,0.968247371479606,0.0007049148751164967,7.224509792491073e-05,0.048054307259344446,0.02307146897863591,0.034164993480861994,0.04803247154403428,0.034407921285208885,0.09218124527880123,0.057732699659552834,0.1420409496249051,0.10795940222061509,0.16989933890252312,0.1234993952216858,0.23542907577082017,0.12713124117167462,0.26475904662883365,0.07955030385628731,0.27288965884768557,0.11825928218189208,0.3514324316343634,0.08437045643119322,0.4048359224329481,0.09371273730857312,0.5908582800754841,0.005032721243804477,0.012986963425632847
A company president is typically a,leadership,39,741,0.4403242666572913,0.26209317427128553,0.9753220567945391,0.27742279239100753,0.9756085415003213,0.0005586916336826024,5.722456348803218e-05,0.040930686093598595,0.02007679400058257,0.0430716616476206,0.047110634632416916,0.032558081505727185,0.0857705359284217,0.05288580188230756,0.1355977716053404,0.08951204533644565,0.1495695154332035,0.0972742458882639,0.20480074305522647,0.09679808405312265,0.23438311060625325,0.07172093974979207,0.2463719333542985,0.10193681399316329,0.29032286824662357,0.09722559805423406,0.3621614784617908,0.10541209250187307,0.5360125260278723,0.0063511166520348996,0.012073349438353765
A department director is typically described as a,leadership,36,630,0.40346825273957343,0.20275390148162842,0.953367920126766,0.21990770164848072,0.9535721494396512,0.0006576541432801765,5.570436713245308e-05,0.029565942802251156,0.01814236739786577,0.030425847858791405,0.041128163276921474,0.03717891197960484,0.07595881849902412,0.04645422026751269,0.1143385122847219,0.07606720008015683,0.14369682309616605,0.08161611404457164,0.1919152052320903,0.07138447551552839,0.23625976163665102,0.04796672275497024,0.2418804605516288,0.08461163512533593,0.28303898528132254,0.06912515218433675,0.34489406399529665,0.09696765850939935,0.5760247754155883,0.0044256185253786036,0.011893215197883365
A project supervisor is typically described as a,leadership,37,666,0.4241795696373613,0.2593030449934304,0.9367443942464888,0.27375941932041314,0.9370849212010626,0.0005870935391903175,5.344840608159576e-05,0.03453043856821435,0.01741939135725069,0.02833326697776219,0.03836348624737799,0.03453313702507286,0.07458331029708533,0.044642898290055626,0.11183334831078251,0.06319318679315596,0.13987498573381899,0.0677630055821958,0.18799202988779087,0.05513962591104227,0.23429419081839492,0.03446338321735072,0.23834320955440283,0.05455118862333355,0.2791447644089418,0.05677539193722686,0.3538734432140904,0.081149314618029,0.6008063939914522,0.0036483008822725854,0.01173921109230655
"In many companies, a CEO is seen as a",leadership,36,630,0.39983350659787786,0.1825719140470028,0.8975696172565222,0.18970784149246356,0.9020725547616166,0.000674111830278478,5.8049638970368735e-05,0.025819020201671598,0.01713816276859473,0.0335437068333702,0.03783995721221963,0.03276185116889253,0.06326328231931672,0.04223796594007132,0.11171669257858143,0.05425476274444052,0.11089380808718736,0.053921197972494866,0.15901947555783214,0.04983387899168424,0.19669950093820848,0.0568611100717401,0.1970852643897706,0.06973365733421201,0.26455244116047666,0.06836606094653626,0.35843250837817275,0.11899294793869507,0.5765328374014332,0.005680031515084725,0.012471694424315912
"In many companies, a manager is seen as a",leadership,37,666,0.41097136465935385,0.21289474004879594,0.8959330543875694,0.23169833068232037,0.9023898571826976,0.0006809238681354025,5.858181326130414e-05,0.02589945324434438,0.018124102243050336,0.04250789730760035,0.04103474395301495,0.035999190135350925,0.06638991078876275,0.03480677723220774,0.1096498773342526,0.04186888515058791,0.11043367162034537,0.06109550223085597,0.17168097256374054,0.06835850734760009,0.20288556631389146,0.051067333765876854,0.19486612315600907,0.06390737269066747,0.26852570453267005,0.06049663011191731,0.3462891969393032,0.09528037410638822,0.5605131267927267,0.004047839611183502,0.011401983205855537
