layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,0.0006716218691524325,3.615573922224561e-05,0.0006716218691524325,3.615573922224561e-05,6.103313915606269e-05,4.152958382512996e-06,0.9999816161651284,0.9999810366358117,0.06527306861189187,0.0653073447865409
1,0.023129685648445773,0.004562622087871381,0.023129685648445773,0.004562622087871381,0.015360124714325721,0.001002188810800888,0.9950728842467955,0.9949751879274671,0.3856962539195211,0.3631853306138153
2,0.04922145617460544,0.006929182521709779,0.04922145617460544,0.006929182521709779,0.04524529451155584,0.003766631389682603,0.9865141205985338,0.9863363737663488,0.525126717940872,0.4763010344895865
3,0.03674107005920964,0.004982846773431223,0.03674107005920964,0.004982846773431223,0.06801983339055757,0.00482777418324794,0.9607622735543953,0.9605925974934909,0.5358178755634189,0.5172639779158407
4,0.03739597818089418,0.0031985037836529903,0.03739597818089418,0.0031985037836529903,0.10326409359686128,0.00627628496967006,0.9434669778599716,0.9431538006031688,0.5777517567746642,0.5968653575461335
5,0.04452174480730683,0.006307650159783081,0.04452174480730683,0.006307650159783081,0.11500204679616825,0.012727151298443566,0.9275142872868033,0.9271955660441783,0.6267129177646733,0.6526954090063875
6,0.06323889217367448,0.014134872416616437,0.06323889217367448,0.014134872416616437,0.15902653123663127,0.027304483572329008,0.888491998531861,0.8878409862692,0.6634165827931453,0.7111882557751527
7,0.06117976591984342,0.010708863877423124,0.06117976591984342,0.010708863877423124,0.21122128567441897,0.041932842032738754,0.8565911331252224,0.8560146315196335,0.6975904813894902,0.7139894252110286
8,0.07563334591220987,0.01498145815449229,0.07563334591220987,0.01498145815449229,0.21277559150882008,0.0477785354741216,0.8558758484596647,0.8550541703365312,0.7908690942411719,0.7350612695964706
9,0.0684006155894695,0.015004311611675432,0.0684006155894695,0.015004311611675432,0.28253345576048083,0.04791850548195547,0.8611228077723394,0.8603602695685473,0.6937748696860393,0.6802692831501255
10,0.07916958180842093,0.01573873209121035,0.07916958180842093,0.01573873209121035,0.34611807843076237,0.038070789320660194,0.8410276857264329,0.8403992948366847,0.7049417193630363,0.6808415439812576
11,0.10605352074988772,0.017869533118798235,0.10605352074988772,0.017869533118798235,0.4323216398478812,0.03894052520839685,0.7757110282741952,0.7748120623566179,0.7022106919670621,0.6627144379137438
12,0.003274452534368158,0.0004543103133951473,0.003274452534368158,0.0004543103133951473,0.011129269110084168,0.002061110464543611,0.7425665924951017,0.7421276003212338,0.9889429485223559,0.990259246642383
