context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24
A CEO is typically described as a,leadership,35,595,0.3591883971772478,0.3934329259209335,0.9689061559038237,0.40659179273279733,0.970254316061073,0.0008644890582451021,8.830894270154108e-05,0.04154285813204025,0.036214000258689504,0.029907859387064337,0.0838217867165827,0.03244347320423503,0.10539595145107507,0.040345912510324114,0.12673099415404374,0.05276677501098235,0.1375660640839132,0.05762680687282015,0.14666568185894313,0.06385775485739921,0.1711343640342094,0.06268799055758469,0.17860431679492095,0.06474360195927994,0.19030331524549657,0.06667335242798278,0.20392560576162128,0.06978778742925898,0.21383573808156522,0.0728041045936426,0.21655374856095608,0.0755069034726603,0.23312374202318784,0.08320604107255615,0.24399693975800238,0.08258129151487098,0.27372497331628737,0.08771188973899553,0.29142386360286004,0.10329292582417476,0.2786208355766984,0.1190076519182592,0.29164042124679557,0.11251698180598894,0.2936410363929061,0.10718445186424265,0.27901065215868603,0.10821297018331445,0.29227086594125684,0.1251285832036744,0.2912283654621192,0.12713120184587945,0.33731926603481666,0.1207266967468127,0.30190541445539537
A manager is typically described as a,leadership,36,630,0.46728910974917637,0.4861278380267322,0.9689258802682161,0.4966614945019501,0.9701768144395828,0.0008750261788806597,8.578053338423628e-05,0.04121603136371662,0.03648655888351035,0.03496800820133155,0.09097385228955625,0.04021302874269923,0.11176757700487233,0.04842079957658089,0.13179295634726654,0.061254291379508725,0.14468078359255437,0.06255693713255701,0.1540735177861195,0.06835602531038922,0.17855495507385033,0.06686880007897508,0.18878827696901945,0.06867642428955656,0.1994075928294677,0.07247624034217882,0.2106362525037694,0.076403328438787,0.22215670024028739,0.0827172494930273,0.22626187257320604,0.08342249633306431,0.24422936324566263,0.09715032245063908,0.2558547026188561,0.09455846426325112,0.2872647290464309,0.10239584102421458,0.30682497061817154,0.11847370549380233,0.2907827193084275,0.13257023911103866,0.30353152479808976,0.126886697678126,0.29854947869377035,0.10921417537239685,0.281480784030419,0.10865491708065345,0.29504131012275325,0.137290269961245,0.30423275581692844,0.13569181961318094,0.3492869991160365,0.11110113004548476,0.309818046583031
A leader is typically described as a,leadership,36,630,0.3727107500260764,0.40674212016165257,0.9527896761428565,0.4147233472294829,0.9545251832732902,0.000861889158334637,8.281542106832062e-05,0.04582948159406886,0.035181774603860086,0.03253977153936237,0.09065144966781309,0.03484612143431901,0.11114523124296419,0.048607066789976006,0.13020971410343574,0.062112870772621814,0.1415857480259906,0.07324482537324119,0.15323629973397543,0.07775551210656664,0.17454538006481363,0.07570147786551483,0.18539069177478115,0.07786030715290149,0.19365054871797394,0.0779876635230789,0.20164471773736997,0.08277940366296613,0.21188967633285696,0.08562275241616257,0.21572831675671192,0.08653292189567835,0.23044959440663015,0.09899322611755502,0.24077224979406633,0.09412709583201612,0.2719194704625813,0.10068298475230399,0.29115860449030934,0.11713132151688936,0.2811023289818456,0.13203461129979502,0.29543440817639366,0.12582568748822162,0.2919765270784237,0.11092883035451914,0.27940010365506784,0.11136728901595418,0.294457113196645,0.13915963052691402,0.3061014438306414,0.136586768443573,0.3540553987411722,0.1120226251221397,0.30545512503277916
A successful entrepreneur is typically a,leadership,36,630,0.381003911518044,0.42847730685025454,0.961862743133679,0.44359444705060014,0.9647661239268928,0.0008571555900568906,8.770870599337603e-05,0.057741018189325304,0.036065446053806856,0.04442927804531875,0.08646950286542993,0.04916131143090772,0.1109171226797526,0.04655273321163685,0.12508732240862636,0.06226679737131942,0.1337655626029422,0.05140911184670575,0.14105454381358445,0.05376004447344704,0.16560493081936495,0.052545110825682036,0.17416475213183424,0.0581398719102799,0.18671674380795997,0.05950990529631969,0.19817065267739076,0.06424041729403236,0.20501084535421304,0.07522728160937416,0.21176267015028918,0.07524577545744546,0.22818085896394327,0.09000012182760017,0.23016745389796936,0.0853778674546446,0.2509014866884436,0.0907435234692704,0.26528208681094967,0.11684405712023037,0.2608671016574988,0.14083981089372374,0.2739522825923371,0.12915659075974287,0.28298928396866624,0.10759490114504074,0.2737331728022264,0.10716201517730364,0.28351019719129883,0.12990756295133213,0.28801558152547235,0.12664849334047198,0.3271217709615903,0.15221176611419618,0.3299013691072066
A strong executive is typically a,leadership,35,595,0.3188926047203142,0.4429887691512704,0.9745335517218336,0.4690191718400456,0.9766982994765385,0.0009151980313831425,9.021466902174551e-05,0.05179009094861577,0.0381509842037591,0.04257586135413404,0.09008041602130301,0.046347451175427115,0.1144672571247044,0.04640483915739315,0.13026366809120407,0.06305101570262366,0.13778074994417822,0.06146069779215221,0.1465001677549525,0.061979503740935915,0.17102117624229457,0.061752399655686296,0.17997391703897436,0.0682890868770285,0.19323300980913563,0.06824114824196727,0.20288134528711896,0.07358001703762679,0.21082527570772627,0.0866510719730072,0.21662239218417112,0.08812613221244178,0.23152392987461226,0.10365714042247252,0.2371418818886624,0.09994643037031072,0.2621904833259084,0.10427699519611865,0.2769018232877473,0.12769889590666195,0.268880696144952,0.15101096200143652,0.28449976847612,0.1410137112705235,0.29037125989532636,0.13222399009480026,0.27636870498070365,0.13544823949340326,0.284202663944112,0.15507040308681913,0.29315864730487073,0.14971409295210214,0.3417837284028589,0.12887091837066228,0.30334321166229716
A company president is typically a,leadership,35,595,0.32424677560025567,0.2936402312479913,0.992375750647625,0.3173509987482248,0.9932041022261728,0.0009673005057106065,9.356477505816839e-05,0.048702931687792966,0.038259894319844306,0.05344782163342285,0.09266032064111533,0.04326886762454709,0.1136410674954078,0.041738783670960795,0.1309687462965044,0.053875392245602824,0.1356135350821894,0.05638231979253862,0.14447868042272244,0.06052493813466419,0.1726304248936155,0.05787788183721506,0.1807855477963902,0.06118363862049784,0.19354746379625096,0.06458500563062833,0.20002978465863713,0.0667990852006526,0.2116149599068815,0.07462715472190401,0.2187882525823132,0.07563370771643262,0.23282450327922188,0.08255453181250456,0.24117148119244233,0.08190456286493619,0.26570688232868594,0.08553479988040076,0.2792888424949689,0.09926493313715358,0.2690674091883568,0.12484173136465972,0.2851183776617217,0.12279326993585166,0.2993384570707602,0.11888197466518328,0.2834166085002252,0.12190053469000059,0.2931613825816373,0.12536266445755503,0.27883301279653977,0.12065273387121604,0.312530172270558,0.159135507553698,0.30425031956119425
A department director is typically described as a,leadership,34,561,0.35762804303885576,0.24861902766861022,0.9463260930497199,0.25683859262949227,0.9501758772653375,0.000893244129636955,8.926916369760415e-05,0.04852280455604924,0.03586412811277529,0.03555426545818332,0.08532169864324071,0.03705302214243276,0.10901169639455512,0.045551530899628705,0.12509998674892445,0.06033939555334785,0.1329114063217871,0.0720551196382944,0.14123655072884558,0.07770830352933272,0.16696794661253658,0.07443163631308582,0.17714278345360362,0.07646460461487177,0.18853378492156433,0.0760657768595303,0.2001099830159579,0.08110759286261315,0.21439249772731908,0.08380927736151532,0.22053036553524152,0.08865220455955404,0.23414143968565185,0.09493607657046042,0.24675161000704543,0.09705676524375495,0.27678664539485615,0.10201082059606899,0.2942958401957502,0.11579508577896774,0.28364901960521816,0.12298310381413026,0.29305028346925605,0.11771159644896102,0.2894422565865168,0.10813131634533646,0.27689740030625004,0.10929308280776086,0.29429956252311934,0.12521349631589962,0.29516926761164386,0.12870240103752306,0.34479060293754765,0.1386039987793909,0.3109450432470429
A project supervisor is typically described as a,leadership,36,630,0.5044176163963514,0.3486933261156082,0.9701916605699807,0.3574480463923919,0.9710682404390809,0.0008256889909036196,8.259057572629347e-05,0.04528258208741158,0.03265149741970174,0.03395191948953543,0.0781817244147852,0.03547622945301431,0.09895721478240654,0.04094313060933272,0.11714321502395258,0.05354566892386563,0.1285536369407159,0.05959932555084704,0.137153989776631,0.06452596462833865,0.16093574586674084,0.061086218065742486,0.17186275221561945,0.06394538788111792,0.18228831165046033,0.06709091354380997,0.19353927445040975,0.06996187023784443,0.20621845138396575,0.0732694043624566,0.21052447054611612,0.07763358190972441,0.226004061696963,0.08657262617638013,0.23673180487207,0.08361306195893195,0.2650297231979723,0.08497406914687525,0.28095267685639375,0.10219861923390983,0.2663680274169071,0.11953522072513181,0.27849467481267903,0.11309318922869847,0.27728909840611715,0.09752326814981292,0.26771587302084615,0.0975431740964596,0.28492325265772434,0.12039598933414707,0.2879536576207108,0.1209865611459331,0.34315980442349925,0.13647976969302922,0.331237302756766
"In many companies, a CEO is seen as a",leadership,35,595,0.42044878722391205,0.3753582965582609,0.942064520670101,0.3953082533203087,0.9434335675932743,0.0008471806465104706,8.729623212391552e-05,0.040831818691732844,0.0328750425603502,0.029369755412483132,0.0722914544260722,0.03252281767815375,0.08730079784445204,0.03731194586073754,0.1160750605423344,0.042991225017896845,0.12048372921717405,0.0519313303620124,0.14055992541986112,0.05955759550792464,0.1606561455275624,0.061576767666192175,0.174344915945866,0.06967042799863184,0.19556208197509237,0.06807238833960087,0.20492033795541,0.06759986503483373,0.20945702011569414,0.07421374184589803,0.2175324664508744,0.0767162653335618,0.22733086722365564,0.08347419649546302,0.23818537772086168,0.08115163877247823,0.26198350622054367,0.0848297731811055,0.28262211680875626,0.10407828061370797,0.27422621069868036,0.11791934661394005,0.2914361614080324,0.11405959628607522,0.30058876201589485,0.10808938643521523,0.2937098087977069,0.10073499581723452,0.2981547660564023,0.0966993345457242,0.2852421004088422,0.09784575750978308,0.3214594747016344,0.16860088389594047,0.3382274075287539
"In many companies, a manager is seen as a",leadership,34,561,0.4710769152590525,0.3868812355212867,0.9273022937122732,0.39633734313974855,0.9285017358379264,0.0008147118522046938,9.26346799022586e-05,0.042748620582758405,0.033668817719142145,0.032187186986529066,0.07925288226894658,0.037684440072684254,0.09465387526662444,0.04242073523895885,0.12390051023450104,0.048054950943362894,0.12661587141967232,0.05096746630089623,0.14601271061310422,0.05911818108988897,0.16642965070537363,0.06055470680514116,0.17980474749868133,0.06729509992697554,0.2000722069489399,0.06476832212150893,0.2088907330373697,0.06565839726102048,0.2159159395590091,0.07238845274944129,0.22015522927109807,0.07365968197476358,0.23361693982526124,0.08321337546349031,0.2465717026291498,0.0811489260773385,0.26521197502237887,0.08426387664472589,0.2872857984981959,0.10489481676472022,0.28006980326456743,0.11931510805932097,0.29505736338450794,0.11466942005285552,0.30254862591030796,0.10925379545446263,0.29985051024573184,0.10261265109352581,0.30360851605328315,0.09251876909107885,0.27914095992013666,0.09455789582477933,0.31679405660434695,0.15043313896629523,0.33334147014516413
