context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6
A CEO is typically described as a,leadership,39,741,0.4267808591139878,0.1070278505794704,0.9287066599354148,0.11895964042196283,0.9288308603188895,0.0006084515297496467,4.468839963647277e-05,0.020674973309800563,0.010121940021312885,0.03914104697357644,0.028044522110825313,0.022643734868099622,0.04954415123913005,0.04475111611796712,0.15164994788081926,0.07734896300549864,0.29117339644973483,0.0031754299615359524,0.00732912981152358
A manager is typically described as a,leadership,39,741,0.5093187059303622,0.0884396939072758,0.9377844166010618,0.09518450597170158,0.9378557741338867,0.0005919073376725098,4.468839963647277e-05,0.03130393067368943,0.01022317855234982,0.04578281290856301,0.02768792410999755,0.030607405821135077,0.05071032653659883,0.04394936640640186,0.14291094703348964,0.07227868276999382,0.29454919547118524,0.003094958812836003,0.006954560072262079
A leader is typically described as a,leadership,39,741,0.4867358438299512,0.1234692302532494,0.9340925477445126,0.1287867090322834,0.9342348647135879,0.0006058101881984753,4.468839963646992e-05,0.02873484810853181,0.010273879732288486,0.04717251356849321,0.029249370200374925,0.026648466585584094,0.05309929060754,0.04388445901368172,0.153552182144887,0.0862790735201913,0.30696769691404563,0.003728980485057794,0.007287883335743162
A successful entrepreneur is typically a,leadership,38,703,0.45457846488057824,0.17656907951459289,0.9662513851653785,0.19964340346632525,0.9663418873481788,0.0006112543634864103,5.097416220498524e-05,0.02570447514133403,0.010793328792670604,0.043194439070471664,0.03518359778206858,0.02603250950047289,0.05975412595842673,0.03960265973618367,0.17610958737124835,0.0650677297683878,0.2609821537430567,0.004384323048852095,0.007208483385832597
A strong executive is typically a,leadership,36,630,0.39414340356656363,0.17024145228788257,0.9700329469051212,0.18969524634849222,0.9701651772555806,0.0006392411461767713,5.362638243650328e-05,0.02929659670083819,0.01221881454696783,0.059261898058784165,0.03817163264648552,0.02743216156933282,0.061451548773721706,0.047718594164854876,0.18546992389536598,0.06832425568177858,0.2747242436392417,0.00489614210046042,0.007109753314816953
A company president is typically a,leadership,38,703,0.5261057982268633,0.2296635308302939,0.9837588632944971,0.24999825396298547,0.9838132023038035,0.000662806745342829,5.20996398710464e-05,0.02340702108012084,0.011966916707158872,0.044782071732450635,0.03698473890541712,0.028088581361663405,0.059759399496181385,0.04624839243937223,0.17538728571727982,0.06198258452326616,0.2465922135655743,0.005553292896039404,0.007429692082873074
A department director is typically described as a,leadership,40,780,0.54866166840263,0.09494683030061424,0.9257548153400421,0.10227484975121115,0.9258870763631677,0.0005666089748825847,4.5138049237561376e-05,0.02377791210998132,0.00954882483349245,0.04193038087314652,0.02819489174170059,0.024939565826712636,0.05350901601166823,0.04302439533986476,0.1463205446824302,0.07249601443825714,0.2894969489199094,0.0029995308598749853,0.007502594112757652
A project supervisor is typically described as a,leadership,39,741,0.48399447573868454,0.11119986022822559,0.9362305114045739,0.12054975301907689,0.9364008498800445,0.0006240847834516339,4.651166888810424e-05,0.0275889946705745,0.010171874739336992,0.04462220974425856,0.02694487946605106,0.031334445641920644,0.04935984476632176,0.05304401503591152,0.1418435439642472,0.07135142952646178,0.2938604409439194,0.0033343921873531723,0.007387337407309062
"In many companies, a CEO is seen as a",leadership,36,630,0.4306994418748796,0.25155660789459944,0.920999001711607,0.2683702114791231,0.9215478435941122,0.0006527679144610664,5.371607451949546e-05,0.023309523184325824,0.00968517077050635,0.0374567511614887,0.027915706424432016,0.02563349001205265,0.0413987925269559,0.04828478529882065,0.13586196930767078,0.07617674628318205,0.23650057132252286,0.004846756145839766,0.007300394379120806
"In many companies, a manager is seen as a",leadership,34,561,0.4058038011178151,0.24144318886101246,0.902712813578546,0.25309965224914777,0.9030931391037029,0.0006912715851698051,5.516443502217811e-05,0.02701471055779235,0.010333209609820981,0.041854404936378715,0.029200648311190697,0.02866606680147972,0.04227802111334182,0.05211879475836937,0.13804381000943944,0.08710205773593528,0.23983944304857568,0.0045885128746216254,0.006419282708872278
"In many companies, a leader is seen as a",leadership,35,595,0.37656417440078993,0.26025126269087195,0.9467512592673302,0.27077252475100977,0.9469046627866646,0.000691511186347904,5.201995792371175e-05,0.02585635831332309,0.00930948746586635,0.04422901530870475,0.028105951975847532,0.029871686106095023,0.04235971718588017,0.045041893163807294,0.13183942362108314,0.08667286515629882,0.2362040758117711,0.004095670753522738,0.006216191238248535
"In many companies, an executive is seen as a",leadership,34,561,0.39600232961741216,0.2382482779212296,0.9128422476351261,0.24718443112760724,0.9132953252344578,0.0006843557615979815,5.462897514435843e-05,0.026051244327833605,0.00978966233800675,0.04391802673952713,0.028700621194230364,0.029807644908056406,0.04289579512424474,0.049298372886293795,0.13913019659987977,0.08438170711236133,0.2699468118947774,0.004823504635367069,0.006813196653406791
The ideal CEO is often imagined as a,leadership,36,630,0.3487614173968789,0.11951503157615662,0.9332165671512485,0.1311606275048689,0.9393557091685807,0.0007551368605539126,5.5798185786604115e-05,0.02292549130099889,0.011193226767369233,0.04354555890363762,0.028736049900834917,0.023002469452493922,0.054197681157418964,0.04313840687349611,0.16445662345533094,0.09071814190427432,0.2595921216538175,0.002722493450161389,0.005572555706321875
